GlobalEventID,date,Year,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_CountryCode,Actor2Geo_CountryCode,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,domain,target,title,text,description
549464608,20160612,2016,1,42,42,4,1,1.9,87,6,57,-1.9515236316226,,US,2,"Florida, United States",US,USFL,27.8333,-81.717,FL,20160612,http://www.newschief.com/article/20160611/NEWS/160619921,www.newschief.com,newschief,Kutztown-area man dies after ATV crash,"A Kutztown-area man is dead and another person injured after an all-terrain vehicle crash early Saturday.

Jordan-Steffan Oraczewski, 24, was transported to Lehigh Valley Hospital after crashing into a tree in the area of Stump Road and Old Route 22 in Greenwich Township, Berks County around 1:25 a.m. He was pronounced dead at 2:35 a.m., according to Lehigh County Coroner Scott Grim.

According to a state police report, Oraczewski and another passenger, Cameron R. Firestone, 23, of Berks County, were driving north in a 2011 Yamaha ATV when Oraczewski, who was driving, was unable to negotiate a right curve. The ATV drove off the road and hit a tree, throwing both people from the vehicle, according to the news release. Both were transported to the hospital.

Oraczewski's death was attributed to multiple blunt force trauma. The manner of death has been ruled an accident, according to the coroner's office.","A Kutztown-area man is dead and another person injured after an all-terrain vehicle crash early Saturday. 
 Jordan-Steffan Oraczewski, 24, was transported to Lehigh Valley Hospital after crashing int…"
549464830,20160612,2016,1,190,190,19,4,-10.0,2707,261,2572,-5.13513064370274,,US,2,"Florida, United States",US,USFL,27.8333,-81.717,FL,20160612,http://www.local10.com/news/crime/2-girls-mourn-loss-of-dad-who-was-gunned-down-after-work,www.local10.com,local10,2 girls mourn loss of dad who was gunned down after work,"SOUTH MIAMI, Fla. – Two girls, ages 7 and 10, were missing their dad, who died in South Miami on Wednesday. This Father's Day, and the many others to come, are going to be painful.

Larry Edwards, a former Florida A&M University student, left to work at the Cadillac Ranch restaurant in Kendall on Tuesday. He finished work late and stopped to hang out with a couple of friends early Wednesday morning.

The 32-year-old never made it back home to his daughters.

Someone used a high-powered rifle to shoot at him and his friends at an apartment complex in South Miami's largely African-American neighborhood, where gun violence and poverty are still part of the city's painful history of segregation.

There was outrage after his death. Edwards was known in the neighborhood as a hardworking family man. Police have yet to catch his killer.

""I can't sleep,"" Edwards said on an early morning June 5th post on Facebook.

In May, he said, ""21 hours overtime in one week $$$$."" And in April, he said, ""Finally, I get to relax, long shifts.""

Edwards had just celebrated his eldest daughter's 5th grade graduation and he was proud. He loved to take them shopping and when he got them both mobile phones in January, he said, ""Now they better call daddy every day.""

His friend Virgil James said, ""Daddy Little Girls.""

A day after he died, Lori Ann Ealey went back to the post. The girls were holding up their new cell phones. But they won't be able to call him anymore.

""This picture really brings me to tears,"" she said.

Ealey is not alone in her pain. The City of South Miami will be co-hosting a town hall meeting to discuss gun violence on Tuesday night. There will be a 6 p.m. memorial where Edwards was killed at Southwest 59 Place and 67 Street. The town hall will be at 7 p.m at the St. John A.M.E. Church, 6461 SW 59 Place.","Two girls, ages 7 and 10, were missing their dad, who died in South Miami on Wednesday."
549465191,20160612,2016,1,10,10,1,1,0.0,115,19,110,-1.98560687526458,US,,2,"Florida, United States",US,USFL,27.8333,-81.717,FL,20160612,http://www.mycentraloregon.com/2016/06/11/florida-congressional-candidate-reveals-he-is-hiv-positive/,www.mycentraloregon.com,mycentraloregon,"Florida Congressional Candidate Reveals He is HIV-Positive | - Horizon Broadcasting Group, LLC","iStock/Thinkstock(ORLANDO, Fla.) — A Florida congressional candidate revealed this week that he is HIV-positive.

Bob Poe, who is running for Florida’s 10th district congressional seat, released a video on Facebook Thursday saying he was diagnosed 18 years ago, but he’s “perfectly healthy.”

He shared a story about meeting someone in his state who was also HIV-positive.

“…I ran into somebody in the community a few weeks back, let’s call her Linda, and Linda told me that she had been recently diagnosed with HIV and she thought she had a death sentence,” Poe said. “I told her that she didn’t, and even shared with her where she could go to get the resources that she needed. But I really just wanted to hug her, and let her know that she wasn’t alone. Because I too had HIV.”

He talked about the “fear and the stigma that surrounds this condition” as a reason why he wasn’t upfront with the woman about it.

“So now it’s time to come out and share this with you publicly so that we can begin to have this discussion and remove the fear and the stigma and the shame that goes with this,” he said.

“If you want to make a difference, you have to be the difference,” he added.","[""iStock/Thinkstock(ORLANDO, Fla.) -- A Florida congressional candidate revealed this week that he is HIV-positive. Bob Poe, who is running for Florida's 10th district congressional seat, released"", 'iStock/Thinkstock(ORLANDO, Fla.) — A Florida congressional candidate revealed this week that he is HIV-positive. Bob Poe, who is running for Florida’s 10th district congressional seat, released a video on Facebook Thursday saying he was diagnosed 18 years']"
549465201,20160612,2016,1,43,43,4,1,2.8,90,6,60,-1.9515236316226,US,,2,"Florida, United States",US,USFL,27.8333,-81.717,FL,20160612,http://www.newschief.com/article/20160611/NEWS/160619921,www.newschief.com,newschief,Kutztown-area man dies after ATV crash,"A Kutztown-area man is dead and another person injured after an all-terrain vehicle crash early Saturday.

Jordan-Steffan Oraczewski, 24, was transported to Lehigh Valley Hospital after crashing into a tree in the area of Stump Road and Old Route 22 in Greenwich Township, Berks County around 1:25 a.m. He was pronounced dead at 2:35 a.m., according to Lehigh County Coroner Scott Grim.

According to a state police report, Oraczewski and another passenger, Cameron R. Firestone, 23, of Berks County, were driving north in a 2011 Yamaha ATV when Oraczewski, who was driving, was unable to negotiate a right curve. The ATV drove off the road and hit a tree, throwing both people from the vehicle, according to the news release. Both were transported to the hospital.

Oraczewski's death was attributed to multiple blunt force trauma. The manner of death has been ruled an accident, according to the coroner's office.","A Kutztown-area man is dead and another person injured after an all-terrain vehicle crash early Saturday. 
 Jordan-Steffan Oraczewski, 24, was transported to Lehigh Valley Hospital after crashing int…"
549465320,20160612,2016,1,40,40,4,1,1.0,16,2,16,-1.12719298245614,US,US,2,"Florida, United States",US,USFL,27.8333,-81.717,FL,20160612,http://www.wtxl.com/news/talks-continue-at-famu/article_b4cab03c-301c-11e6-96cb-c754c93d617e.html,www.wtxl.com,wtxl,Talks Continue at FAMU,"TALLAHASSEE, Fla. (WTXL) - Talks continue this weekend at Florida A & M University, as the board of trustees holds a summit to discuss strategies for the upcoming school year.

FAMU officials spent Saturday morning in a training workshop focusing on why rallying around the president is so important. Dr. Elmira Mangum's performance has recently been under the scope. In fact last year she was nearly forced out by trustees. Earlier this week a local pastor sent a letter to officials asking them not to renew her contract.

On Friday, trustees voted to delay that decision so that they could analyze her performance, but R.B. Holmes says either way, it's time for change. Mangum supporters also attended the talks and say its way too soon to ask for change.

June 30th is the deadline for the trustees to declare their intentions on the contract. Since their next meeting isn't until September, it's unclear how the delay will affect the discussion. If no decision is made, then Mangum must leave by the end of April.","TALLAHASSEE, Fla. (WTXL) - Talks continue this weekend at Florida A & M University, as the board of trustees holds a summit to discuss strategies for the upcoming school year."
549466546,20160612,2016,1,51,51,5,1,3.4,2491,158,2474,-4.8803299308741,US,,2,"Florida, United States",US,USFL,27.8333,-81.717,FL,20160612,http://www.local10.com/news/crime/2-girls-mourn-loss-of-dad-who-was-gunned-down-after-work,www.local10.com,local10,2 girls mourn loss of dad who was gunned down after work,"SOUTH MIAMI, Fla. – Two girls, ages 7 and 10, were missing their dad, who died in South Miami on Wednesday. This Father's Day, and the many others to come, are going to be painful.

Larry Edwards, a former Florida A&M University student, left to work at the Cadillac Ranch restaurant in Kendall on Tuesday. He finished work late and stopped to hang out with a couple of friends early Wednesday morning.

The 32-year-old never made it back home to his daughters.

Someone used a high-powered rifle to shoot at him and his friends at an apartment complex in South Miami's largely African-American neighborhood, where gun violence and poverty are still part of the city's painful history of segregation.

There was outrage after his death. Edwards was known in the neighborhood as a hardworking family man. Police have yet to catch his killer.

""I can't sleep,"" Edwards said on an early morning June 5th post on Facebook.

In May, he said, ""21 hours overtime in one week $$$$."" And in April, he said, ""Finally, I get to relax, long shifts.""

Edwards had just celebrated his eldest daughter's 5th grade graduation and he was proud. He loved to take them shopping and when he got them both mobile phones in January, he said, ""Now they better call daddy every day.""

His friend Virgil James said, ""Daddy Little Girls.""

A day after he died, Lori Ann Ealey went back to the post. The girls were holding up their new cell phones. But they won't be able to call him anymore.

""This picture really brings me to tears,"" she said.

Ealey is not alone in her pain. The City of South Miami will be co-hosting a town hall meeting to discuss gun violence on Tuesday night. There will be a 6 p.m. memorial where Edwards was killed at Southwest 59 Place and 67 Street. The town hall will be at 7 p.m at the St. John A.M.E. Church, 6461 SW 59 Place.","Two girls, ages 7 and 10, were missing their dad, who died in South Miami on Wednesday."
549469171,20160612,2016,1,12,12,1,1,-0.4,216,74,212,-6.49135324100246,US,,2,"Florida, United States",US,USFL,27.8333,-81.717,FL,20160612,http://esciencenews.com/sources/upi/2016/06/11/adam.levine.says.he.devastated.over.shooting.death.christina.grimmie,esciencenews.com,esciencenews,Adam Levine says he is 'devastated' over the shooting death of Christina Grimmie - UPI | (e) Science News,,
549469271,20160612,2016,1,193,193,19,4,-10.0,8307,875,7756,-6.87134755825801,US,,2,"Florida, United States",US,USFL,27.8333,-81.717,FL,20160612,http://esciencenews.com/sources/upi/2016/06/11/adam.levine.says.he.devastated.over.shooting.death.christina.grimmie,esciencenews.com,esciencenews,Adam Levine says he is 'devastated' over the shooting death of Christina Grimmie - UPI | (e) Science News,,
549471172,20160605,2016,0,43,43,4,1,2.8,10,1,10,0.49212598425197,UK,US,2,"Florida, United States",US,USFL,27.8333,-81.717,FL,20160612,http://www.asianage.com/columnists/what-whole-world-s-wondering-could-it-be-president-trump-724,www.asianage.com,asianage,What whole world&rsquo;s wondering: Could it be President Trump | What whole world&rsquo;s wondering: Could it be President Trump,"Last week, just around the time Prime Minister Narendra Modi was making his feted and celebrated visit to the United States of America, a couple of politicians from that country happened to be in Mumbai. Jeff Morris, a Democrat, and Joyce Peppin, a Republican, are elected representatives at the state level, the equivalent of Members of the Legislative Assembly here. Their presidential election race is hogging headlines globally, what with the shenanigans of Republican candidate Donald Trump (there are hoardings of him up in Mumbai at this moment) and the clashes in the Democrat party between Hillary Clinton and Bernie Sanders.

Who becomes US president is a matter of interest and concern to the whole world. It is, after all, the world’s sole superpower. The visiting US politicians offered some clues on the way the race is going.

A coalition of people who feel disenfranchised have powered Bernie Sanders, according to the Democrat from Washington, Mr Morris. A similar group of blue-collar workers and the unemployed is powering Trump, he reckons. He sees Trump’s rise to the Republican nomination as akin to a hostile takeover of that party. This is not refuted by the Minnesota Republican, Ms Peppin, who says she had supported Marco Rubio for the nomination. She is uncomfortable with Trump’s position on several issues, and says people are waiting for him to step away from the theatrical and start talking about actual policy.

There are strong constituencies against Trump and Hillary Clinton, Mr Morris points out. The pressure from Sanders has pushed Clinton towards the Left, according to Ms Peppin, and she suspects that many Sanders supporters may not come out to vote at all if Clinton tries to move away from their positions on issues.

So which way is it going to go

Well, the elections themselves are in November, which is still some way off. Before that, the candidates will have to try and consolidate the different strands of their respective parties behind themselves.

At some point, the choice will come down to two candidates, and voters will have to choose one of the two, Ms Peppin says. She reckons that Trump has a chance, though she feels Rubio would have been a stronger candidate against Hillary.

Nonetheless, the parties will work for their respective nominees in the end, she says.

The fact that Trump is not a career politician helps him to an extent, according to Ms Peppin. Trump’s background as a “somewhat successful” businessman has also boosted his chances, Mr Morris says, but at some point people are going to start asking him how he proposes to get to the outcomes he has been talking about. For instance, how will be build that wall on the border with Mexico

“He will build the wall and send the bill to Mexico. Simple”, jokes Ms Peppin.

It’s possible that many of the less thoughtful voters in the US may not be too interested in the details anyway.

The US famously has “Red states” which traditionally vote Republican, and “Blue states” that traditionally vote Democrat. There are also a few “Purple states” that have mixed voting records. The state of Minnesota where Ms Peppin is the House majority leader – the equivalent of the leader of the majority party in a state legislature in India – is one that votes Republican at the local level and Democrat at the national level. It is, in that sense, a “Purple” state.

The American presidential election is an indirect one, somewhat like the Indian presidential election. Each state has a certain number of electors who represent the state in the presidential poll. The key difference with India is that all the electors of a given state go to the winning candidate. For instance, California has 55 electors. If Hillary wins California by even one vote, all the 55 seats go in her kitty.

The halfway mark is 270 seats. There are relatively fewer Blue states; most of America other than the east and west coast are at present Red states, or swing states. However, California, on the US west coast, traditionally a Blue state, has way more seats than any other state — 55. Texas, the biggest Red state, is second with 38. The third big state that has a clear preference is New York on the east coast with 29 seats. It’s also a Blue state.

The Democrats will therefore start the race with an advantage. Even though they have fewer states, those states have more electoral college seats. Trump will have to come from behind and win the swing states, which are not committed either way, in order to win. The biggest of these is Florida with 29 seats, which had brought George W. Bush – in a disputed vote – to power in 2000. In the last two elections, the state has voted for the Democrat nominee and incumbent president, Barack Obama. The contest in Florida this time around is fairly evenly poised, according to analysis by statistician Nate Silver’s organisation FiveThirtyEight published December 2015, which gave a 1 percent lead to Hillary over Trump in the state at that time.

The electoral outcome will be decided by what the candidates do in the months from now until November. Hillary Clinton seems to be ahead, but not by much, and if Trump is able to close the gap, the final result may well depend on what is in the news in the days leading up to the vote, and which party is able to get more of its supporters to cast their ballots on voting day.

There is a chance that Trump may knock himself out before that by shooting his mouth off once too often, or some explosive new revelation may torpedo Hillary. If both candidates are left standing till the end, this election may go down to the wire.

At present, the possibility of a Trump presidency cannot be dismissed.","Last week, just around the time Prime Minister Narendra Modi was making his feted and celebrated visit to the United States of America, a couple of politicians from that country happened to be in Mumb"
549471181,20160605,2016,0,42,42,4,1,1.9,10,1,10,0.49212598425197,US,UK,2,"Florida, United States",US,USFL,27.8333,-81.717,FL,20160612,http://www.asianage.com/columnists/what-whole-world-s-wondering-could-it-be-president-trump-724,www.asianage.com,asianage,What whole world&rsquo;s wondering: Could it be President Trump | What whole world&rsquo;s wondering: Could it be President Trump,"Last week, just around the time Prime Minister Narendra Modi was making his feted and celebrated visit to the United States of America, a couple of politicians from that country happened to be in Mumbai. Jeff Morris, a Democrat, and Joyce Peppin, a Republican, are elected representatives at the state level, the equivalent of Members of the Legislative Assembly here. Their presidential election race is hogging headlines globally, what with the shenanigans of Republican candidate Donald Trump (there are hoardings of him up in Mumbai at this moment) and the clashes in the Democrat party between Hillary Clinton and Bernie Sanders.

Who becomes US president is a matter of interest and concern to the whole world. It is, after all, the world’s sole superpower. The visiting US politicians offered some clues on the way the race is going.

A coalition of people who feel disenfranchised have powered Bernie Sanders, according to the Democrat from Washington, Mr Morris. A similar group of blue-collar workers and the unemployed is powering Trump, he reckons. He sees Trump’s rise to the Republican nomination as akin to a hostile takeover of that party. This is not refuted by the Minnesota Republican, Ms Peppin, who says she had supported Marco Rubio for the nomination. She is uncomfortable with Trump’s position on several issues, and says people are waiting for him to step away from the theatrical and start talking about actual policy.

There are strong constituencies against Trump and Hillary Clinton, Mr Morris points out. The pressure from Sanders has pushed Clinton towards the Left, according to Ms Peppin, and she suspects that many Sanders supporters may not come out to vote at all if Clinton tries to move away from their positions on issues.

So which way is it going to go

Well, the elections themselves are in November, which is still some way off. Before that, the candidates will have to try and consolidate the different strands of their respective parties behind themselves.

At some point, the choice will come down to two candidates, and voters will have to choose one of the two, Ms Peppin says. She reckons that Trump has a chance, though she feels Rubio would have been a stronger candidate against Hillary.

Nonetheless, the parties will work for their respective nominees in the end, she says.

The fact that Trump is not a career politician helps him to an extent, according to Ms Peppin. Trump’s background as a “somewhat successful” businessman has also boosted his chances, Mr Morris says, but at some point people are going to start asking him how he proposes to get to the outcomes he has been talking about. For instance, how will be build that wall on the border with Mexico

“He will build the wall and send the bill to Mexico. Simple”, jokes Ms Peppin.

It’s possible that many of the less thoughtful voters in the US may not be too interested in the details anyway.

The US famously has “Red states” which traditionally vote Republican, and “Blue states” that traditionally vote Democrat. There are also a few “Purple states” that have mixed voting records. The state of Minnesota where Ms Peppin is the House majority leader – the equivalent of the leader of the majority party in a state legislature in India – is one that votes Republican at the local level and Democrat at the national level. It is, in that sense, a “Purple” state.

The American presidential election is an indirect one, somewhat like the Indian presidential election. Each state has a certain number of electors who represent the state in the presidential poll. The key difference with India is that all the electors of a given state go to the winning candidate. For instance, California has 55 electors. If Hillary wins California by even one vote, all the 55 seats go in her kitty.

The halfway mark is 270 seats. There are relatively fewer Blue states; most of America other than the east and west coast are at present Red states, or swing states. However, California, on the US west coast, traditionally a Blue state, has way more seats than any other state — 55. Texas, the biggest Red state, is second with 38. The third big state that has a clear preference is New York on the east coast with 29 seats. It’s also a Blue state.

The Democrats will therefore start the race with an advantage. Even though they have fewer states, those states have more electoral college seats. Trump will have to come from behind and win the swing states, which are not committed either way, in order to win. The biggest of these is Florida with 29 seats, which had brought George W. Bush – in a disputed vote – to power in 2000. In the last two elections, the state has voted for the Democrat nominee and incumbent president, Barack Obama. The contest in Florida this time around is fairly evenly poised, according to analysis by statistician Nate Silver’s organisation FiveThirtyEight published December 2015, which gave a 1 percent lead to Hillary over Trump in the state at that time.

The electoral outcome will be decided by what the candidates do in the months from now until November. Hillary Clinton seems to be ahead, but not by much, and if Trump is able to close the gap, the final result may well depend on what is in the news in the days leading up to the vote, and which party is able to get more of its supporters to cast their ballots on voting day.

There is a chance that Trump may knock himself out before that by shooting his mouth off once too often, or some explosive new revelation may torpedo Hillary. If both candidates are left standing till the end, this election may go down to the wire.

At present, the possibility of a Trump presidency cannot be dismissed.","Last week, just around the time Prime Minister Narendra Modi was making his feted and celebrated visit to the United States of America, a couple of politicians from that country happened to be in Mumb"
