day,Actor1Code_counts,count
-7,USA,18
-7,BUS,9
-7,LAB,4
-7,MNCHKG,1
-7,REL,1
-7,CAN,2
-7,MNCGBRHLH,1
-7,COP,2
-7,OPP,2
-7,JUD,3
-7,IRL,2
-7,MED,3
-7,MIL,1
-7,USAGOV,2
-7,chr,1
-6,GOV,1
-6,LAB,1
-6,USA,6
-6,CVL,2
-6,MED,2
-5,USA,13
-5,CRM,4
-5,JUD,9
-5,GBRLEG,1
-5,IDN,3
-5,MNCJPN,2
-5,MIL,1
-5,LEG,1
-5,BUS,1
-5,CHN,1
-4,USA,21
-4,USAJUD,2
-4,JUD,9
-4,COP,5
-4,EDU,5
-4,USAEDU,2
-4,OPP,1
-4,SPY,1
-4,BUS,2
-4,GOV,2
-4,CVL,2
-4,USACOP,1
-4,USAMED,2
-4,EDUGOV,1
-4,ISR,2
-4,UAF,1
-4,haw,1
-4,MNCUSA,1
-4,CHN,2
-3,BUS,2
-3,SGP,2
-3,USA,11
-3,IRL,1
-3,USACOP,1
-3,JUD,3
-3,DEU,1
-3,GOV,3
-3,COP,2
-3,MED,1
-3,AFR,1
-3,CVL,2
-3,CHN,2
-3,EUR,1
-3,LEG,2
-3,CRM,1
-2,USA,23
-2,JUD,3
-2,CRM,3
-2,EDU,2
-2,REL,2
-2,MIL,1
-2,IRL,6
-2,USAJUD,2
-2,LEG,9
-2,LAB,3
-2,CVL,1
-2,GOV,9
-2,GBR,1
-2,OPP,4
-2,USACOP,1
-2,MEX,1
-2,COP,4
-2,USAGOV,2
-2,USAEDU,2
-2,PTY,1
-2,MED,1
-2,BUS,2
-2,CHN,1
-1,CHN,3
-1,CVL,2
-1,USAEDU,4
-1,CAN,2
-1,USA,27
-1,USAGOV,4
-1,USAJUD,3
-1,COP,5
-1,USAOPP,2
-1,OPP,5
-1,GOV,11
-1,MED,5
-1,LAB,1
-1,CHNGOV,1
-1,GOVLAB,1
-1,SAU,1
-1,SAUCOP,1
-1,HLH,1
-1,IRL,1
-1,AUS,2
-1,FRA,1
-1,BUS,1
-1,GOVAGR,2
-1,LEG,1
-1,nav,2
-1,USAGOVAGR,1
-1,EDU,1
-1,JUD,1
-1,USALAB,1
0,COP,8
0,AFR,1
0,USAJUD,2
0,BUS,3
0,MNCUSA,2
0,OPP,2
0,JUD,9
0,EDU,3
0,USA,34
0,USAGOV,7
0,CVL,1
0,MED,5
0,HRI,2
0,USAMED,3
0,GBR,2
0,MIL,1
0,SAUGOV,1
0,CHR,2
0,ELI,1
0,GOV,3
0,LAB,1
0,CHRCTH,1
0,GTM,2
0,USAOPP,1
0,USACOP,7
0,LEG,1
0,FRAOPP,1
0,ITA,1
0,PTY,1
0,USAMEDELI,1
0,USAGUM,1
1,USA,34
1,CRM,1
1,OPP,12
1,LAB,1
1,USAOPP,2
1,CRMJUD,1
1,CANELI,1
1,COP,10
1,USACVL,2
1,GOV,5
1,USAGOV,3
1,USACOP,4
