day,word,count,tfidf
-1,abandon,2,0.015537568380335057
-1,abandon night violent,1,0.013855317558062068
-1,abandon trial,1,0.003938871391670588
-1,abandon trial testing,1,0.003938871391670588
-1,ability,1,0.026587962985184708
-1,ability talk,1,0.026587962985184708
-1,ability talk walk,1,0.026587962985184708
-1,accord,3,0.03671844708454865
-1,accord report,1,0.025977390364207695
-1,accord rutgers,1,0.00816725486366914
-1,accord rutgers law,1,0.00816725486366914
-1,accord study,1,0.012737740121503478
-1,accord study finding,1,0.012737740121503478
-1,account,1,0.003938871391670588
-1,account america,1,0.003938871391670588
-1,account america fatality,1,0.003938871391670588
-1,accuse,2,0.0155929190927339
-1,accuse joe,1,0.005032724086573154
-1,accuse joe biden,1,0.005032724086573154
-1,accuse stifle,1,0.01282485451402494
-1,accuse stifle conservative,1,0.01282485451402494
-1,accuser,1,0.003938871391670588
-1,accuser tara,1,0.003938871391670588
-1,accuser tara reade,1,0.003938871391670588
-1,act,1,0.005032724086573154
-1,act witness,1,0.005032724086573154
-1,act witness record,1,0.005032724086573154
-1,add,1,0.003938871391670588
-1,add president,1,0.003938871391670588
-1,add president trump,1,0.003938871391670588
-1,administration,1,0.003938871391670588
-1,administration end,1,0.003938871391670588
-1,afl,3,0.011846954830824059
-1,afl cio,3,0.011846954830824059
-1,angeles,2,0.025475480243006957
-1,ap,2,0.013904927683827829
-1,arbitration,2,0.028045072545627485
-1,arrest,2,0.02519336222756191
-1,attend,2,0.01663871344040719
-1,attorney,5,0.01910702651285319
-1,benefit,5,0.01723208508308702
-1,biden,8,0.031366756756657746
-1,biden tweet year,1,0.00394898494360802
-1,biden work,1,0.005032724086573154
-1,biden work violence,1,0.005032724086573154
-1,big,2,0.007877742783341177
-1,big day,1,0.003938871391670588
-1,big day social,1,0.003938871391670588
-1,big social,1,0.003938871391670588
-1,big social medium,1,0.003938871391670588
-1,bill,1,0.013083329116187748
-1,bill sign,1,0.013083329116187748
-1,bill sign law,1,0.013083329116187748
-1,black,3,0.03126474550646806
-1,black man,3,0.03126474550646806
-1,black man plead,1,0.013855317558062068
-1,black man police,2,0.02275839389428148
-1,blow,2,0.007877742783341177
-1,blow city,1,0.003938871391670588
-1,blow city autonomy,1,0.003938871391670588
-1,blow obama,1,0.003938871391670588
-1,blow obama era,1,0.003938871391670588
-1,border,2,0.02519336222756191
-1,border patrol,1,0.012596681113780955
-1,border patrol agent,1,0.012596681113780955
-1,border sector,1,0.012596681113780955
-1,brace,1,0.010891705301718638
-1,brace violence,1,0.010891705301718638
-1,brace violence thursday,1,0.010891705301718638
-1,brannon,2,0.010065448173146307
-1,brannon monterey,1,0.005032724086573154
-1,brannon monterey county,1,0.005032724086573154
-1,brannon tell,1,0.005032724086573154
-1,brannon tell associated,1,0.005032724086573154
-1,bring,1,0.014022536272813742
-1,bring subject,1,0.014022536272813742
-1,bring subject mandatory,1,0.014022536272813742
-1,broadside,1,0.003938871391670588
-1,broadside come,1,0.003938871391670588
-1,broadside come amid,1,0.003938871391670588
-1,building,1,0.010891705301718638
-1,building loot,1,0.010891705301718638
-1,building loot store,1,0.010891705301718638
-1,burn,1,0.010891705301718638
-1,burn building,1,0.010891705301718638
-1,burn building loot,1,0.010891705301718638
-1,business,1,0.003938871391670588
-1,business whopping,1,0.003938871391670588
-1,business whopping third,1,0.003938871391670588
-1,california,6,0.02792893025255532
-1,california district,1,0.003938871391670588
-1,california district attorney,1,0.003938871391670588
-1,california gouge,1,0.013083329116187748
-1,california gouge gig,1,0.013083329116187748
-1,california initiative,1,0.00394898494360802
-1,california initiative overturn,1,0.00394898494360802
-1,california investigate,1,0.005032724086573154
-1,california investigate credential,1,0.005032724086573154
-1,california pass,1,0.00394898494360802
-1,california pass affording,1,0.00394898494360802
-1,california second,1,0.012596681113780955
-1,california second arrest,1,0.012596681113780955
-1,californian,1,0.00394898494360802
-1,californian vote,1,0.00394898494360802
-1,californian vote initiative,1,0.00394898494360802
-1,call,2,0.02063281024439301
-1,case,3,0.011273189375476313
-1,centro,1,0.012596681113780955
-1,centro sector,1,0.012596681113780955
-1,centro sector border,1,0.012596681113780955
-1,champion,1,0.00394898494360802
-1,champion sense,1,0.00394898494360802
-1,china,3,0.032143773247192545
-1,cio,3,0.011846954830824059
-1,claim,2,0.007833837137376877
-1,come,2,0.007833837137376877
-1,company,3,0.016222267097332363
-1,conservative,2,0.014637786431555895
-1,controversial,2,0.014863481843526042
-1,coronavirus,2,0.014561719697942059
-1,county,2,0.010065448173146307
-1,court,2,0.01663871344040719
-1,covid,2,0.007877742783341177
-1,create,2,0.01633450972733828
-1,credential,2,0.010065448173146307
-1,custody,2,0.02275839389428148
-1,day,4,0.017793155676496062
-1,deal,2,0.007877742783341177
-1,death,6,0.0449226349456775
-1,declare,2,0.006887535449346333
-1,deserve,2,0.00789796988721604
-1,district,3,0.012228322036654318
-1,district attorney,3,0.012228322036654318
-1,domestic,2,0.015516852359120061
-1,domestic violence,2,0.015516852359120061
-1,economy,2,0.014872312816673502
-1,endorsement,2,0.00789796988721604
-1,executive,3,0.02494314425492648
-1,executive order,3,0.02494314425492648
-1,executive order social,3,0.02494314425492648
-1,expert,2,0.007833837137376877
-1,expert witness,2,0.007833837137376877
-1,fairness,2,0.010570853498559522
-1,federal,2,0.023958637093744337
-1,federal law,2,0.023958637093744337
-1,fox,3,0.011816614175011765
-1,fox news,2,0.007877742783341177
-1,gig,7,0.04008917526708769
-1,gig economy,2,0.014872312816673502
-1,gig worker,4,0.01579593977443208
-1,gig worker protection,2,0.00789796988721604
-1,give,2,0.007833837137376877
-1,gov,2,0.020934572389976994
-1,handcuff,2,0.02160865892678601
-1,handcuff black,2,0.02160865892678601
-1,handcuff black man,2,0.02160865892678601
-1,home,3,0.018001071936041495
-1,hong,4,0.03558312548529198
-1,hong kong,4,0.03558312548529198
-1,house,3,0.02494314425492648
-1,illegal,2,0.01633450972733828
-1,illegal immigration,2,0.01633450972733828
-1,immigration,5,0.04083627431834571
-1,include,3,0.012237153009801778
-1,initiative,2,0.00789796988721604
-1,investigate,3,0.012228322036654318
-1,issue,3,0.027372167131672086
-1,job,2,0.007877742783341177
-1,joe,4,0.018551464229348925
-1,joe biden,4,0.018551464229348925
-1,kong,4,0.03558312548529198
-1,law,10,0.06602383232398039
-1,legal,3,0.017702354759019608
-1,legislature,2,0.006887535449346333
-1,los,2,0.025475480243006957
-1,los angeles,2,0.025475480243006957
-1,man,4,0.04314753673298001
-1,man police,2,0.02275839389428148
-1,man police custody,2,0.02275839389428148
-1,march,3,0.018018733882336414
-1,mccabe,2,0.010065448173146307
-1,medium,6,0.03419795753010963
-1,million,3,0.011816614175011765
-1,minneapolis,4,0.03979516693876704
-1,monterey,2,0.010065448173146307
-1,monterey county,2,0.010065448173146307
-1,national,3,0.016389147260749262
-1,new,2,0.014872312816673502
-1,news,3,0.011816614175011765
-1,night,2,0.02534616725196671
-1,nursing,2,0.007877742783341177
-1,nursing home,2,0.007877742783341177
-1,obama,2,0.007877742783341177
-1,office,2,0.010065448173146307
-1,officer,2,0.027710635116124135
-1,official,3,0.03152632419698326
-1,order,3,0.02494314425492648
-1,order social,3,0.02494314425492648
-1,order social medium,3,0.02494314425492648
-1,pass,2,0.00789796988721604
-1,pay,2,0.007842668110524337
-1,police,4,0.042116278354125194
-1,police custody,2,0.02275839389428148
-1,policy,3,0.018001071936041495
-1,post,2,0.006887535449346333
-1,president,6,0.031172151665731236
-1,president trump,2,0.016610314551953782
-1,protection,3,0.01033571866059323
-1,protest,2,0.02534616725196671
-1,provide,2,0.007842668110524337
-1,reade,4,0.01662280693593176
-1,reason,2,0.007877742783341177
-1,record,4,0.01662280693593176
-1,reduce,2,0.016641944045010473
-1,release,2,0.031632821342340064
-1,report,3,0.029561698360705095
-1,require,4,0.02195865183202699
-1,resume,2,0.010065448173146307
-1,reveal,2,0.023949806120596877
-1,say,11,0.05630507650126459
-1,school,3,0.02103319833968463
-1,second,3,0.02814517802217517
