day,word,count,tfidf
4,accord,12,0.010479922030598252
4,accuse,14,0.014026205677854474
4,act,12,0.014093136779028716
4,administration,16,0.013927122715252573
4,afternoon,10,0.010476983278811143
4,alien,5,0.004929936873538699
4,allegedly,6,0.005010178398720578
4,america,10,0.009752680170537258
4,american,5,0.006135220669034991
4,americans,7,0.007807800881444352
4,announce,8,0.011313095654063672
4,anti,12,0.011710887355125762
4,antisemitic,13,0.014772908669026509
4,antisemitic attack,6,0.008108292142180942
4,antisemitism,11,0.013368470327148193
4,area,5,0.006007663156738636
4,arrest,5,0.004522317222051036
4,assault,5,0.008724288105755155
4,attack,108,0.05644674950476117
4,attack boulder,20,0.017853859398224578
4,attack boulder colorado,12,0.011282945834315508
4,attack colorado,6,0.008414653846524735
4,attack jewish,6,0.00552711235350287
4,attack pro,7,0.007010739572108489
4,attack year,7,0.0038083811997984196
4,attempt,8,0.0062389483698184235
4,attempt murder,6,0.003777984680787786
4,authority,12,0.011471264713104357
4,begin,7,0.008847840868656013
4,biden,13,0.010730329811185721
4,biden administration,5,0.00458869633356261
4,bill,8,0.013030551505324426
4,border,13,0.012194729658574481
4,border policy,5,0.005429100008567011
4,boulder,69,0.04143630658926515
4,boulder colorado,44,0.02985205430572803
4,burn,6,0.008941285072338273
4,call,20,0.018410747631513867
4,call release,6,0.00517477272988772
4,call release israeli,5,0.00413880454260585
4,case,5,0.008813460483266823
4,center,6,0.009961937926654127
4,challenge,7,0.012110157968894824
4,charge,22,0.014433094376650439
4,charge federal,5,0.004208386161700188
4,child,14,0.013111852849949613
4,city,12,0.016186840939461086
4,claim,5,0.003850958676771504
4,cocktail,15,0.010765786177698394
4,colo,8,0.012775388393718928
4,colorado,124,0.07249988132206145
4,colorado springs,5,0.006454882982784383
4,come,11,0.011789710263198057
4,community,15,0.01642444297951874
4,condemn,5,0.006873180161669412
4,continue,7,0.012254205818202451
4,country,10,0.00934201755381828
4,county,11,0.016936479170537918
4,court,12,0.01854575905079089
4,crime,16,0.0107403466236875
4,crime charge,5,0.0021946014147853003
4,custody,12,0.010332119293026482
4,daughter,6,0.00559371448306161
4,democratic,6,0.008474858937539423
4,demonstrator,6,0.006775477234564018
4,denver,15,0.026761564013013626
4,department,11,0.010866166458820048
4,department homeland,5,0.0060177714045889265
4,department homeland security,5,0.0060177714045889265
4,describe,5,0.0043747324840172665
4,die,5,0.004212608103292939
4,discuss,7,0.007474115114261931
4,district,6,0.008100012666421196
4,donald,8,0.011240965794278546
4,donald trump,8,0.011240965794278546
4,early,7,0.007442196140743949
4,egyptian,12,0.009967872909385877
4,egyptian national,8,0.006158588294723646
4,employee,5,0.00887642961103051
4,end,6,0.0070998481133742845
4,enforcement,14,0.013549638042899432
4,enter,5,0.005006178976876574
4,event,8,0.008539366230243931
4,face,13,0.00920830511165883
4,family,22,0.015741016860081072
4,fbi,12,0.009250002355036731
4,federal,33,0.025015538398248247
4,federal hate,9,0.005568760349058113
4,federal hate crime,9,0.005568760349058113
4,federal immigration,5,0.004917255686034007
4,feel,5,0.0055883747037776795
4,find,7,0.00867714815852683
4,fire,18,0.014013483193007374
4,firebomb,6,0.006954113091693404
4,firebombing,10,0.012002501738898524
4,flamethrower,8,0.007491144669700501
4,follow,13,0.017117020792953866
4,free,15,0.013595708824802216
4,free palestine,7,0.0055769475027657575
4,gaza,13,0.010541978604087381
4,global,5,0.007172046664785241
4,good,7,0.011886750276153482
4,gov,8,0.010391529664469597
4,gov jared,5,0.006578418581552427
4,gov jared polis,5,0.006578418581552427
4,government,8,0.008466578512200779
4,grand,5,0.00912147706448644
4,great,7,0.010047456718598769
4,group,23,0.017869397256915935
4,hamas,9,0.008464832942057222
4,hate,15,0.010432651397268174
4,hate crime,15,0.010432651397268174
4,hate crime charge,5,0.0021946014147853003
4,health,7,0.011728561356555825
4,heinous,6,0.007051681587374393
4,help,5,0.006734821077063925
4,highlight,6,0.008779913567243924
4,hold,10,0.010306872725295154
4,holocaust,6,0.007172497723505401
4,holocaust survivor,5,0.005290498519865308
4,homeland,13,0.010666317005127506
4,homeland security,10,0.008455288637716293
4,hostage,19,0.013621692620252137
4,hostage gaza,6,0.005740415644527999
4,hostage hold,5,0.005192819981673404
4,house,8,0.008384269274646113
4,ice,7,0.0064205234962404914
4,illegal,19,0.014734963458088654
4,illegal alien,5,0.004929936873538699
