day,Actor1Name_counts,count
-7,ADMINISTRATION,1
-7,AUTHORITIES,1
-7,UNITEDSTATES,9
-7,BARACKOBAMA,1
-7,GOVERNMENT,1
-7,REGULATOR,1
-7,ADVOCATE,1
-7,NATO,3
-7,UNDERSECRETARY,1
-7,BUFFALO,1
-7,KENTUCKY,1
-7,POLICE,2
-7,NEWYORK,2
-7,AMERICAN,1
-7,RUSSIA,1
-7,JUSTICESYSTEM,1
-6,CITIZEN,1
-6,CLERGY,2
-6,MINIST,2
-6,ADMINISTRATION,1
-6,UNITEDSTATES,16
-6,POLICEOFFICER,2
-6,COLLEGE,1
-6,UNITEDNATIONS,1
-6,SUPREMECOURT,1
-6,GUNMAN,1
-6,ASSOCIATEDPRESS,1
-6,NEWSPAPER,1
-6,NEWYORK,2
-6,PROFESSOR,1
-6,CALIFORNIA,3
-6,NEWYORKCITY,3
-6,POLICE,1
-6,PRIMEMINISTER,1
-6,UNIVERSITY,2
-6,JEWISH,1
-6,DEFENSEATTORNEY,1
-6,JOINTCHIEFSOFSTAFF,2
-6,DISTRICTCOURT,1
-5,MAYOR,1
-5,UNITEDSTATES,19
-5,ROYALCOURT,1
-5,ABDULLAH,4
-5,JERUSALEM,1
-5,ISRAEL,1
-5,CRIMINAL,3
-5,COMPANIES,1
-5,PRESIDENT,1
-5,POLICE,4
-5,NEWYORKCITY,1
-5,NEWYORK,3
-5,JKLF,2
-5,BAHAMA,1
-5,BIRMINGHAM,1
-5,RICHMOND,1
-5,DEPUTY,1
-5,TRINIDADANDTOBAGO,1
-5,BUFFALO,2
-5,SANDIEGO,1
-5,UKRAINIAN,3
-5,PROSECUTOR,8
-5,JUDGE,2
-5,PRISON,3
-5,LAWENFORCEMENTOFFICER,2
-5,STUDENT,1
-5,ADMINISTRATION,1
-5,LONDON,1
-5,GERMAN,1
-5,SCHOOL,1
-5,ENTREPRENEUR,1
-4,UNITEDSTATES,22
-4,SCHOOL,2
-4,NEWYORK,10
-4,REFUGEE,2
-4,MAYOR,4
-4,HUNTER,1
-4,CITIZEN,3
-4,BUFFALO,2
-4,THEWHITEHOUSE,1
-4,NEWJERSEY,2
-4,HONDURAS,1
-4,POLICECHIEF,1
-4,RUSSIA,2
-4,HOSPITAL,3
-4,THEASSOCIATEDPRESS,1
-4,SLOVAKIA,1
-4,UKRAINIAN,1
-4,EMPLOYEE,3
-4,MEDIA,3
-4,ITALIAN,1
-4,PROFESSOR,1
-4,AFRICA,2
-4,EVERGREENSTATE,2
-4,RIGHTSACTIVIST,2
-4,POLICE,1
-4,AUTHORITIES,4
-4,GUNMAN,1
-4,COMPANY,3
-4,JERUSALEM,1
-4,ABDULLAH,2
-4,PRISON,1
-4,ADMINISTRATION,2
-4,PRESIDENT,1
-4,CAMBODIA,2
-4,SAINT,2
-4,FRANCE,1
-4,ILLINOIS,1
-4,REPRESENTATIVES,1
-4,INVESTOR,2
-4,CHINESE,1
-4,CHINA,1
-4,JAPAN,2
-4,BAHAMA,1
-4,CATHOLIC,2
-4,WALES,1
-4,BISHOP,1
-3,ALJAZEERA,1
-3,GERMANY,1
-3,BUFFALO,2
-3,CHICAGO,1
-3,UNITEDSTATES,21
-3,NEWYORK,8
-3,POLICEOFFICIALS,1
-3,WASHINGTON,1
-3,NEWJERSEY,1
-3,JOEBIDEN,1
-3,MANUFACTURER,1
-3,ACTIVIST,1
-3,PORTLAND,1
-3,RUSSIA,1
-3,DOCTOR,1
-3,GUNMAN,2
-3,HOSPITAL,1
-3,THEWHITEHOUSE,1
-3,SCHOOL,1
-3,MAYOR,1
-3,POLICE,3
-3,UNIVERSITY,1
-3,GENEVA,3
-3,REDCROSS,1
-3,FANATIC,2
-3,FRANCE,2
-3,CRIMINAL,2
-3,MEDIA,2
-3,COMPANY,1
-3,PARLIAMENT,1
-3,SAGA,1
-3,PRESIDENT,4
-3,BISHOP,1
-3,CATHOLIC,1
-3,AMERICAN,1
-3,DISTRICTCOURT,1
-3,POLICEOFFICER,3
-3,BUDAPEST,1
-3,AIRLINE,1
-3,NEWYORKSTATE,1
-3,ASSOCIATEDPRESS,1
-3,CITIZEN,1
-3,BORDERPATROLAGENT,1
-2,POLICECOMMISSIONER,3
-2,UNITEDSTATES,16
-2,NEWYORK,15
-2,TELEVISION,2
-2,BATTALION,1
-2,LAWMAKER,4
-2,SCHOOL,2
-2,ADMINISTRATION,1
-2,HUNTER,2
-2,ONGKENGYONG,1
-2,POLICE,2
-2,DEPARTMENTOFEDUCATION,1
-2,NEWYORKCITY,2
-2,JORDAN,1
-2,PRISON,2
-2,SENATOR,1
-2,NETFLIX,1
-2,NEIGHBOURHOOD,1
-2,REPRESENTATIVES,1
-2,COLLEGE,1
-2,MEDIA,2
-2,MICHIGAN,1
-2,MILITARY,1
-2,JOURNALIST,1
-2,ISRAEL,1
-2,ISRAELI,2
-2,PALESTINIAN,1
-2,THEUS,1
-2,SUPREMECOURT,5
-2,MAYOR,1
-2,BARI,2
-2,ADVOCATE,5
-2,JOEBIDEN,2
-2,COMMUNITY,3
-2,ATTORNEYGENERAL,1
-2,ALASKA,1
-2,ATTORNEY,1
-2,SETTLEMENT,1
-1,NEWYORK,5
-1,COMPANY,2
-1,POLICE,5
-1,GUNMAN,2
-1,DEPUTIES,1
-1,UNITEDSTATES,15
-1,DETECTIVE,2
-1,EMPLOYEE,3
-1,BUFFALO,2
-1,RESIDENTS,4
-1,LAWMAKER,1
-1,SOUTHAFRICAN,2
-1,AFRICA,1
-1,SCHOOL,3
-1,SENATOR,1
-1,ACTIVIST,2
-1,PRESIDENT,2
-1,MAGAZINE,3
-1,KILLERS,1
-1,UNIVERSITY,2
-1,DEPUTY,1
-1,PRISON,2
-1,TERRORIST,1
-1,VILLAGE,1
-1,MAYOR,1
-1,ATTORNEYGENERAL,2
-1,PROSECUTOR,4
-1,VIETNAM,1
-1,JUDGE,1
-1,RUSSIA,3
-1,ATTORNEY,1
-1,BERMUDA,1
-1,PRESBYTERIAN,1
-1,AIRLINE,1
-1,SENATE,1
-1,JOEBIDEN,1
0,BUFFALO,11
0,COMMUNITY,2
0,POLICE,5
0,MAYOR,2
0,GUNMAN,4
0,THEASSOCIATEDPRESS,1
0,UNITEDSTATES,19
0,AUS,1
0,POLICEOFFICIALS,2
0,FARMER,2
0,NEWYORK,4
0,RESIDENTS,1
0,NEWYORKSTATE,2
0,PROSECUTOR,1
0,SOUTHKOREA,1
0,JOEBIDEN,1
0,ATTORNEY,1
0,CHINA,1
0,BUSINESS,1
0,CHRISTIAN,1
0,CHRISTIANITY,1
0,LECTURER,1
0,SCHOOL,2
0,LAWYER,3
0,AMERICAN,1
0,GUTTMACHERINSTITUTE,1
0,HILLARYCLINTON,1
0,EUROPE,1
0,CRIMINAL,1
1,UNITEDSTATES,85
1,BUFFALO,66
1,CHRISTIAN,3
1,RETIRED,10
1,EMPLOYEE,1
1,NEWZEALAND,7
1,NEWYORK,40
1,ATTORNEYGENERAL,4
1,MAYOR,5
1,GOVERNOR,9
1,POLICEOFFICER,2
1,NEIGHBORHOOD,4
1,MALE,4
1,POLICE,22
1,NEWSPAPER,1
1,PERPETRATOR,3
1,COPENHAGEN,1
1,MINIST,1
1,MILITARY,3
1,NEIGHBOURHOOD,1
1,WASHINGTON,2
1,POPULATION,1
1,INDIGENOUS,1
1,SOUTHCAROLINA,1
1,GUNMAN,18
1,AUTHORITIES,6
1,COMMUNITY,3
1,UNITEDKINGDOM,1
1,DALLAS,1
1,ATTORNEY,7
1,VOTER,1
1,AUSTIN,1
1,SCHOOL,6
1,JEWISH,1
1,PUBLICDEFENDER,1
1,ANTIDEFAMATIONLEAGUE,1
1,ADMINISTRATION,1
1,AFRICA,1
1,NEWYORKSTATE,6
1,MEDIA,3
1,IMMIGRANT,1
1,SENATE,1
1,PIRATE,1
1,AMERICAN,3
1,LOCALMEDIA,2
1,RESIDENTS,4
1,THEUS,1
1,THEASSOCIATEDPRESS,3
1,ARMY,3
1,HOSPITAL,2
1,GOOGLE,4
1,KUWAITI,1
1,KUWAITCITY,1
1,ASSAILANT,2
1,PRISON,2
1,EXTREMIST,2
1,POLITICIAN,1
1,PRESIDENT,5
1,ILLEGALIMMIGRANT,1
1,POLICECOMMISSIONER,2
1,THEWHITEHOUSE,3
1,GOVERNMENT,1
1,PRIMEMINISTER,1
1,LAWMAKER,1
1,FIRSTLADY,2
1,BUSINESS,1
1,SECURITIESANDEXCHANGECOMMISSION,1
1,ACTIVIST,1
1,POLICEOFFICIALS,2
1,FILIPINO,1
1,INTELLIGENCE,1
1,JUDGE,2
1,CALIFORNIA,1
1,LAWYER,1
1,JOEBIDEN,1
1,NEWDELHI,3
1,ASSOCIATEDPRESS,1
1,OPERATIVE,2
1,DEPUTY,3
1,AIRFORCE,1
1,WRITER,1
1,ISLAMIC,1
1,SUPREMECOURT,1
2,MEDIA,8
2,CONGRESSMAN,3
2,CONGRESSWOMAN,4
2,NEWSPAPER,2
2,HOUSTON,1
2,UNITEDSTATES,101
2,NEWYORK,45
2,THEUS,2
2,NEIGHBOURHOOD,2
2,GERMAN,1
2,BUFFALO,65
2,HOSPITAL,6
2,POLICEFORCE,1
2,NEWYORKSTATE,4
2,FIRSTLADY,3
2,ATTORNEYGENERAL,5
2,EMPLOYER,1
2,METHODIST,1
2,ARMY,1
2,ILLEGALIMMIGRANT,1
2,PRESBYTERIAN,1
2,LOSANGELES,1
2,CALIFORNIA,2
2,AUTHORITIES,4
2,DEPUTY,2
2,UNITEDKINGDOM,2
2,REUTERS,1
2,POLICECOMMISSIONER,1
2,KILLERS,1
2,SWEDEN,2
2,MAYOR,3
