day,EventRootCode_counts,count
-7,19,12
-7,2,4
-7,11,4
-7,5,3
-7,3,2
-7,9,1
-7,4,2
-7,8,1
-7,1,3
-7,12,2
-7,7,1
-7,17,1
-6,1,2
-6,4,24
-6,17,5
-6,19,4
-6,8,1
-6,11,6
-6,5,3
-6,3,4
-5,1,14
-5,11,10
-5,4,27
-5,9,1
-5,17,7
-5,5,3
-5,6,1
-5,19,4
-5,8,4
-5,12,3
-5,3,2
-5,2,2
-4,4,44
-4,5,14
-4,11,8
-4,1,11
-4,19,4
-4,17,5
-4,7,5
-4,9,3
-4,14,1
-4,6,2
-4,16,2
-4,2,8
-4,10,2
-4,12,2
-4,13,1
-4,8,1
-4,3,1
-4,18,1
-3,19,14
-3,1,8
-3,4,22
-3,8,6
-3,3,5
-3,11,9
-3,14,2
-3,16,1
-3,2,5
-3,10,2
-3,5,10
-3,7,4
-3,17,3
-3,12,2
-2,17,7
-2,2,9
-2,19,19
-2,4,26
-2,5,5
-2,6,2
-2,1,7
-2,10,1
-2,9,1
-2,18,5
-2,7,2
-2,11,2
-2,13,6
-2,3,2
-1,2,8
-1,19,18
-1,8,1
-1,18,4
-1,11,7
-1,4,11
-1,1,11
-1,7,2
-1,3,12
-1,17,7
-1,9,2
-1,10,1
-1,12,1
-1,5,1
0,4,7
0,1,17
0,9,5
0,12,7
0,19,17
0,6,1
0,2,6
0,17,7
0,5,2
0,8,2
0,11,3
0,18,1
0,7,2
1,19,125
1,4,45
1,13,9
1,1,75
1,2,25
1,12,7
1,11,28
1,8,13
1,7,3
1,16,7
1,5,14
1,18,5
1,20,2
1,9,20
1,17,23
1,3,8
1,6,8
1,10,8
1,14,4
1,15,2
2,11,59
2,1,82
2,5,29
2,19,137
2,3,29
2,9,17
2,18,15
2,8,21
2,7,12
2,4,64
2,16,3
2,2,31
2,6,8
2,13,14
2,10,5
2,17,29
2,14,3
2,12,2
2,20,2
3,4,122
3,5,35
3,17,18
3,19,113
3,1,67
3,16,3
3,14,2
3,13,17
3,9,12
3,11,52
3,2,26
3,8,11
3,7,4
3,20,3
3,10,10
3,15,2
3,18,12
3,12,8
3,3,11
3,6,2
4,14,2
4,19,62
4,7,11
4,1,55
4,13,15
4,12,10
4,2,32
4,17,20
4,4,58
4,8,12
4,5,16
4,16,4
4,3,23
4,11,38
4,10,6
4,18,5
4,9,15
4,20,2
4,6,2
5,19,57
5,1,39
5,10,7
5,17,22
5,4,74
5,12,8
5,2,18
5,8,11
5,11,35
5,13,8
5,9,12
5,3,13
5,14,5
5,18,13
5,7,4
5,5,7
5,6,2
5,20,2
5,16,1
6,1,24
6,2,15
6,8,4
6,19,34
6,13,3
6,18,6
6,17,16
6,5,9
6,11,13
6,4,55
6,7,4
6,14,1
6,3,10
6,12,7
6,9,4
6,16,1
7,4,30
7,1,17
7,11,11
7,19,20
7,13,2
7,2,14
7,14,2
7,5,11
7,17,10
7,15,1
7,18,2
7,20,2
7,8,8
7,3,5
7,10,5
7,12,2
7,9,2
7,7,1
8,2,12
8,4,21
8,1,16
8,17,6
8,11,8
8,18,5
8,19,18
8,14,1
8,7,1
8,5,5
8,13,5
8,8,6
8,12,1
8,3,3
8,16,3
8,20,1
8,10,1
9,4,48
9,19,41
9,17,12
9,9,7
9,18,6
9,2,18
9,7,13
9,8,1
9,11,17
9,14,6
9,12,1
9,1,19
9,5,8
9,15,1
9,3,4
9,13,2
9,10,4
9,6,1
9,16,2
10,19,75
10,1,41
10,11,29
10,4,29
10,12,4
10,8,19
10,5,8
10,6,2
10,3,7
10,9,7
10,2,13
10,10,1
10,7,3
10,17,13
10,13,3
10,16,5
10,18,3
10,20,2
11,1,60
11,2,41
11,16,7
11,11,41
11,19,129
11,5,23
11,17,20
11,12,8
11,8,32
11,18,7
11,4,67
11,6,4
11,13,12
11,7,8
11,3,4
11,9,3
11,10,2
11,20,3
12,4,40
12,17,23
12,2,19
12,11,22
12,7,4
12,19,59
12,6,1
12,18,7
12,1,31
12,8,14
12,20,3
12,13,2
12,9,3
12,12,8
12,5,15
12,10,4
12,3,5
12,15,1
12,16,1
13,19,55
13,3,13
13,12,9
13,8,10
13,1,32
13,11,26
13,4,49
13,17,13
13,13,2
13,7,11
13,2,20
13,5,12
13,18,11
13,6,3
13,10,2
13,14,2
13,9,1
14,4,56
14,11,18
14,19,35
14,13,4
14,1,14
14,9,1
14,8,4
14,17,9
14,2,12
14,16,6
14,20,1
14,7,6
14,14,2
14,3,11
14,10,1
14,5,13
14,18,2
14,12,5
15,19,36
15,18,6
15,1,9
15,4,32
15,2,10
15,9,5
15,13,2
15,5,7
15,7,3
15,17,7
15,8,7
15,11,6
15,14,1
15,10,4
15,3,6
15,20,1
15,6,1
15,12,1
16,4,26
16,2,7
16,19,27
16,17,10
16,12,2
16,1,12
16,13,3
16,18,2
16,11,8
16,16,3
16,3,6
16,6,1
16,10,2
16,5,5
16,9,2
16,7,3
16,8,2
17,19,33
17,17,13
17,4,37
17,18,11
17,1,23
17,3,8
17,2,10
17,11,10
17,16,3
17,20,2
17,8,4
17,7,10
17,5,10
17,13,1
17,9,1
17,12,4
18,4,34
18,1,23
18,13,7
18,5,12
18,17,20
18,19,55
18,9,5
18,8,6
18,11,15
18,16,2
18,2,18
18,7,9
18,3,10
18,6,3
18,18,7
18,12,6
19,19,64
19,1,42
19,11,11
19,5,6
19,8,3
19,18,14
19,9,15
19,15,4
19,13,7
19,2,23
19,4,27
19,20,3
19,17,15
19,7,7
19,3,7
19,12,6
19,10,2
19,6,4
20,16,1
20,1,43
20,2,18
20,18,7
