day,Actor2Code_counts,count
-8,COP,7
-8,CRM,2
-8,USA,21
-8,UAF,3
-8,JUD,2
-8,TUR,1
-8,CVL,5
-8,GOV,1
-8,EDU,2
-8,HND,1
-8,MDV,1
-8,EGY,2
-8,USACOP,1
-8,USACVL,1
-8,LAB,1
-8,MEX,1
-8,MEXGOV,2
-8,TCD,2
-7,TUR,1
-7,USA,4
-7,COP,1
-7,CVL,3
-7,USAGOV,2
-7,GBR,1
-7,GOV,3
-7,JUD,2
-7,CRMJUD,1
-7,MIL,3
-7,CHR,1
-6,USA,4
-6,JUD,2
-6,USACOP,1
-6,CVL,1
-6,USACVL,1
-6,REF,1
-6,GOV,1
-5,USA,22
-5,EDU,3
-5,GOV,3
-5,USAGOV,5
-5,FIN,1
-5,SPY,3
-5,IRN,2
-5,COP,5
-5,RUS,1
-5,MED,4
-5,PAK,1
-5,MEX,1
-5,LEG,4
-5,CVL,1
-5,USAMED,1
-5,PTY,2
-5,USAPTY,1
-5,DEU,1
-5,LAB,1
-4,COP,3
-4,USACOP,3
-4,USA,16
-4,GOV,4
-4,LEG,3
-4,PSEREB,2
-4,UAF,4
-4,LBN,1
-4,MED,1
-4,JUD,1
-4,CVL,2
-4,LAB,2
-4,USALEG,4
-4,EDU,2
-4,MDV,1
-4,CHRMLN010,1
-4,USAEDU,1
-4,HLH,1
-3,COP,5
-3,USACOP,3
-3,IRQ,1
-3,BUS,1
-3,JUD,6
-3,SPY,2
-3,USALEG,3
-3,UAF,2
-3,LEGSPY,1
-3,USA,25
-3,REL,2
-3,USAREL,1
-3,LEG,3
-3,LAB,3
-3,USAELIGOV,1
-3,FRA,2
-3,ELI,2
-3,GOV,5
-3,MED,4
-3,CVLEDU,1
-3,CVL,1
-3,MEX,1
-3,AFRCVL,1
-3,GTM,2
-3,PSEREB,3
-3,EDU,1
-2,USA,49
-2,CRM,2
-2,GOV,16
-2,OPP,3
-2,CVL,3
-2,MEX,1
-2,CAN,1
-2,USAGOV,4
-2,USALEG,1
-2,COP,2
-2,LEG,3
-2,HLH,1
-2,USAHLH,3
-2,MNC,1
-2,MED,2
-2,JUD,1
-2,RUS,1
-2,UAF,1
-2,IRQ,1
-2,MOS,1
-2,USAELI,1
-2,CHRPRO210,1
-1,USA,25
-1,HRI,1
-1,GOV,8
-1,COP,5
-1,HLH,3
-1,MED,2
-1,USAMED,3
-1,JUD,1
-1,SPY,1
-1,UAF,1
-1,USAPRI,1
-1,CHN,1
-1,IGOUNO,1
-1,AGR,2
-1,USACOP,1
