day,word,count,tfidf
27,abbott,6,0.007250785327139839
27,accord,17,0.0203244284635863
27,act,5,0.005207211735077611
27,adaptive,10,0.0007262720358456263
27,adaptive construction,10,0.0007262720358456263
27,adaptive construction solution,10,0.0007262720358456263
27,agency,12,0.01301812529752029
27,ago,9,0.01033402473319208
27,alamo,14,0.0014971252469675963
27,alamo long,10,0.0010693751764054259
27,alamo long barrack,10,0.0010693751764054259
27,allow,8,0.008158165057965936
27,america,6,0.007322126919397278
27,announce,11,0.012801388768504925
27,antonio,15,0.00787503750156376
27,antonio express,5,0.0005346875882027129
27,antonio express news,5,0.0005346875882027129
27,apprenticeship,10,0.0007262720358456263
27,archaeologist,7,0.0007485626234837982
27,arrest,8,0.014723552712870215
27,artifact,8,0.0019835662281387214
27,ask,6,0.010085867643927476
27,attorney,6,0.00837321497285785
27,aug,32,0.014025363823294277
27,august,13,0.008258946497529536
27,austin,12,0.017588837398440544
27,barrack,12,0.0012832502116865113
27,base,8,0.009881410099101992
27,begin,5,0.006838560450675909
27,believe,7,0.005019440222647644
27,big,9,0.01298646054178472
27,black,8,0.007222073613591733
27,blue,7,0.005133200606451463
27,briones,10,0.0007262720358456263
27,briones say,5,0.00036313601792281315
27,call,8,0.010889862615114508
27,campaign,12,0.013397091386399072
27,candidate,7,0.006847849444196615
27,car,7,0.011842216789623909
27,case,12,0.014903091561713584
27,cause,8,0.0056513855935390045
27,center,16,0.017358566451259213
27,ceramic,9,0.0009624376587648834
27,charge,11,0.016695385637729758
27,child,12,0.016167947660169015
27,city,17,0.01932884829765298
27,classroom,7,0.005789165176591124
27,club,6,0.005537308927556859
27,college,10,0.011949341978863244
27,colonial,7,0.0030766624090638166
27,come,15,0.015126831786464115
27,come sideline join,5,0.00036313601792281315
27,commission,10,0.007345857922958324
27,commission affiliate,5,0.00036313601792281315
27,commission affiliate take,5,0.00036313601792281315
27,community,7,0.01278436417746077
27,company,12,0.011199074283465477
27,concern,7,0.006143783346178185
27,congressman,6,0.003035383152790049
27,construction,12,0.0017283370528790743
27,construction solution,10,0.0007262720358456263
27,construction solution group,5,0.00036313601792281315
27,construction solution tuesday,5,0.00036313601792281315
27,continue,6,0.009198868142721759
27,country,16,0.01536552951515192
27,county,23,0.027180359900612155
27,court,15,0.013600482438374686
27,cut,5,0.007257239062553834
27,dallas,9,0.011622780462407393
27,date,7,0.004160026122971899
27,day,18,0.018216170793478953
27,de,5,0.0038114246648007105
27,death,7,0.010265500412424276
27,democratic,7,0.007881298865671533
27,demonstrate,6,0.0004357632215073758
27,department,8,0.006425995175593545
27,detention,5,0.005557147627281805
27,die,8,0.01284316614441723
27,donald,5,0.006819772352994884
27,donald trump,5,0.006819772352994884
