day,word,count,tfidf
-5,accord,15,0.012404388825168354
-5,accuse,7,0.006030973093082338
-5,act,7,0.007052699398705019
-5,action,9,0.012185036470913863
-5,activist,6,0.004844633656974139
-5,administration,16,0.01387848166427023
-5,agency,6,0.005269241962702682
-5,ago,6,0.005527296547557419
-5,air,8,0.0073454099676230535
-5,airport,6,0.009520013183952045
-5,american,13,0.010441139527356166
-5,americans,6,0.0055061691065835736
-5,announce,27,0.01763515094959708
-5,area,8,0.008319572958065931
-5,arm,6,0.0019545636528130812
-5,arrest,8,0.010012952405435399
-5,ask,6,0.006486146533165539
-5,asylum,7,0.0050667566430211836
-5,attorney,13,0.009450245427990682
-5,august,14,0.00901666227977439
-5,austin,11,0.010132094678467336
-5,baltimore,6,0.006915938753744209
-5,base,8,0.006943195219440587
-5,begin,9,0.0070541549638487725
-5,believe,7,0.0067563837819658926
-5,border,16,0.015132246231975646
-5,business,7,0.006468203041496993
-5,bustos,12,0.0027386748770371083
-5,california,6,0.008074327327352492
-5,call,12,0.009810885560779326
-5,campaign,21,0.01297283516307718
-5,campaign committee,6,0.0038987998423147363
-5,candidate,8,0.007848280611603316
-5,care,9,0.010671108165994004
-5,case,7,0.009652158860757369
-5,castro,7,0.005885375310455572
-5,cell,7,0.003101101985209055
-5,center,8,0.007802980810976395
-5,change,7,0.0068505780523559715
-5,chief,18,0.013318705213065786
-5,child,9,0.011322121758691676
-5,city,14,0.013567745415132722
-5,claim,11,0.010243004754567566
-5,coat,47,0.023176688254911256
-5,coat director,8,0.0055545007538829304
-5,coat director national,8,0.0055545007538829304
-5,coat leave,6,0.0042602406386405955
-5,coat step,6,0.005593021132552966
-5,coats,6,0.0042636974573291705
-5,college,10,0.010068116442889031
-5,color,8,0.0037068835383664905
-5,come,14,0.010899043676209853
-5,command,7,0.005285483578753479
-5,committee,16,0.007771763780902221
-5,community,12,0.010092319362405339
-5,company,13,0.011279799698018856
-5,confirm,6,0.00437215812544051
-5,congress,7,0.004614569181626683
-5,congressional,11,0.007977763376210947
-5,congressman,12,0.007245950230059698
-5,contain,7,0.0019932095895086456
-5,continue,8,0.005724140737677143
-5,counsel,9,0.005302081522818256
-5,counsel robert,6,0.0033801417376482256
