day,word,count,tfidf
0,abbott,5,0.008230841512462402
0,accord,8,0.020126434074570664
0,act,3,0.005708286939182944
0,active,4,0.011792383475250127
0,active shooter,4,0.011792383475250127
0,afternoon,4,0.011576037157368628
0,allegedly,2,0.007606885347708969
0,allegedly contemplate,2,0.007606885347708969
0,allen,2,0.002991785604218529
0,angel,2,0.0064096020742186646
0,angel juarez,2,0.0064096020742186646
0,angel juarez afp,2,0.0064096020742186646
0,antifa,2,0.006792003458728491
0,area,7,0.01768817185709339
0,associated,3,0.005980073406672241
0,associated press,3,0.005980073406672241
0,attack,11,0.018175258354362546
0,authority,11,0.021189857073130165
0,authority say,3,0.008722012224167255
0,bad,3,0.008598364740674602
0,beto,6,0.015443638185531091
0,beto rourke,4,0.013001930237384135
0,border,5,0.01465301535000087
0,break,3,0.014323299902764723
0,busy,3,0.009543599645914396
0,call,4,0.012767731308596233
0,candidate,4,0.009851308143528349
0,candidate beto,3,0.006996573615891852
0,capital,5,0.007891224397524287
0,capital murder,3,0.006565545590536297
0,center,9,0.01714397932249367
0,center el,3,0.007212780062204819
0,center el paso,3,0.007212780062204819
0,centre,3,0.011355653692314097
0,charge,4,0.008664302697735268
0,child,3,0.008727916527666163
0,cielo,5,0.011597151316020432
0,cielo vista,5,0.011597151316020432
0,cielo vista mall,5,0.011597151316020432
0,city,4,0.010514025887767082
0,come,7,0.018898458990633932
0,come tragic,2,0.0025092248475457935
0,come tragic event,2,0.0025092248475457935
0,community,3,0.008183167742069404
0,complex,2,0.008504737597033624
0,conference,3,0.005810982238061401
0,confirm,5,0.012550508926576526
0,control,2,0.008887823106809174
0,country,4,0.009046576012417665
0,cover,2,0.0069938491000282425
0,crime,5,0.01703052496338662
0,custody,15,0.02990632187553448
0,custody accord,3,0.01331905995490416
0,custody police,2,0.0042871496884528005
0,custody police say,2,0.0042871496884528005
0,day,5,0.019150989726288987
0,dayton,2,0.0029180523538782956
0,dayton ohio,2,0.0029180523538782956
0,dead,5,0.01266019664878536
0,deadly,7,0.017577085570928453
0,deadly mass,3,0.009575773583808615
0,deadly mass shooting,3,0.009575773583808615
0,democratic,2,0.0038156105522746454
0,democratic presidential,2,0.0038156105522746454
