day,Actor1EthnicCode_counts,count
-7,haw,4
-6,haw,6
-5,myn,1
-5,haw,3
-5,idg,2
-4,haw,2
-3,haw,2
-2,haw,2
-1,haw,8
0,haw,6
1,haw,16
1,idg,1
2,idg,1
2,haw,32
2,tms,2
2,chn,4
3,haw,42
3,chn,3
3,dak,1
4,haw,51
4,iro,1
5,haw,28
6,chn,1
6,haw,42
6,afa,1
6,idg,2
7,haw,57
7,chn,2
7,idg,1
8,haw,36
8,aar,2
9,haw,31
10,haw,48
10,mdi,1
10,idg,3
10,chn,1
10,tgl,1
11,chn,1
11,haw,10
11,kik,1
11,nai,2
11,aar,1
12,haw,18
12,tah,2
13,haw,27
14,haw,36
14,idg,1
15,haw,27
16,haw,17
16,sco,1
17,haw,28
18,haw,22
19,haw,17
20,haw,37
21,aar,1
21,haw,15
22,haw,20
22,nai,1
22,idg,1
23,haw,23
23,idg,6
24,haw,20
24,uig,1
25,haw,5
26,nai,2
26,haw,3
27,haw,1
28,haw,22
28,idg,4
29,haw,4
29,idg,2
30,haw,4
31,haw,3
32,haw,9
33,haw,3
34,haw,1
35,haw,11
36,haw,1
37,haw,12
38,haw,9
