day,Actor2Name_counts,count
-7,UNIVERSITY,2
-7,UNITEDSTATES,20
-7,KINGSTON,1
-7,FRENCHPOLYNESIA,1
-7,RESIDENTS,2
-7,HAWAIIAN,3
-7,METHODISTCHURCH,2
-7,PRISON,1
-7,POLICE,2
-7,SCHOOL,1
-7,HAWAII,3
-7,AUTHORITIES,1
-7,DORIS,1
-7,INDUSTRY,1
-7,UTAH,2
-7,MORMON,2
-7,DISNEY,1
-7,PACIFICISLANDERS,2
-7,AUSTRALIAN,1
-7,NAVY,1
-7,DOCTOR,1
-7,OBAMA,1
-6,POLICE,1
-6,SOUTHEASTASIA,1
-6,HAWAIIAN,7
-6,UNITEDSTATES,17
-6,HAWAII,2
-6,RESIDENTS,4
-6,CRIMINAL,4
-6,MONK,1
-6,STUDENT,5
-6,UNIVERSITY,1
-6,AUTHORITIES,1
-6,HOSPITAL,1
-6,COMMUNITY,2
-6,AIRLINE,1
-5,HAWAII,6
-5,SANFRANCISCO,1
-5,COUNSELOR,1
-5,CONGRESS,2
-5,FRANCE,1
-5,COMPANY,2
-5,PRESIDENT,1
-5,OBAMA,2
-5,UNITEDSTATES,4
-5,INDIGENOUS,2
-5,HAWAIIAN,2
-5,FEDERALCOURT,2
-5,EUROPE,1
-4,HAWAII,7
-4,COMPANY,1
-4,AUTHORITIES,1
-4,BUSINESS,2
-4,ILLINOIS,1
-4,TONGA,1
-4,SCHOOL,1
-4,UNITEDSTATES,10
-4,MAGISTRATE,1
-4,EMPLOYER,1
-4,BOEING,2
-4,AMERICAN,1
-4,JAPANESE,3
-4,BARACKOBAMA,2
-4,BUDDHIST,1
-4,HIROSHIMA,1
-4,CHINA,1
-4,CHINESE,1
-4,NEWSSTATION,1
-4,ARIZONA,1
-4,LIBYA,2
-4,CONGRESS,1
-4,DEPUTY,1
-4,HOSPITAL,2
-4,ECONOMIST,2
-4,JOEBIDEN,1
-4,MILITARY,1
-3,BRAZIL,1
-3,UNITEDSTATES,13
-3,CONGRESSWOMAN,1
-3,SOUTHCAROLINA,1
-3,HAWAII,1
-3,STUDENT,2
-3,HAWAIIAN,3
-3,HAWAIIANAIRLINES,1
-3,ADVOCATE,1
-3,SUPREMECOURT,1
-3,OBAMA,1
-3,DEMOCRATICPARTY,1
-3,WORKER,2
