day,word,count,tfidf
16,aamc medical,1,0.00417365698351711
16,aamc medical board,1,0.00417365698351711
16,abortion,2,0.008594432189099216
16,abortion ban,2,0.008594432189099216
16,abortion ban debate,1,0.004297216094549608
16,abortion ban elect,1,0.004297216094549608
16,accompany,1,0.011186694130989527
16,accompany child,1,0.011186694130989527
16,accompany child embark,1,0.011186694130989527
16,accord,1,0.005920886524935083
16,accord court,1,0.005920886524935083
16,accord court document,1,0.005920886524935083
16,actually,2,0.01607193926496905
16,actually consider,1,0.013837278346287856
16,actually consider run,1,0.013837278346287856
16,actually push,1,0.004297216094549608
16,actually push ban,1,0.004297216094549608
16,admission,2,0.00834731396703422
16,admission decision,1,0.00417365698351711
16,admission openly,1,0.00417365698351711
16,admission openly challenge,1,0.00417365698351711
16,aggravatingly,1,0.006544049808567122
16,aggravatingly expire,1,0.006544049808567122
16,aggravatingly expire customer,1,0.006544049808567122
16,air,1,0.006544049808567122
16,air lines,1,0.006544049808567122
16,air lines hawaiian,1,0.006544049808567122
16,airline,2,0.013088099617134244
16,airline aggravatingly,1,0.006544049808567122
16,airline aggravatingly expire,1,0.006544049808567122
16,airline realize,1,0.006544049808567122
16,airlines,3,0.019632149425701365
16,ambassador,3,0.015151669608929655
16,american,3,0.019821913126801885
16,appear,2,0.011841773049870165
16,authority,1,0.0068746558797820835
16,authority fulton,1,0.0068746558797820835
16,authority fulton county,1,0.0068746558797820835
16,avenue,1,0.01307693200508601
16,away,1,0.006544049808567122
16,away antiquated,1,0.006544049808567122
16,away antiquated policy,1,0.006544049808567122
16,bad,1,0.020558929439780337
16,bad go,1,0.020558929439780337
16,bad go early,1,0.020558929439780337
16,ban,3,0.012891648283648825
16,ban debate,1,0.004297216094549608
16,ban debate republican,1,0.004297216094549608
16,ban elect,1,0.004297216094549608
16,ban elect united,1,0.004297216094549608
16,ban north,1,0.004297216094549608
16,ban north dakota,1,0.004297216094549608
16,battle,1,0.0068746558797820835
16,battle gop,1,0.0068746558797820835
16,battle gop presidential,1,0.0068746558797820835
16,beach,1,0.014025641436735885
16,begin,1,0.010944992494345026
16,begin hit,1,0.010944992494345026
16,begin hit year,1,0.010944992494345026
16,belong,1,0.008226884765637196
16,belong world,1,0.008226884765637196
16,belong world like,1,0.008226884765637196
16,biden,2,0.021394440508178618
16,biden finally,1,0.014025641436735885
16,biden finally hawaii,1,0.014025641436735885
16,biden react,1,0.010114405141590961
16,biden react wagner,1,0.010114405141590961
16,bill,1,0.01292953833266923
16,bill harasko,1,0.01292953833266923
16,bill harasko right,1,0.01292953833266923
16,board,1,0.00417365698351711
16,board california,1,0.00417365698351711
16,board california john,1,0.00417365698351711
16,boot,1,0.006399454005555194
16,boot ground,1,0.006399454005555194
16,boot ground insight,1,0.006399454005555194
16,bowser,1,0.01694713568863394
16,bowser ask,1,0.01694713568863394
16,bowser ask meeting,1,0.01694713568863394
16,brannon,1,0.01292953833266923
16,brannon unpack,1,0.01292953833266923
16,brannon unpack starlink,1,0.01292953833266923
16,bread,1,0.006399454005555194
16,bread discover,1,0.006399454005555194
16,bread discover new,1,0.006399454005555194
16,break,1,0.006399454005555194
16,break bread,1,0.006399454005555194
16,break bread discover,1,0.006399454005555194
16,brewster,1,0.0068746558797820835
16,brewster sit,1,0.0068746558797820835
16,brewster sit gop,1,0.0068746558797820835
16,burgum,1,0.004297216094549608
16,burgum reject,1,0.004297216094549608
16,burgum reject principle,1,0.004297216094549608
16,burn,1,0.00417365698351711
16,burn school,1,0.00417365698351711
16,burn school medicine,1,0.00417365698351711
16,burnett,1,0.005920886524935083
16,burnett troubled,1,0.005920886524935083
16,burnett troubled daughter,1,0.005920886524935083
16,california,1,0.00417365698351711
16,california john,1,0.00417365698351711
16,california john burn,1,0.00417365698351711
16,candidate,3,0.013709687068399808
16,candidate economy,1,0.0068746558797820835
16,candidate economy foreign,1,0.0068746558797820835
16,candidate push,1,0.004297216094549608
16,candidate push national,1,0.004297216094549608
16,candidate vie,1,0.004297216094549608
16,candidate vie presidential,1,0.004297216094549608
16,care,1,0.012184561926912987
16,care mental,1,0.012184561926912987
16,care mental wellness,1,0.012184561926912987
16,carol,1,0.005920886524935083
16,carol burnett,1,0.005920886524935083
16,carol burnett troubled,1,0.005920886524935083
16,carolina,1,0.004297216094549608
16,carolina gov,1,0.004297216094549608
16,carolina gov nikki,1,0.004297216094549608
16,casualty,1,0.006544049808567122
16,casualty pandemic,1,0.006544049808567122
16,casualty pandemic airline,1,0.006544049808567122
16,caution,1,0.010944992494345026
16,caution climate,1,0.010944992494345026
16,caution climate change,1,0.010944992494345026
16,center,1,0.01307693200508601
16,center hilo,1,0.01307693200508601
16,center hilo kamehameha,1,0.01307693200508601
16,challenge,1,0.00417365698351711
16,challenge medical,1,0.00417365698351711
16,challenge medical establishment,1,0.00417365698351711
16,challenging,1,0.011186694130989527
16,challenging circumstance,1,0.011186694130989527
16,change,2,0.015499898638580291
16,change enable,1,0.010944992494345026
16,change enable increasingly,1,0.010944992494345026
16,change fee,1,0.006544049808567122
16,change fee casualty,1,0.006544049808567122
16,charge,1,0.017903601298494255
16,charge degree,1,0.017903601298494255
16,charge degree sexual,1,0.017903601298494255
16,check,1,0.0068746558797820835
16,check candidate,1,0.0068746558797820835
16,check candidate economy,1,0.0068746558797820835
16,chief,1,0.010114405141590961
16,chief yevgeny,1,0.010114405141590961
16,chief yevgeny prigozhin,1,0.010114405141590961
16,child,1,0.011186694130989527
16,child embark,1,0.011186694130989527
16,child embark meaningful,1,0.011186694130989527
16,circumstance,1,0.011186694130989527
16,climate,2,0.021289753229244045
16,climate change,1,0.010944992494345026
16,climate change enable,1,0.010944992494345026
16,climate scheduling,1,0.01307693200508601
16,climate scheduling note,1,0.01307693200508601
16,college,3,0.019821913126801885
16,college aamc,1,0.00417365698351711
16,college aamc medical,1,0.00417365698351711
16,college admission,1,0.00417365698351711
16,college admission openly,1,0.00417365698351711
16,college mandate,1,0.014018398563266594
16,college mandate use,1,0.014018398563266594
16,com,2,0.011841773049870165
16,com learn,1,0.005920886524935083
16,com learn accord,1,0.005920886524935083
16,com los,1,0.005920886524935083
16,com los angeles,1,0.005920886524935083
16,come,1,0.006399454005555194
16,come share,1,0.006399454005555194
16,come share idea,1,0.006399454005555194
16,commission,1,0.016329931618554522
16,commission revenue,1,0.016329931618554522
16,commission revenue item,1,0.016329931618554522
16,compassion,1,0.011186694130989527
16,compassion solidarity,1,0.011186694130989527
16,compassion solidarity lauren,1,0.011186694130989527
16,concern,1,0.01694713568863394
16,conscious,1,0.00417365698351711
16,conscious decision,1,0.00417365698351711
16,conscious decision making,1,0.00417365698351711
16,consider,1,0.013837278346287856
16,consider run,1,0.013837278346287856
16,consider run state,1,0.013837278346287856
16,consideration,1,0.00417365698351711
16,consideration race,1,0.00417365698351711
16,consideration race ethnicity,1,0.00417365698351711
16,contender,1,0.004297216094549608
16,contender stage,1,0.004297216094549608
16,contender stage explicitly,1,0.004297216094549608
16,continue,2,0.014497691218755552
16,continue effort,1,0.00417365698351711
16,continue effort diversify,1,0.00417365698351711
16,continue mourn,1,0.012184561926912987
16,continue mourn lahaina,1,0.012184561926912987
16,country,2,0.027184654750326095
16,county,2,0.01768236273536192
16,court,5,0.023140314737939482
16,court united,1,0.00417365698351711
16,court united states,1,0.00417365698351711
16,covid,2,0.018516750117510472
16,covid mask,1,0.014018398563266594
16,creep american,1,0.014018398563266594
16,creep american life,1,0.014018398563266594
16,customer,1,0.006544049808567122
16,customer mile,1,0.006544049808567122
16,dakota,2,0.01607193926496905
16,dakota gov,1,0.004297216094549608
16,dakota gov doug,1,0.004297216094549608
16,dakota scout,1,0.013837278346287856
16,debate,2,0.009901221588131403
16,decision,2,0.00834731396703422
16,degree,3,0.04106264458771733
16,erin,2,0.011841773049870165
16,experience,2,0.012798908011110388
16,gop,2,0.013749311759564167
