day,Actor2Code_counts,count
-7,MED,2
-7,GOV,9
-7,ITA,1
-7,COP,1
-7,CVL,2
-7,ARE,1
-7,USA,9
-7,DEU,1
-7,HLH,1
-7,LEG,2
-7,EDU,1
-7,USAEDU,1
-7,BUS,1
-7,USAGOV,1
-7,CRM,2
-6,EDU,1
-6,BUS,1
-6,JUD,1
-6,MEX,1
-6,USA,4
-6,USAEDU,1
-6,COP,2
-6,CRM,2
-6,MED,2
-6,GOV,1
-5,LEG,2
-5,USAJUD,1
-5,USA,7
-5,CHNBUS,3
-5,PTY,1
-5,USALEG,1
-5,CVL,3
-5,EDUEDU,4
-5,EDU,1
-5,COP,1
-4,GOV,2
-4,JUD,1
-4,USAJUD,1
-4,PTY,1
-4,CVL,2
-4,USA,2
-4,HLH,2
-4,RUS,1
-3,USA,10
-3,REF,1
-3,CUB,1
-3,CVL,5
-3,TUR,3
-3,EUR,1
-3,COP,1
-3,JAM,1
-3,MIL,1
-3,MEX,2
-3,USAGOV,1
-3,EURGOV,1
-3,PSEOPP,1
-2,USA,16
-2,MEX,4
-2,USAGOV,2
-2,CRM,3
-2,JEWHSD010,2
-2,BUS,2
-2,EDU,1
-2,JUD,1
-2,JUDJUD,1
-2,USAJUD,1
-2,CUB,1
-2,USAMIL,2
-2,MIL,2
-2,BLZ,1
-1,USA,45
-1,CVL,5
-1,LAB,3
-1,GOV,2
-1,GRDGOVMED,4
-1,EDU,9
-1,USAMED,2
-1,AFR,1
-1,MED,4
-1,MEX,5
-1,JAM,1
-1,MNC,1
-1,BUS,6
-1,CRM,1
-1,NGOHLHIRC,1
-1,MIL,3
-1,USAJUD,1
-1,MNCDNKHLH,2
-1,USACOP,1
-1,JUD,1
-1,HLH,1
-1,USAGOV,8
-1,USAEDU,3
-1,AUS,1
-1,USAMIL,1
-1,haw,1
0,USA,56
0,MEX,7
0,GOV,10
0,CVL,11
0,MIL,4
0,CUB,3
0,CHR,1
0,LAB,4
0,USACVL,4
0,HLH,2
0,AFR,1
0,USAVIR,1
0,PAN,2
0,USAGOV,8
0,USACOP,1
0,USAMIL,2
0,MEXGOV,1
0,RUSEDU,1
0,USAAGR,2
0,BUS,4
0,CRM,1
0,EDU,5
0,USAEDU,2
0,MED,1
0,NGOHLHIRC,1
0,MNCUSA,1
0,NGOBGDDEV,2
1,GOV,13
1,USAEDU,1
1,USA,106
1,USAMED,2
1,USAGOV,11
1,EDU,8
1,JEW,2
1,CVL,23
1,REL,1
1,NGOHLHIRC,9
1,USACVL,2
1,CUB,1
1,BUS,7
1,BHS,2
1,JUD,7
1,LAB,5
1,MED,10
1,ZAF,1
1,ITA,2
1,MEX,8
1,JEWCVL,1
1,HRI,1
1,GBR,1
1,HLH,3
1,MNCUSA,1
1,LBN,1
1,MIL,1
1,USABUS,2
1,MNCUSAMED,1
1,MDV,1
1,CRM,1
1,LEG,3
1,CVLCVL,1
1,BMU,1
1,USALEG,1
1,CHN,1
1,CYM,1
1,CHR,2
1,CRMCRM,3
1,RUS,1
2,USA,112
2,AUS,3
2,MED,8
2,VNM,1
2,COP,3
2,HTI,1
2,USAGOV,7
2,EDU,12
2,GOV,9
2,USAMED,3
2,CVL,26
2,ITA,1
2,CHRCTH,3
2,BUS,3
2,NGOHLHIRC,5
2,LAB,2
2,USABUS,2
2,MOSSUN,2
2,RUS,4
2,NGOUSAHLH,2
2,USAMIL,5
2,MEX,4
2,UKR,1
2,ESP,1
2,CHRCTHEDU,1
2,chr,2
2,IRQ,2
2,MNCUSAMED,1
2,IND,3
2,REL,2
2,USAREL,1
2,GUY,2
2,FRA,1
2,UKRGOV,1
2,LEG,3
2,USACVL,1
2,MIL,1
3,USA,59
3,USACVL,3
3,CVL,15
3,CUB,2
3,IGOUNOLEG,2
3,COP,5
3,GOV,10
3,LEG,3
3,USALEG,1
3,RUS,3
3,NGOHLHIRC,7
3,EGY,2
3,MED,2
3,MIL,5
3,UAF,3
3,ISR,1
3,MEX,2
3,BLZ,2
3,HTI,1
3,MNCUSA,1
3,BUS,1
3,LAB,2
3,USAGOV,4
3,REF,1
3,USAMED,2
3,HLH,1
3,ELICOP,1
3,USAJUD,1
3,JUD,1
4,USA,39
4,USAGOV,2
4,CVL,16
4,BUS,1
4,HLH,1
4,ISRMIL,2
4,ISR,1
4,GRC,1
4,COP,1
4,LEG,5
4,USALEG,1
4,PHL,3
4,EUR,1
4,RUS,1
4,MEX,1
4,GOV,5
4,USAHLH,1
4,MIL,3
4,EDU,1
4,USAEDU,2
4,USAMED,1
4,MED,1
5,USA,67
5,USACVL,3
5,CHN,1
5,ITA,3
5,NGOHLHIRC,6
5,USAGOV,8
5,USAELI,5
