day,Actor2Name_counts,count
-7,MEDIA,2
-7,GOVERNMENT,3
-7,ADMINISTRATION,4
-7,NAPLES,1
-7,PRISON,1
-7,CITIZEN,1
-7,FIREFIGHTER,1
-7,DUBAI,1
-7,UNITEDSTATES,4
-7,VOTER,1
-7,BERLIN,1
-7,DOCTOR,1
-7,SENATEPRESIDENT,2
-7,GOVERNOR,1
-7,SCHOOL,1
-7,MIAMI,1
-7,FLORIDA,6
-7,INDUSTRY,1
-7,CRIMINAL,2
-6,UNIVERSITY,1
-6,INDUSTRY,1
-6,JUDGE,1
-6,MEXICO,1
-6,UNITEDSTATES,5
-6,LAWENFORCEMENTAGENCIES,1
-6,ILLEGALIMMIGRANT,1
-6,POLICE,1
-6,MEDIA,1
-6,NEWSPAPER,1
-6,CRIMINAL,1
-6,GOVERNMENT,1
-5,SENATE,1
-5,UNITEDSTATES,3
-5,FLORIDA,6
-5,CHINESE,2
-5,CHINA,1
-5,POLITICIAN,1
-5,RESIDENTS,2
-5,COMMUNITY,1
-5,SCHOOL,4
-5,STUDENT,1
-5,LEGISLATURE,1
-5,DEPUTY,1
-4,GOVERNMENT,1
-4,LAWYER,1
-4,UNITEDSTATES,1
-4,DEMOCRATICPARTY,1
-4,VOTER,2
-4,NEWHAMPSHIRE,2
-4,PRESIDENT,1
-4,HOSPITAL,2
-4,RUSSIA,1
-3,FLORIDA,6
-3,REFUGEE,1
-3,CUBAN,1
-3,UNITEDSTATES,4
-3,VOTER,1
-3,RESIDENTS,2
-3,TURK,3
-3,EUROPEAN,2
-3,DETECTIVE,1
-3,JAMAICA,1
-3,MARINES,1
-3,POPULATION,1
-3,MEXICO,2
-3,NASA,1
-3,COMMUNITY,1
-3,PALESTINE,1
-2,THEUS,2
-2,MEXICO,4
-2,NASA,1
-2,UNITEDSTATES,13
-2,TAMPA,1
-2,CONVICTS,3
-2,CHABAD,2
-2,BANK,1
-2,SCHOOL,1
-2,FLORIDA,4
-2,COUNSEL,1
-2,BUSINESS,1
-2,SUPERIORCOURT,1
-2,CUBA,1
-2,MAJORGENERAL,2
-2,BELIZE,1
-1,OHIO,1
-1,RESIDENTS,3
-1,WORKER,1
-1,UNITEDSTATES,27
-1,PRESIDENT,2
-1,FLORIDA,22
-1,BRIANMC,4
-1,SCHOOL,5
-1,THEASSOCIATEDPRESS,1
-1,AFRICA,1
-1,MEDIA,4
-1,MEXICO,5
-1,EMPLOYEE,2
-1,KINGSTON,1
-1,ATLANTA,1
-1,CHEVRON,1
-1,REUTERS,1
-1,COMPANIES,3
-1,ILLEGALMIGRANT,1
-1,REDCROSS,1
-1,HUNTER,1
-1,COMMANDER,2
-1,NOVONORDISK,2
-1,CHARLOTTE,1
-1,LAWYER,1
-1,TRAVELER,1
-1,AIRLINE,2
-1,VIRGINIA,1
-1,PHYSICIAN,1
-1,NASA,3
-1,UNIVERSITY,4
-1,AMERICAN,2
-1,AUSTRALIA,1
-1,ARMY,1
-1,EMPLOYER,1
-1,HAWAIIAN,1
