day,EventBaseCode_counts,count
-7,111,1
-7,70,1
-7,18,2
-7,20,5
-7,115,2
-7,36,2
-7,130,1
-7,190,2
-7,10,4
-7,173,2
-7,87,1
-7,172,3
-7,30,1
-7,14,2
-7,71,1
-7,40,6
-7,112,2
-7,101,2
-7,100,1
-7,43,1
-7,42,1
-7,110,2
-7,191,1
-7,80,1
-7,120,1
-7,62,3
-7,12,1
-7,60,1
-6,90,4
-6,128,1
-6,190,3
-6,10,2
-6,120,5
-6,180,1
-6,23,1
-6,30,1
-6,160,2
-6,46,2
-6,13,1
-6,51,3
-6,21,1
-6,20,2
-6,110,1
-6,16,1
-6,70,2
-6,14,1
-6,43,1
-6,33,1
-5,36,1
-5,42,3
-5,112,2
-5,125,2
-5,43,3
-5,20,3
-5,13,2
-5,33,1
-5,10,4
-5,190,3
-5,193,3
-5,40,2
-5,90,1
-5,192,2
-5,86,1
-5,60,1
-5,134,1
-5,71,3
-5,110,2
-5,51,1
-5,130,1
-5,138,1
-5,11,1
-4,46,2
-4,45,1
-4,10,2
-4,20,1
-4,14,3
-4,25,2
-4,51,1
-4,42,2
-4,43,2
-4,75,1
-4,30,1
-3,51,1
-3,90,2
-3,40,3
-3,130,3
-3,43,1
-3,13,3
-3,42,4
-3,112,1
-3,20,2
-3,30,1
-3,36,3
-3,10,1
-3,23,1
-3,71,2
-3,192,3
-3,172,1
-3,45,1
-3,50,2
-3,173,1
-2,17,1
-2,90,5
-2,42,4
-2,160,1
-2,43,7
-2,139,1
-2,172,3
-2,81,1
-2,73,7
-2,60,1
-2,192,5
-2,10,2
-2,12,1
-2,100,1
-2,51,1
-2,40,3
-2,111,1
-2,138,3
-2,36,2
-2,20,1
-2,112,1
-2,190,4
-2,120,1
-2,46,1
-2,180,3
-1,43,14
-1,23,1
-1,73,3
-1,51,6
-1,36,7
-1,130,6
-1,90,15
-1,166,1
-1,10,16
-1,46,4
-1,42,16
-1,20,9
-1,125,3
-1,12,4
-1,75,1
-1,180,5
-1,193,2
-1,100,2
-1,110,3
-1,87,1
-1,172,1
-1,192,5
-1,40,7
-1,160,4
-1,13,2
-1,14,3
-1,80,3
-1,30,1
-1,70,1
-1,83,1
-1,174,1
-1,61,2
-1,190,1
-1,45,1
-1,57,10
-1,194,1
-1,84,3
-1,138,1
-1,60,1
-1,111,1
0,13,3
0,36,15
0,43,20
0,42,18
0,40,1
0,26,1
0,90,12
0,84,1
0,51,4
0,12,11
0,70,5
0,166,1
0,10,13
0,171,2
0,45,5
0,112,4
0,37,4
0,30,4
0,111,2
0,20,11
0,120,2
0,71,2
0,73,9
0,192,5
0,173,2
0,60,8
0,160,4
0,130,11
0,46,10
0,172,6
0,194,2
0,33,1
0,52,1
0,80,1
0,154,6
0,174,2
0,14,1
0,125,2
0,57,1
0,100,4
0,138,1
0,114,2
0,110,6
0,17,1
0,186,2
1,71,6
1,51,12
1,25,4
1,43,43
1,42,39
1,36,12
1,46,10
1,74,1
1,154,5
1,70,4
1,138,5
1,72,2
1,13,8
1,112,6
1,20,23
1,191,1
1,10,29
1,60,13
1,30,8
1,80,7
1,160,6
1,31,2
1,174,1
1,12,4
1,172,7
1,90,16
1,186,1
1,84,3
1,180,1
1,110,1
1,45,5
1,100,4
1,130,12
1,73,12
1,40,12
1,14,5
1,192,4
1,120,2
1,24,1
1,190,17
1,33,1
1,173,7
1,166,1
1,15,2
1,23,2
1,111,2
1,194,2
1,83,1
1,193,2
1,87,2
1,17,1
2,73,31
2,42,43
2,172,8
2,192,9
2,10,21
2,20,20
2,51,10
2,150,1
2,90,9
2,173,4
2,43,42
2,60,18
2,36,10
2,193,2
2,138,5
2,31,1
2,33,2
2,190,14
2,70,10
2,40,19
2,13,3
2,112,5
2,160,6
2,14,1
2,84,2
2,81,1
2,30,1
2,100,7
2,152,2
2,80,4
2,12,9
2,50,1
2,154,4
2,23,3
2,25,1
2,71,5
2,110,3
2,143,1
2,180,1
2,130,7
2,171,2
2,174,1
2,46,1
2,166,1
2,182,2
2,22,1
2,61,1
2,87,2
2,120,1
2,18,3
2,134,1
2,55,3
3,130,3
3,90,4
3,171,5
3,43,20
3,87,2
3,42,20
3,36,6
3,84,9
3,190,10
3,60,13
3,154,4
3,18,1
3,51,7
3,12,2
3,180,1
3,40,9
3,13,3
3,20,11
3,172,3
3,10,18
3,35,1
3,30,5
3,110,2
3,138,2
3,173,3
3,174,2
3,33,2
3,41,8
3,73,8
3,120,1
3,70,5
3,21,2
3,192,2
3,112,4
3,75,2
3,160,3
3,150,1
3,23,1
3,46,1
3,80,1
3,193,2
4,100,3
4,70,7
4,15,2
4,42,9
4,43,7
4,30,4
4,114,2
4,10,8
4,163,2
4,112,5
4,173,4
4,110,1
4,36,6
4,190,1
4,21,2
4,20,8
4,51,8
4,73,4
4,60,11
4,61,2
4,84,3
4,154,3
4,111,1
4,130,4
4,138,3
4,45,3
4,17,1
4,71,3
4,193,2
4,174,2
4,90,4
4,22,1
4,171,1
4,192,3
4,46,1
4,81,1
4,40,1
4,180,1
4,172,1
4,120,2
4,50,1
4,13,1
4,12,1
5,33,4
5,42,24
5,36,7
5,51,3
5,192,5
5,70,19
5,13,3
5,191,2
5,127,1
5,10,26
5,130,4
5,154,2
5,60,19
5,73,15
5,20,20
5,71,12
5,40,19
5,43,19
5,172,2
5,190,10
5,90,7
5,112,1
5,114,1
5,110,1
5,84,2
5,173,2
5,50,2
5,23,4
5,153,1
5,46,8
5,174,3
5,14,3
5,32,2
5,115,1
5,128,1
5,100,2
5,12,5
5,83,3
5,111,2
5,30,3
5,107,1
5,120,3
5,103,2
5,17,2
5,171,3
5,18,1
5,193,1
5,87,1
6,120,4
6,80,2
6,70,13
6,23,2
6,40,13
6,20,22
6,52,3
6,46,7
6,186,1
6,60,20
6,16,3
6,10,21
6,182,1
6,172,4
6,51,6
6,30,7
6,42,16
6,43,19
6,71,6
6,36,13
6,73,12
6,171,2
6,13,9
6,112,2
6,173,3
6,192,2
6,111,2
6,55,2
6,90,4
6,160,6
6,81,1
6,100,3
6,31,3
6,110,2
6,190,4
6,33,1
6,12,2
6,174,1
6,193,1
6,50,2
6,87,3
6,14,1
7,43,18
7,42,25
7,51,10
7,190,5
7,36,20
7,10,16
7,20,18
7,71,8
7,70,5
7,111,3
7,15,1
7,114,3
7,80,3
7,60,9
7,100,2
7,40,12
7,73,6
7,46,2
7,90,5
7,87,2
7,33,7
7,173,1
7,181,1
7,12,2
7,154,2
7,13,4
7,57,3
7,172,6
7,75,1
7,112,1
7,120,2
7,180,1
7,171,1
7,138,1
7,50,1
7,35,3
7,61,1
7,192,2
7,141,1
7,30,1
7,161,1
7,130,1
7,110,2
7,45,1
7,14,1
7,193,1
8,192,3
8,43,24
8,42,23
8,90,5
8,10,14
8,15,1
8,12,1
8,57,1
8,120,5
8,46,14
8,36,18
8,110,8
8,51,10
8,20,19
8,190,12
8,172,1
8,112,7
8,33,7
8,40,22
8,138,4
8,71,6
8,194,1
8,60,6
8,100,3
8,154,2
8,70,12
8,30,3
8,17,1
8,80,2
8,171,1
8,35,1
8,73,3
8,105,1
8,104,1
8,50,1
8,16,1
8,83,1
8,13,3
8,128,3
8,41,4
8,22,1
8,125,1
8,193,1
8,85,2
8,143,1
8,81,1
8,130,5
8,23,1
8,84,1
8,14,1
8,111,1
8,31,2
8,52,1
8,129,1
8,87,1
9,23,2
9,43,24
9,80,2
9,20,12
9,50,5
9,40,31
9,154,2
9,42,21
9,171,1
9,70,4
9,130,3
9,173,4
9,90,13
9,51,13
9,73,2
9,110,1
9,12,1
9,60,4
9,33,4
9,46,5
9,36,5
9,71,3
9,10,11
9,13,5
9,143,1
9,45,3
9,193,3
9,61,1
9,100,3
9,30,6
9,25,1
9,84,1
9,190,1
9,17,1
9,186,1
9,125,1
9,87,5
9,44,2
9,123,1
9,112,2
9,192,1
9,172,3
9,141,1
10,84,1
10,172,3
10,18,3
10,51,4
10,42,8
10,10,5
10,100,3
10,71,4
10,20,4
10,26,1
10,192,1
10,90,3
10,13,3
10,87,1
10,110,1
10,60,3
10,73,1
10,12,2
10,112,5
10,151,1
10,173,5
10,50,3
10,130,3
10,30,1
10,15,2
10,190,1
10,43,1
11,90,14
11,110,3
11,193,2
11,51,9
11,73,6
11,40,10
11,120,2
11,160,2
11,42,10
11,43,8
11,172,8
11,52,2
11,192,7
11,130,6
11,72,1
11,10,11
11,20,8
11,71,2
11,162,2
11,70,3
11,112,3
11,16,1
11,80,5
11,26,1
11,12,3
11,81,1
11,84,5
11,190,1
11,36,4
11,173,2
11,100,1
11,30,1
11,60,2
11,111,3
11,166,2
11,138,2
11,55,1
11,185,1
11,13,1
12,10,31
12,20,36
12,14,4
12,52,2
12,174,8
12,90,21
12,70,13
12,36,15
12,42,43
12,43,44
12,120,13
12,172,4
12,190,8
12,164,2
12,91,1
12,84,4
12,166,5
12,138,5
12,17,5
12,33,7
12,45,4
12,30,11
12,192,9
12,173,4
12,112,3
12,150,1
12,181,2
12,110,5
12,83,1
12,125,1
12,73,7
12,130,9
12,51,16
12,186,2
12,40,27
12,185,1
12,23,6
12,61,3
12,100,17
12,71,5
12,114,2
12,11,1
12,160,4
12,128,3
12,46,8
12,141,1
12,13,12
12,80,5
12,111,3
12,12,4
12,60,15
12,15,3
12,25,2
12,152,1
12,180,4
12,193,1
12,81,2
12,26,3
12,191,1
12,57,1
12,154,5
12,32,1
12,171,3
12,50,1
13,160,13
13,23,6
13,43,81
13,100,10
13,40,45
13,30,8
13,12,14
13,42,81
13,36,42
13,51,31
13,13,17
13,166,6
13,128,1
13,112,13
13,10,47
13,20,55
13,190,12
13,111,17
13,90,20
13,50,5
13,174,12
13,154,8
13,192,8
13,60,45
13,73,15
13,71,7
13,70,16
13,130,19
13,138,8
13,173,14
13,74,1
13,14,3
13,82,2
13,46,25
13,44,10
13,45,3
13,87,5
13,161,12
13,62,8
13,172,5
13,16,1
13,193,4
13,171,5
13,52,1
13,81,2
13,15,9
13,134,1
13,17,8
13,182,1
13,110,4
13,120,11
13,83,2
13,28,1
13,24,3
13,33,8
13,18,1
13,164,1
13,125,2
13,84,4
13,191,1
13,11,1
13,80,2
13,35,2
13,75,3
13,114,6
13,41,2
13,102,2
13,25,2
13,72,4
13,124,1
13,145,1
13,21,2
13,122,1
13,115,1
13,55,1
13,162,1
13,31,1
14,60,69
14,42,120
14,20,63
14,111,12
14,13,31
14,90,33
14,70,22
14,16,9
14,12,21
14,80,7
14,10,62
14,174,19
14,25,5
14,30,16
14,51,32
14,180,2
14,50,8
14,46,26
14,130,38
14,40,53
14,173,10
14,36,51
14,43,131
14,71,16
14,114,9
14,72,3
14,26,2
14,144,3
14,100,10
14,145,3
14,162,1
14,104,1
14,160,9
14,22,1
14,33,4
14,87,4
14,161,13
14,112,15
14,45,3
14,75,3
14,110,7
14,138,9
14,14,7
14,120,5
14,141,4
14,191,1
14,61,2
14,154,9
14,152,1
14,128,6
14,35,4
14,172,8
14,192,6
14,73,15
14,193,8
14,115,1
14,150,1
14,84,18
14,11,1
14,190,7
14,164,1
14,23,8
14,31,2
14,129,2
14,171,5
14,41,2
14,181,1
14,57,3
14,166,2
14,24,3
14,52,1
14,122,1
14,62,2
14,53,1
14,86,1
14,81,1
14,125,1
14,18,1
14,15,2
14,134,2
15,43,135
15,42,111
15,70,30
15,51,56
15,71,17
15,10,67
15,23,8
15,60,77
15,40,66
15,192,13
15,20,69
15,190,32
15,150,1
15,13,17
15,100,16
15,50,9
15,154,9
15,17,5
15,120,25
15,73,51
15,84,14
15,130,17
15,173,10
15,180,3
15,112,28
15,32,6
15,36,35
15,46,21
15,124,1
15,160,11
15,41,7
15,14,4
15,111,18
15,57,6
15,172,4
15,193,6
15,153,1
15,182,1
15,12,30
15,171,15
15,90,30
15,110,14
15,72,8
15,141,4
15,80,10
15,22,6
15,11,1
15,33,13
15,86,3
15,81,5
15,31,6
15,15,4
15,87,4
15,75,4
15,30,17
15,166,5
15,161,5
15,45,1
15,25,3
15,26,1
