day,EventRootCode_counts,count
-7,11,7
-7,7,2
-7,1,9
-7,2,5
-7,3,3
-7,13,1
-7,19,3
-7,17,5
-7,8,2
-7,4,8
-7,10,3
-7,12,1
-7,6,4
-6,9,4
-6,12,6
-6,19,3
-6,1,5
-6,18,1
-6,2,4
-6,3,2
-6,16,2
-6,4,3
-6,5,3
-6,11,1
-6,7,2
-5,3,2
-5,4,8
-5,11,4
-5,12,2
-5,2,3
-5,1,7
-5,19,8
-5,9,1
-5,8,1
-5,6,1
-5,13,3
-5,7,3
-5,5,1
-4,4,7
-4,1,5
-4,2,3
-4,5,1
-4,7,1
-4,3,1
-3,5,3
-3,9,2
-3,4,9
-3,13,3
-3,1,4
-3,11,1
-3,2,3
-3,3,4
-3,7,2
-3,19,3
-3,17,2
-2,1,4
-2,9,5
-2,4,15
-2,16,1
-2,13,4
-2,17,3
-2,8,1
-2,7,7
-2,6,1
-2,19,9
-2,10,1
-2,5,1
-2,11,2
-2,3,2
-2,2,1
-2,12,1
-2,18,3
-1,4,42
-1,2,10
-1,7,5
-1,5,16
-1,3,8
-1,13,7
-1,9,15
-1,16,5
-1,1,25
-1,12,3
-1,18,5
-1,19,9
-1,10,2
-1,11,4
-1,8,8
-1,17,2
-1,6,3
0,1,29
0,3,24
0,4,54
0,2,12
0,9,12
0,8,2
0,5,6
0,7,16
0,16,5
0,17,12
0,11,14
0,12,4
0,19,7
0,6,8
0,13,12
0,15,6
0,10,4
0,18,2
1,7,25
1,5,12
1,2,30
1,4,109
1,3,23
1,15,5
1,13,17
1,1,49
1,11,9
1,19,26
1,6,13
1,8,13
1,16,7
1,17,15
1,9,16
1,18,2
1,10,4
1,12,2
2,7,46
2,4,105
2,17,15
2,19,25
2,1,37
2,2,25
2,5,14
2,15,7
2,9,9
2,6,19
2,3,14
2,13,13
2,11,8
2,16,7
2,8,9
2,10,7
2,14,1
2,18,3
2,12,1
3,13,5
3,9,4
3,17,13
3,4,58
3,8,12
3,3,14
3,19,14
3,6,13
3,15,5
3,1,24
3,5,7
3,18,1
3,2,14
3,11,6
3,7,15
3,12,1
3,16,3
4,10,3
4,7,14
4,1,13
4,4,21
4,3,10
4,11,9
4,16,2
4,17,8
4,19,6
4,2,11
4,5,9
4,6,13
4,8,4
4,15,3
4,13,7
4,9,4
4,18,1
4,12,2
5,3,16
5,4,70
5,5,5
5,19,18
5,7,46
5,1,40
5,12,5
5,13,4
5,15,3
5,6,19
5,2,24
5,17,10
5,9,7
5,11,6
5,8,6
5,10,5
6,12,4
6,8,6
6,7,31
6,2,24
6,4,55
6,5,13
6,18,2
6,6,20
6,1,36
6,17,10
6,3,24
6,11,6
6,19,7
6,9,4
6,16,6
6,10,3
7,4,58
7,5,14
7,19,8
7,3,31
7,1,24
7,2,18
7,7,20
7,11,9
7,8,5
7,6,10
7,10,2
7,9,5
7,17,8
7,18,2
7,15,2
7,12,2
7,13,2
7,14,1
7,16,1
8,19,17
8,4,87
8,9,5
8,1,22
8,5,13
8,12,10
8,3,31
8,11,16
8,2,21
8,17,2
8,13,9
8,7,21
8,6,6
8,10,5
8,15,2
8,8,8
8,14,1
9,2,15
9,4,86
9,8,8
9,5,18
9,15,2
9,17,8
9,7,9
9,13,3
9,9,13
9,11,3
9,1,18
9,6,5
9,3,15
9,14,2
9,19,5
9,10,3
9,18,1
9,12,2
10,8,2
10,17,8
10,1,15
10,5,7
10,4,9
10,10,3
10,7,5
10,2,5
10,19,2
10,9,3
10,11,6
10,6,3
10,15,1
10,13,3
10,3,1
11,9,14
11,11,9
11,19,10
11,5,12
11,7,12
11,4,28
11,12,2
11,16,6
11,17,10
11,13,8
11,1,16
11,2,9
11,8,11
11,3,5
11,10,1
11,6,2
11,18,1
12,1,60
12,2,47
12,5,20
12,17,19
12,9,22
12,7,25
12,3,34
12,4,126
12,12,17
12,19,19
12,16,11
12,8,12
