day,Actor2Code_counts,count
-7,GOV,4
-7,BUS,5
-7,USA,14
-7,JUD,1
-7,MNCHKG,2
-7,AUSELI,1
-7,BOL,1
-7,DEU,1
-7,LAB,2
-7,PTY,2
-7,USAJUD,1
-7,CRM,1
-6,USA,4
-6,MDV,2
-6,GOV,1
-6,MED,1
-5,GOVJUD,3
-5,MIL,2
-5,USA,6
-5,CRM,1
-5,HLH,1
-5,GOV,1
-5,JUD,1
-5,USACVL,1
-5,CAN,1
-5,BUS,1
-5,CHN,1
-5,LEG,1
-4,NGOUSA,1
-4,JUD,1
-4,USAJUD,1
-4,USA,25
-4,COP,3
-4,CRM,1
-4,SPY,1
-4,OPP,2
-4,CVL,1
-4,USAGOV,2
-4,CHN,2
-4,DEU,1
-4,USAMED,1
-4,MIL,1
-4,UAF,2
-4,EDU,1
-4,JEWEDU,1
-4,MNCUSA,1
-4,MED,1
-4,MNCJPN,1
-3,LAB,1
-3,USA,11
-3,CVL,1
-3,GTM,1
-3,GOV,3
-3,MED,1
-3,COP,3
-3,CRM,2
-3,USACOP,1
-3,CAN,1
-3,BUS,3
-2,COP,5
-2,CRM,3
-2,OPP,3
-2,USA,21
-2,EDU,3
-2,IRL,1
-2,JUD,4
-2,LAB,1
-2,BUS,2
-2,LEG,3
-2,GOV,5
-2,CAN,1
-2,USACOP,3
-2,MEX,1
-2,USABUS,1
-2,GBR,1
-2,MIL,1
-2,USAGOV,3
-2,CVL,3
-2,MED,1
-2,chy,1
-1,GBR,1
-1,CAN,2
-1,CVL,8
-1,IRL,3
-1,USAMED,1
-1,USAOPP,2
-1,COP,6
-1,USA,18
-1,MED,7
-1,GOV,8
-1,JUD,3
-1,OPP,4
-1,CHN,3
-1,EUR,1
-1,CRM,3
-1,USAJUD,1
-1,BUSGOV,1
-1,BUS,3
-1,USAGOV,4
-1,UKR,2
-1,GOVAGR,1
0,USA,31
0,COP,12
0,MNCUSA,1
0,BUS,8
0,USALAB,1
0,OPP,1
0,LAB,3
0,CRM,5
0,JUD,4
0,EDU,1
0,MIL,4
0,CVL,2
0,MED,4
0,GOV,6
0,USAJUD,2
0,CHR,2
0,RUS,1
0,MEDBUS,3
0,LEG,2
0,AFR,2
0,CHN,3
0,MEX,1
0,FRA,1
0,BEL,1
0,USACVL,1
0,CHRCTH,1
1,OPP,6
1,COP,12
1,EDU,1
1,USA,21
1,USAOPP,1
1,MED,3
1,AFR,2
1,JUD,1
1,USACVL,2
1,USAELI,1
1,USAMIL,1
1,RAD,1
1,USACOP,3
1,USAGOV,3
1,GOV,3
1,USAJUD,1
2,USA,19
2,GBR,3
2,OPP,7
2,CHN,3
2,COP,19
2,RUS,1
2,DEUGOV,1
2,AFR,1
2,SLV,1
2,USACOP,2
2,MIL,3
2,GOV,4
2,MED,1
2,USAGOVPTY,1
2,CVL,2
2,LEG,2
2,BOL,1
2,CHR,1
3,USACOP,7
3,USAGOV,6
3,USA,41
3,GOV,13
3,MED,5
3,COP,16
3,GBR,1
3,MIL,5
3,CAN,1
3,CVL,3
3,OPP,9
3,BUS,3
3,USAOPP,1
3,USACVL,1
3,EDU,2
3,HLH,1
3,AFR,1
3,USAELI,1
3,AFG,1
3,REB,1
3,LAB,2
3,MEX,1
4,SAUCOP,1
4,USA,67
4,EDUEDU,1
4,BUS,7
4,MNCUSAMED,1
4,OPP,15
4,EDU,6
4,USACVL,3
4,LEG,2
4,COPMIL,1
4,USAELI,2
4,USAJUD,5
4,USAMIL,1
4,USAEDU,3
4,GOV,12
4,MEX,1
