day,Actor2Name_counts,count
-7,FIREFIGHTER,1
-7,BUSINESS,1
-7,UNITEDSTATES,9
-7,DISTRICTCOURT,1
-7,LENOVO,2
-7,PAULKEATING,1
-7,NEWYORK,2
-7,SANTACRUZ,1
-7,BRUNSWICK,1
-7,PRODUCER,2
-7,AMERICAN,2
-7,EMPLOYER,1
-7,EMPLOYEE,2
-7,PRESIDENTIALCANDIDATE,2
-7,PRESIDENT,1
-7,COMPANIES,1
-7,GOVERNMENT,2
-7,CALIFORNIA,2
-7,PERPETRATOR,1
-6,AMERICAN,1
-6,CALIFORNIA,1
-6,WASHINGTON,2
-6,MALE,2
-6,GOVERNOR,1
-6,WEBSITE,1
-5,GOVERNMENT,3
-5,GOVERNMENTFORCES,2
-5,UNITEDSTATES,7
-5,CRIMINAL,1
-5,NURSE,1
-5,REGULATOR,1
-5,APPEALSCOURT,1
-5,CANADA,1
-5,BUSINESS,1
-5,CHINESE,1
-5,CONGRESS,1
-4,LEAGUEOFWOMENVOTERS,1
-4,JUDGE,1
-4,UNITEDSTATES,16
-4,DEPUTIES,2
-4,CRIMINAL,1
-4,ARKANSAS,1
-4,UNDERCOVERAGENT,1
-4,DETAINEE,2
-4,PRISON,1
-4,RESIDENTS,1
-4,THEWHITEHOUSE,1
-4,CALIFORNIA,10
-4,SHANGHAI,1
-4,BERLIN,1
-4,THEASSOCIATEDPRESS,1
-4,MILITARY,1
-4,TERRORIST,2
-4,PROFESSOR,1
-4,JEWISH,1
-4,COSTCO,1
-4,CHINA,1
-4,MEDIA,1
-4,TOYOTA,1
-3,EMPLOYEE,1
-3,CALIFORNIA,3
-3,RESIDENTS,1
-3,SANDIEGO,1
-3,GUATEMALA,1
-3,UNITEDSTATES,6
-3,MAYOR,1
-3,THEUS,1
-3,AUTHORITIES,1
-3,MAGAZINE,1
-3,PRISON,1
-3,CRIMINAL,2
-3,MINNEAPOLIS,1
-3,CANADA,1
-3,POLICEOFFICER,2
-3,COMPANY,2
-3,ATTORNEYGENERAL,1
-3,BUSINESS,1
-2,POLICE,3
-2,CRIMINAL,3
-2,ACTIVIST,1
-2,UNITEDSTATES,14
-2,STUDENT,2
-2,AMERICAN,1
-2,CALIFORNIA,9
-2,TARA,1
-2,ATTORNEY,3
-2,UNIONS,1
-2,BUSINESS,1
-2,SENATE,2
-2,AUTHORITIES,2
-2,EMPLOYER,1
-2,CANADA,1
-2,PROTESTER,2
-2,FLORIDA,1
-2,BORDERPATROLAGENT,1
-2,MEXICO,1
-2,BRITISH,1
-2,LOSANGELES,2
-2,GOVERNOR,2
-2,PRESIDENT,1
-2,MILITARY,1
-2,VOTER,3
-2,SENATOR,1
-2,PROSECUTOR,1
-2,MEDIA,1
-2,SCHOOL,1
-2,CHEYENNE,1
-2,THEWHITEHOUSE,1
-2,POLICEOFFICER,1
-1,BRITAIN,1
-1,CANADA,2
-1,COMMUNITY,2
-1,TARA,3
-1,ASSOCIATEDPRESS,1
-1,MINNEAPOLIS,5
-1,POLICE,6
-1,NEWSPAPER,1
-1,UNITEDSTATES,11
-1,WEBSITE,3
-1,GOVERNMENT,5
-1,ATTORNEY,2
-1,PROSECUTOR,1
-1,PROTESTER,1
-1,DEMONSTRATOR,3
-1,CHINA,2
-1,EUROPE,1
-1,CRIMINAL,3
-1,CITIZEN,2
-1,NEIGHBORHOOD,1
-1,BUSINESS,2
-1,PRESIDENT,3
-1,CALIFORNIA,3
-1,MEDIA,3
-1,PHILADELPHIA,2
-1,RESIDENTS,3
-1,JOEBIDEN,4
-1,UKRAINE,2
-1,BEIJING,1
-1,INDUSTRY,2
-1,SECRETARYOFAGRICULTURE,1
0,CHICAGO,1
0,UNITEDSTATES,22
0,POLICEOFFICER,1
0,FIDELITYNATIONALFINANCIAL,1
0,CORPORATION,3
0,PROTESTER,1
0,WORKER,2
0,POLICE,6
0,CRIMINAL,3
0,ATTORNEY,1
0,CALIFORNIA,5
0,SCHOLAR,1
0,NATIONALGUARD,4
0,MINNEAPOLIS,4
0,COMPANY,1
0,AMERICAN,2
0,RESIDENTS,1
0,MEDIA,6
0,AUTHORITIES,2
0,PRESIDENT,4
0,CHRISTIAN,2
0,EMPLOYER,1
0,EMPLOYEE,1
0,BUSINESS,1
0,RUSSIA,1
0,COMPANIES,2
0,LEGISLATOR,2
0,AFRICA,2
0,VOTER,1
0,CHINA,3
0,SUPREMECOURT,2
0,GANG,2
0,WASHINGTON,1
0,HIGHCOURT,1
0,POLICECHIEF,5
0,MEXICO,1
0,FRANCE,1
0,BELGIUM,1
0,JOURNALIST,1
0,CATHOLIC,1
1,PROTESTER,4
1,POLICE,5
1,PROFESSOR,1
1,CALIFORNIA,6
1,UNITEDSTATES,16
1,DEMONSTRATOR,2
1,DETROIT,4
1,JOURNALIST,1
1,AFRICA,2
1,MEDIA,2
1,SUPREMECOURT,1
1,POLICEOFFICER,4
