day,EventBaseCode_counts,count
-7,193,1
-7,192,1
-7,43,2
-7,120,3
-7,114,2
-7,128,1
-7,112,3
-7,40,1
-7,10,2
-7,46,5
-7,15,1
-7,20,5
-7,111,2
-7,110,1
-7,173,5
-7,51,2
-7,50,1
-7,36,2
-7,100,2
-7,180,2
-7,60,2
-7,115,1
-7,84,1
-7,23,2
-7,57,1
-7,30,1
-7,33,1
-7,121,1
-7,13,1
-7,141,1
-7,42,1
-6,20,1
-6,100,1
-6,12,1
-6,13,4
-6,193,1
-6,112,1
-6,42,1
-6,43,1
-6,60,1
-6,120,1
-5,50,1
-5,90,1
-5,180,2
-5,182,2
-5,84,3
-5,40,1
-5,20,3
-5,10,1
-5,16,2
-5,190,2
-5,173,3
-5,71,4
-5,172,2
-5,170,1
-5,114,2
-5,193,1
-5,11,1
-5,100,1
-5,51,1
-5,55,1
-5,80,1
-4,20,3
-4,40,10
-4,36,6
-4,190,2
-4,26,1
-4,112,4
-4,60,3
-4,51,7
-4,192,1
-4,84,2
-4,173,4
-4,120,2
-4,31,2
-4,12,1
-4,70,3
-4,171,1
-4,43,4
-4,17,1
-4,42,5
-4,181,1
-4,111,1
-4,30,1
-4,90,1
-3,20,5
-3,46,1
-3,50,2
-3,84,2
-3,36,1
-3,193,2
-3,112,1
-3,42,2
-3,12,1
-3,104,1
-3,40,4
-3,23,1
-3,110,1
-3,173,2
-3,114,1
-3,51,2
-3,190,3
-3,160,2
-3,71,1
-3,43,2
-3,30,1
-3,14,1
-3,90,1
-3,172,1
-2,20,4
-2,64,1
-2,13,2
-2,130,1
-2,16,1
-2,12,6
-2,10,8
-2,46,2
-2,40,3
-2,87,1
-2,90,4
-2,60,2
-2,112,2
-2,180,2
-2,193,2
-2,100,2
-2,30,4
-2,127,2
-2,14,1
-2,171,1
-2,36,5
-2,83,1
-2,150,2
-2,173,4
-2,111,2
-2,161,1
-2,42,3
-2,43,3
-2,72,1
-2,26,1
-2,84,2
-2,172,4
-2,190,3
-2,114,1
-2,128,1
-2,110,2
-2,21,1
-2,120,1
-1,51,7
-1,43,3
-1,20,19
-1,13,8
-1,112,5
-1,190,7
-1,175,3
-1,145,3
-1,192,2
-1,180,4
-1,12,5
-1,172,3
-1,193,1
-1,10,3
-1,170,3
-1,140,3
-1,111,2
-1,100,1
-1,110,1
-1,46,1
-1,130,1
-1,173,3
-1,52,1
-1,90,3
-1,114,3
-1,30,3
-1,129,1
0,190,4
0,173,7
0,57,2
0,30,2
0,175,1
0,145,1
0,10,11
0,80,1
0,43,5
0,42,4
0,20,11
0,112,5
0,111,5
0,60,2
0,140,1
0,141,1
0,84,1
0,27,1
0,90,3
0,174,1
0,83,1
0,186,1
0,46,2
0,100,4
0,13,3
0,40,5
0,11,1
0,193,3
0,110,2
0,51,2
0,172,1
0,130,2
0,104,1
0,22,2
0,36,5
0,114,3
0,14,1
0,63,1
0,21,1
0,180,1
0,12,5
0,160,1
0,182,1
1,193,5
1,180,3
1,12,1
1,27,1
1,141,16
1,43,2
1,42,2
1,10,1
1,145,3
1,144,2
1,175,4
1,190,10
1,33,1
1,172,1
1,20,6
1,110,2
1,120,1
1,46,1
1,171,1
1,18,1
1,40,3
1,90,1
1,140,1
1,173,2
1,182,1
1,111,3
1,114,1
1,100,1
1,50,1
2,120,3
2,193,8
2,141,13
2,145,1
2,20,3
2,111,7
2,114,5
2,112,4
2,84,1
2,13,1
2,51,5
2,43,4
2,42,3
2,100,2
2,190,5
2,10,2
2,171,1
2,87,1
2,11,3
2,154,2
2,50,1
2,173,2
2,27,2
2,124,2
2,81,1
2,152,1
2,175,3
2,40,2
2,18,1
2,130,2
2,140,1
2,110,4
2,83,1
2,12,1
2,180,3
3,141,10
3,173,5
3,90,1
3,130,2
3,13,3
3,30,1
3,180,5
3,172,3
3,175,4
3,73,1
3,12,1
3,153,2
3,60,8
3,20,7
3,10,10
3,40,5
3,100,2
3,31,2
3,193,8
3,190,13
3,42,6
3,43,6
3,51,4
3,145,3
3,192,3
3,111,4
3,110,7
3,112,3
3,114,1
3,140,1
3,128,1
3,46,4
3,120,1
3,160,1
3,72,2
3,84,2
3,182,2
3,171,1
3,36,2
3,26,1
3,70,2
3,50,2
3,27,1
3,81,1
3,71,1
3,164,1
4,43,11
4,42,7
4,173,12
4,36,5
4,193,13
4,100,3
4,20,22
4,101,1
4,90,2
4,190,12
4,111,7
4,110,8
4,112,11
4,120,3
4,141,14
4,72,4
4,171,6
4,13,2
4,26,1
4,138,1
4,145,11
4,30,7
4,10,30
4,175,5
4,23,2
4,71,2
4,125,3
4,84,3
4,40,12
4,130,1
4,172,1
4,62,4
4,180,6
4,51,4
4,87,1
4,133,4
4,83,1
4,154,6
4,186,2
4,140,5
4,114,5
4,11,1
4,144,3
4,12,2
4,128,2
4,192,2
4,70,3
4,25,1
4,153,1
4,60,4
4,160,3
4,15,1
4,174,2
4,57,2
4,14,1
4,86,1
5,80,2
5,43,10
5,195,1
5,133,2
5,51,12
5,140,2
5,100,5
5,12,6
5,145,2
5,10,10
5,190,9
5,42,8
5,112,3
5,111,7
5,20,13
5,110,7
5,25,2
5,120,3
5,124,1
5,154,2
5,40,17
5,172,5
5,141,7
5,72,1
5,31,1
5,193,3
5,14,4
5,171,2
5,84,1
5,13,5
5,11,1
5,34,1
5,128,1
5,70,1
5,55,2
5,182,1
5,71,1
5,181,1
6,42,14
6,43,17
6,145,5
6,193,16
6,10,16
6,46,3
6,36,12
6,18,1
6,84,10
6,51,12
6,14,3
6,140,1
6,30,2
6,20,19
6,13,4
6,180,6
6,40,15
6,22,1
6,90,6
6,60,4
6,172,6
6,115,1
6,120,4
6,111,1
6,190,15
6,100,4
6,173,16
6,112,10
6,114,2
6,110,4
6,105,1
6,72,1
6,175,1
6,101,1
6,21,1
6,70,1
6,154,1
6,12,4
6,33,1
6,81,1
6,141,5
6,124,2
6,83,2
6,182,1
6,151,1
6,71,2
7,84,5
7,70,3
7,120,9
7,25,3
7,20,23
7,190,10
7,30,4
7,42,10
7,130,2
7,43,13
7,12,2
7,16,2
7,71,3
7,13,2
7,10,20
7,51,12
7,128,1
7,60,2
7,141,5
7,121,3
7,111,2
7,160,2
7,113,1
7,40,9
7,22,3
7,86,2
7,100,4
7,145,2
7,180,4
7,87,1
7,172,6
7,173,9
7,90,5
7,15,3
7,193,8
7,110,1
7,140,3
7,175,3
7,112,2
7,115,1
7,50,1
7,202,1
7,182,2
7,114,1
7,72,1
7,81,1
7,83,1
7,171,1
7,35,2
7,80,1
7,138,2
7,46,4
7,133,2
8,42,9
8,180,1
8,43,8
8,40,9
8,51,5
8,141,11
8,10,5
8,20,7
8,70,4
8,90,1
8,61,1
8,120,2
8,12,3
8,64,1
8,190,2
8,112,2
8,193,5
8,171,2
8,111,2
8,160,1
8,36,2
8,60,1
8,14,1
8,81,1
8,115,1
8,173,3
8,145,1
8,83,1
9,180,5
9,20,7
9,112,3
9,172,1
9,40,2
9,190,12
9,90,1
9,14,1
9,111,1
9,182,2
9,144,1
9,141,3
9,193,6
9,110,2
9,51,2
9,18,2
9,173,2
9,10,5
9,43,2
9,114,1
10,120,1
10,40,5
10,14,2
10,72,4
10,190,8
10,171,2
10,110,3
10,10,5
10,60,1
10,100,3
10,173,3
10,81,4
10,154,1
10,12,6
10,133,1
10,42,8
10,193,7
10,112,7
10,141,9
10,20,11
10,71,1
10,43,4
10,36,3
10,50,5
10,51,11
10,90,6
10,45,5
10,152,1
10,80,3
10,18,1
10,180,4
10,87,3
10,182,1
10,172,3
10,13,3
10,124,2
10,11,3
10,23,1
10,170,1
10,44,1
10,21,2
10,101,1
10,114,1
10,73,1
10,160,1
10,35,1
10,30,1
10,31,1
11,193,7
11,120,1
11,30,3
11,112,5
