day,EventRootCode_counts,count
-7,19,2
-7,4,9
-7,12,5
-7,11,9
-7,1,4
-7,2,7
-7,17,5
-7,5,4
-7,3,4
-7,10,2
-7,18,2
-7,6,2
-7,8,1
-7,14,1
-6,2,1
-6,10,1
-6,1,5
-6,19,1
-6,11,1
-6,4,2
-6,6,1
-6,12,1
-5,5,3
-5,9,1
-5,18,4
-5,8,4
-5,4,1
-5,2,3
-5,1,4
-5,19,3
-5,17,6
-5,7,4
-5,11,2
-5,10,1
-4,2,4
-4,4,19
-4,3,9
-4,19,3
-4,11,5
-4,6,3
-4,5,7
-4,8,2
-4,17,5
-4,12,2
-4,1,2
-4,7,3
-4,18,1
-4,9,1
-3,2,6
-3,4,9
-3,5,4
-3,8,2
-3,3,2
-3,19,5
-3,11,3
-3,1,2
-3,10,1
-3,17,3
-3,16,2
-3,7,1
-3,9,1
-2,2,6
-2,6,3
-2,1,18
-2,13,1
-2,4,11
-2,8,4
-2,9,4
-2,11,7
-2,18,2
-2,19,5
-2,10,2
-2,3,9
-2,12,4
-2,17,9
-2,15,2
-2,16,1
-2,7,1
-1,5,8
-1,4,4
-1,2,19
-1,1,16
-1,11,11
-1,19,10
-1,17,12
-1,14,6
-1,18,4
-1,10,1
-1,13,1
-1,9,3
-1,3,3
-1,12,1
0,19,7
0,17,10
0,5,4
0,3,7
0,14,3
0,1,21
0,8,3
0,4,16
0,2,15
0,11,15
0,6,3
0,9,3
0,18,3
0,10,5
0,13,2
0,16,1
1,19,15
1,18,4
1,1,3
1,2,7
1,14,22
1,4,8
1,17,8
1,3,1
1,11,6
1,12,1
1,9,1
1,10,1
1,5,1
2,12,5
2,19,13
2,14,15
2,2,5
2,11,20
2,8,4
2,1,8
2,5,6
2,4,9
2,10,2
2,17,6
2,15,3
2,13,2
2,18,3
3,14,14
3,17,13
3,9,1
3,13,2
3,1,14
3,3,5
3,18,7
3,7,6
3,15,2
3,6,8
3,2,9
3,4,21
3,10,2
3,19,24
3,5,6
3,11,15
3,12,2
3,16,2
3,8,3
4,4,30
4,17,26
4,3,12
4,19,27
4,10,4
4,2,26
4,9,2
4,11,31
4,12,8
4,14,33
4,7,9
4,1,37
4,13,6
4,8,6
4,6,8
4,18,8
4,5,6
4,15,7
4,16,3
5,8,3
5,4,35
5,19,13
5,13,2
5,5,14
5,14,11
5,10,5
5,1,26
5,11,17
5,2,15
5,12,5
5,15,2
5,17,7
5,7,3
5,3,2
5,18,2
6,4,49
6,14,11
6,19,31
6,1,28
6,3,15
6,8,13
6,5,12
6,2,21
6,18,7
6,9,6
6,6,4
6,17,23
6,11,18
6,12,6
6,10,6
6,7,4
6,15,2
7,8,11
7,7,7
7,12,13
7,2,29
7,19,18
7,3,6
7,4,36
7,13,6
7,1,29
7,5,13
7,6,2
7,14,10
7,11,8
7,16,2
7,10,4
7,18,6
7,17,19
7,9,5
7,20,1
8,4,26
8,18,1
8,5,5
8,14,12
8,1,9
8,2,7
8,7,4
8,9,1
8,6,3
8,12,2
8,19,7
8,11,5
8,17,5
8,16,1
8,3,2
8,8,2
9,18,7
9,2,7
9,11,7
9,17,3
9,4,4
9,19,18
9,9,1
9,1,8
9,14,4
9,5,2
10,12,3
10,4,23
10,1,20
10,7,6
10,19,15
10,17,9
10,11,11
10,6,1
10,10,4
10,8,10
10,15,2
10,13,1
10,14,9
10,2,14
10,3,6
10,5,16
10,9,6
10,18,5
10,16,1
11,19,11
11,12,2
11,3,5
11,11,9
11,7,6
11,4,14
11,2,8
11,18,1
11,17,13
11,9,3
11,8,1
11,1,11
11,10,3
11,14,4
11,13,1
11,6,1
12,4,16
12,19,29
12,18,4
12,7,7
12,17,15
12,11,17
12,5,3
12,8,17
12,14,6
12,1,21
12,9,7
12,6,2
12,3,6
12,2,11
12,10,1
12,13,3
12,12,3
13,2,16
13,18,7
13,14,5
13,19,35
13,9,7
13,8,8
13,11,8
13,5,12
13,1,15
13,10,2
13,12,6
13,4,30
13,17,15
13,6,4
13,13,1
13,3,2
13,7,4
13,16,9
13,15,2
14,19,30
14,14,3
14,18,12
14,4,25
14,17,14
14,11,11
14,13,3
14,1,2
14,5,6
14,2,11
14,3,1
14,12,2
14,8,4
14,6,2
14,7,2
14,10,1
15,4,9
15,7,1
15,1,10
15,17,6
15,2,7
15,6,2
15,9,4
15,18,2
15,5,3
15,8,3
15,19,12
15,16,2
15,3,2
15,11,2
15,14,2
16,4,2
16,7,1
16,17,5
16,19,7
16,5,8
16,2,15
16,9,2
16,10,4
16,11,1
16,1,6
16,3,8
16,18,4
16,14,2
16,6,1
16,8,2
17,5,13
17,11,10
17,8,3
17,2,13
17,4,15
17,13,1
17,16,3
17,14,7
17,1,28
17,17,10
17,12,7
17,19,22
17,6,3
17,3,8
17,7,5
17,9,2
17,10,1
17,18,3
18,2,20
18,17,11
18,14,8
18,12,4
18,5,12
18,1,20
18,4,22
18,19,19
18,13,5
18,3,8
18,11,28
18,8,7
18,9,7
18,6,4
18,18,7
18,10,4
18,7,1
18,16,3
19,11,15
19,5,5
19,8,7
19,1,21
19,2,15
19,9,2
19,6,5
19,14,7
19,12,7
19,19,22
19,10,3
19,4,10
19,7,3
19,17,14
19,13,2
19,18,9
19,3,4
20,4,25
20,11,15
20,17,8
20,1,16
20,19,17
20,5,13
20,3,11
20,12,10
20,2,18
20,8,1
20,7,3
20,18,4
20,6,7
20,9,6
20,10,1
20,13,2
20,14,2
21,2,12
21,1,17
21,11,17
21,10,4
21,8,9
21,4,31
21,9,4
21,3,5
21,5,14
21,19,13
21,12,7
21,6,1
21,17,4
21,7,3
21,18,1
21,13,1
22,2,8
22,11,5
22,5,7
22,17,9
22,19,4
22,12,2
22,1,8
22,14,5
22,4,8
22,3,2
22,8,3
22,10,1
22,9,1
22,7,1
23,17,2
23,19,2
23,4,6
23,2,4
23,1,4
23,5,4
23,11,6
24,3,9
24,2,10
24,4,18
24,5,6
24,18,6
24,8,11
24,10,5
24,7,3
24,12,5
24,19,3
24,17,5
24,1,9
24,9,2
24,11,4
24,14,1
24,16,1
25,14,4
25,19,18
25,13,2
25,2,9
25,11,10
25,17,4
25,4,10
25,8,5
25,1,12
25,6,2
25,5,4
25,7,3
25,12,2
25,10,1
25,3,1
25,18,2
26,1,22
26,4,7
26,5,3
26,10,4
26,6,1
26,8,8
26,7,2
26,19,5
26,14,1
26,2,8
26,17,13
26,9,4
26,3,4
26,11,13
26,12,5
26,16,2
26,13,2
27,1,8
27,10,1
27,16,1
27,4,11
27,11,3
27,7,3
27,2,6
27,14,5
27,8,2
27,5,3
27,6,4
27,19,5
27,17,11
27,9,4
27,12,3
27,18,4
27,3,3
28,19,17
28,2,9
28,1,18
28,4,11
28,6,1
28,5,12
28,12,12
28,14,2
28,7,1
28,11,11
28,10,2
28,17,7
28,8,6
28,9,3
28,13,2
28,18,3
28,3,1
28,16,2
29,1,4
29,5,2
29,6,2
29,3,6
29,2,5
29,16,1
29,15,1
29,8,5
29,17,5
29,12,1
29,11,5
29,14,2
29,19,2
29,9,2
29,18,1
29,4,2
30,5,3
30,2,2
30,19,12
30,1,4
30,4,3
30,17,3
30,12,1
30,16,1
30,8,1
30,18,1
31,19,11
31,4,17
31,12,1
31,1,15
31,8,5
31,11,4
31,7,2
31,2,9
31,14,2
31,5,9
31,18,6
31,10,2
31,17,8
31,9,1
32,8,4
32,2,17
32,11,11
32,5,5
32,1,14
32,3,2
32,7,2
32,4,13
32,12,4
32,17,11
32,19,8
32,18,2
32,6,1
32,9,2
32,14,1
32,10,1
32,16,3
33,2,9
33,11,13
33,17,5
33,16,3
33,10,4
33,19,12
33,12,9
33,1,18
33,3,6
33,4,19
