day,Actor1Code_counts,count
-7,GOV,2
-7,HLH,1
-7,USA,4
-7,USAGOV,1
-7,EDU,1
-7,JUD,1
-7,REF,2
-7,MNCUSAMED,2
-6,USA,5
-6,EDU,1
-6,GOV,1
-5,COP,4
-5,USA,6
-5,USACOP,1
-5,LEG,1
-5,USAJUD,1
-5,JUD,2
-5,CVL,1
-5,CAN,4
-5,DEU,1
-5,ISR,1
-4,MED,3
-4,EDU,2
-4,USA,2
-4,COP,3
-4,ISR,2
-4,ISRGOV,1
-3,ISR,1
-3,MED,2
-3,JUD,5
-3,MIL,1
-3,COP,2
-3,CRM,1
-3,USA,6
-3,MEX,1
-2,USA,8
-2,MED,3
-2,COP,1
-2,GOV,3
-2,BUS,1
-2,CVL,1
-1,USA,4
-1,LEG,1
-1,MNCUSAHLH,1
-1,MIL,2
-1,USAENV,1
-1,USAGOVAGR,1
-1,GOV,2
-1,tel,1
-1,BUS,1
-1,USAMED,1
0,USA,10
0,GOVCOP,2
0,HLH,2
0,MED,1
0,GOV,2
0,ISRGOV,2
1,MDV,2
1,COL,3
1,USA,6
1,PAN,1
1,GOV,3
1,AGR,1
1,CAN,1
1,LEG,1
1,HLH,2
1,BUS,1
2,JUD,2
2,USA,33
2,BUS,2
2,CVL,3
2,GOV,5
2,USAEDU,1
2,DEU,1
2,NLD,1
2,COP,5
2,AGR,1
2,ISR,5
2,USACOP,1
2,RUS,1
2,USAGOV,2
2,HLH,2
2,PSE,1
2,UAF,1
2,ISROPP,1
2,OPP,2
2,MED,1
3,GOV,51
3,ISR,51
3,PSEREB,12
3,USA,195
3,CVL,18
3,EDU,5
3,USAOPP,2
3,USAEDU,6
3,TUR,1
3,TURBUS,1
3,ISRGOV,8
3,EGY,9
3,EGYCRM,2
3,SPY,1
3,UAF,20
3,PSE,27
3,JEW,17
3,JEWCVL,10
3,COP,34
3,USACOP,14
3,USAGOV,29
3,ISRJEW,8
3,USAMED,4
3,MED,13
3,OPP,5
3,USAJUD,2
3,CHN,1
3,BUS,2
3,PHL,1
3,USAPTY,1
3,HLH,5
3,MIL,2
3,MOS,1
3,LEG,6
3,RUS,9
3,JUD,12
3,DNK,1
3,CRM,5
3,NGOHLHIRC,2
3,IGOUNO,1
3,REF,4
3,CAN,4
3,GOVEDU,1
3,ARE,1
3,PTY,2
3,COPGOV,4
3,MOSUAF,1
3,ISRGOVHLH,1
3,PSEGOVHLH,1
3,JOR,1
3,JORCOP,1
3,USAHLH,3
3,IND,3
3,IRL,2
3,JEWHSD010,1
3,USAJEW,1
3,NGOJEW,1
3,JEWOPP,1
3,USACVL,2
3,USALEG,2
3,NGOUSAJEW,2
3,PSEREBUAF,2
3,ISRGOVEDU,2
3,USAGOVCOP,1
3,MDV,2
3,USAELI,2
3,UKR,1
3,GOVHLH,1
4,USA,132
4,USAJUD,7
4,PTY,3
4,BUS,5
4,RUS,9
4,JEW,18
4,UAF,13
4,USAUAF,5
4,PSE,11
4,ISR,13
4,MOS,3
4,COPGOV,2
4,EUR,5
4,GOV,17
4,USAGOV,11
4,CVL,11
4,CRM,4
4,COL,2
4,GUY,2
4,PAN,2
4,COP,15
4,JUD,13
4,MDV,3
4,SPY,1
4,ISRGOV,3
4,EGY,10
4,MIL,1
4,LEG,2
4,USALEG,2
4,MED,7
4,OPP,4
4,USAMED,3
4,HLH,4
4,USAHLH,3
4,GOVHLH,1
4,JEWHSD010,1
4,PSEREB,5
4,JEWLEG,2
4,REL,3
4,THA,1
4,USAEDU,1
4,USACOP,4
4,EDU,5
4,CHRCTH,2
4,USAGOVELI,2
4,bar,1
4,GOVEDU,1
4,USAOPP,3
4,chy,2
4,CAN,1
4,USAJEW,1
4,JEWCVL,2
5,JUD,14
5,GOV,10
5,USA,61
5,USAGOV,2
5,MOS,2
5,USAMED,1
5,MED,6
5,EDU,1
5,ISR,5
5,PSEREB,6
5,HIN,1
5,CVL,9
5,KWT,1
5,JUDJUD,3
5,REL,3
5,BUS,2
5,UAF,1
5,HLH,1
5,RUS,5
5,COP,4
5,LEG,7
5,MEX,1
5,AFR,1
5,ISRJEW,1
5,JEWCVL,1
5,JEW,2
5,USAUAF,1
5,USALEG,2
5,USAJUD,1
5,COPJUD,2
5,CHN,1
5,ETH,1
5,CRM,2
5,AGR,1
5,PER,1
5,COL,1
5,GOVEDU,2
6,USA,65
6,USAGOV,5
6,GOV,13
6,JEW,12
6,JUD,15
6,BUS,3
6,NGOHRI,1
6,RUS,3
6,PSEREB,5
6,CVL,11
6,EGY,9
6,EGYUAF,1
6,PSE,4
6,AFG,4
6,FRA,2
6,PAK,1
6,ISR,3
6,ELIHLH,2
6,HTI,3
6,USAJUD,3
6,EDU,2
6,MED,4
6,MOSCVL,3
6,USALEG,1
6,PSEREBEDU,1
6,GOVLAB,1
6,COPGOV,3
6,ESP,1
6,JEWCVL,2
6,USACVL,1
6,CUB,1
6,EUR,1
6,CHR,4
6,MOS,8
6,AFGCVL,1
6,COG,2
6,ERI,2
6,GNQ,2
6,MMR,2
6,SDN,2
6,TCD,2
6,AFR,1
6,LBY,1
6,SOM,1
6,IRN,1
6,YEM,1
6,TGO,2
6,RAD,2
6,SLE,2
6,OPP,1
6,INT,1
6,VEN,2
6,EGYGOV,1
7,COP,7
7,USA,52
7,PSE,3
7,HUN,2
7,JEW,4
7,PSEREB,2
7,EUR,1
7,GOV,8
7,LABGOV,1
7,MIL,2
7,JUD,10
7,EDU,1
7,USAJUD,1
7,NGO,1
7,AGR,4
7,BUS,1
7,ISR,8
7,JEWOPP,2
7,CRM,3
7,INT,1
7,GOVBUS,1
7,LAB,2
7,LEG,1
7,USALEG,1
7,HTI,2
7,AFG,2
7,YEM,2
7,LBY,2
7,MMR,1
7,COG,2
7,ERI,2
7,GNQ,2
7,SOM,2
7,TCD,2
7,SDN,2
7,IRN,2
7,CVL,1
7,USAPRI,2
7,PSEREBUAF,3
7,USAGOV,2
7,MOS,4
8,USA,11
8,CVL,1
8,USAJUD,1
8,JUD,6
8,EDU,3
8,IRN,1
8,USAGOV,1
8,CRM,1
8,COP,2
8,JUDJUD,1
8,OPP,1
8,AFR,3
8,GOV,3
8,ISR,1
8,MIL,1
9,CVL,2
9,USA,12
9,ISR,1
9,IGOUNO,1
9,NRMRAC020,1
9,CAN,2
9,LAB,1
9,HLH,5
9,JEW,1
9,COL,1
9,GOV,2
9,REL,1
9,NGA,1
9,USAGOV,2
9,LEGOPP,1
10,USA,9
10,COP,2
10,GOV,1
10,CRM,1
10,COL,1
10,USAELI,1
10,GBR,2
10,CVL,1
10,PSE,1
10,LAB,1
10,ISR,2
10,JEWCVL,1
10,NGOUSAJEW,3
10,LEG,2
10,USAGOV,4
10,JUD,1
11,SAU,2
11,USA,20
11,ISR,4
11,CVL,10
11,EDU,1
11,HINAST700,2
11,MDV,1
11,USAGOV,1
11,LAB,2
11,IRQ,1
11,JUD,2
11,MOS,1
11,AFG,1
11,GOV,2
11,LEG,1
11,JEW,2
11,PSE,1
11,UAF,1
11,EGY,2
11,PSEREB,7
12,GOV,11
12,USAGOV,3
12,OPP,4
12,CVL,4
12,JEW,1
12,LAB,1
12,USA,11
12,USALAB,1
12,CAN,1
12,MNCUSAHLH,2
12,EDU,3
12,JEWEDU,1
13,JUD,1
13,USA,9
13,LEG,1
13,CVL,1
13,USACOP,1
13,COP,2
13,HLH,2
14,GOV,3
14,USA,7
14,USACVL,1
14,OPP,2
14,USACOP,1
14,JUD,2
14,CVL,2
14,ISR,1
14,USAAGR,1
14,AGR,1
