day,EventBaseCode_counts,count
-7,20,3
-7,70,3
-7,143,3
-7,35,1
-7,138,1
-7,192,1
-7,12,1
-7,40,1
-7,23,1
-7,46,1
-7,110,1
-7,10,1
-7,90,1
-6,10,2
-6,43,2
-6,73,1
-6,110,1
-6,15,1
-5,42,3
-5,43,6
-5,193,1
-5,17,1
-5,90,3
-5,124,2
-5,10,1
-5,51,3
-5,52,1
-5,63,1
-5,13,1
-4,51,1
-4,84,3
-4,120,1
-4,110,1
-4,130,1
-4,26,1
-4,161,2
-4,193,1
-4,182,1
-4,71,1
-3,43,3
-3,10,2
-3,42,2
-3,51,1
-3,190,4
-3,112,1
-3,138,2
-3,14,1
-3,120,2
-3,128,1
-3,13,1
-3,84,1
-2,115,1
-2,30,1
-2,10,3
-2,173,1
-2,13,1
-2,111,1
-2,190,2
-2,192,2
-2,90,1
-2,70,1
-2,120,1
-2,124,1
-2,172,1
-2,71,1
-2,160,1
-2,138,1
-1,173,2
-1,36,1
-1,43,4
-1,190,1
-1,57,1
-1,11,1
-1,90,2
-1,10,1
-1,42,2
-1,20,1
-1,70,1
0,71,1
0,10,1
0,20,1
0,30,1
0,173,4
0,36,1
0,100,1
0,112,2
0,15,3
0,90,3
0,190,1
1,10,1
1,120,2
1,42,6
1,43,5
1,20,2
1,84,2
1,111,1
1,13,1
1,14,1
1,112,1
1,16,2
1,75,1
2,10,7
2,11,1
2,138,1
2,73,2
2,42,6
2,20,6
2,43,7
2,46,2
2,40,4
2,35,1
2,51,2
2,114,1
2,90,6
2,60,4
2,182,5
2,50,2
2,192,1
2,173,3
2,84,1
2,190,5
2,111,6
2,193,1
2,30,1
2,83,1
2,93,1
2,195,1
2,13,1
2,112,1
2,180,1
3,40,34
3,43,59
3,42,62
3,13,14
3,190,38
3,180,25
3,60,11
3,193,15
3,141,18
3,51,33
3,182,14
3,111,53
3,20,27
3,173,49
3,84,8
3,90,15
3,10,68
3,46,7
3,172,4
3,105,1
3,112,27
3,124,3
3,110,6
3,130,13
3,14,5
3,30,4
3,120,1
3,154,1
3,45,2
3,145,1
3,194,4
3,17,2
3,70,4
3,36,2
3,181,14
3,18,5
3,100,5
3,174,3
3,23,2
3,16,2
3,81,2
3,53,2
3,192,9
3,12,7
3,138,1
3,80,1
3,171,1
3,50,1
3,72,1
3,31,1
3,21,1
3,92,1
3,15,1
3,195,1
3,93,1
4,23,2
4,75,1
4,14,3
4,111,15
4,43,30
4,90,9
4,12,10
4,190,29
4,10,22
4,112,32
4,51,22
4,87,3
4,42,28
4,173,11
4,60,12
4,180,8
4,120,7
4,130,2
4,182,7
4,174,1
4,25,1
4,193,9
4,40,9
4,36,8
4,192,5
4,115,1
4,138,14
4,110,4
4,20,15
4,84,7
4,80,3
4,18,3
4,129,1
4,141,3
4,53,4
4,124,2
4,13,11
4,70,3
4,128,2
4,181,3
4,100,5
4,50,2
4,172,4
4,31,1
4,105,2
4,71,2
4,46,4
4,21,1
4,15,3
4,114,1
4,30,7
4,73,3
4,11,1
4,72,2
4,195,1
4,186,1
5,80,3
5,63,2
5,112,5
5,130,2
5,10,12
5,100,5
5,173,15
5,111,15
5,84,3
5,43,12
5,51,6
5,181,4
5,42,10
5,13,2
5,72,1
5,139,1
5,138,3
5,174,3
5,20,7
5,172,3
5,110,4
5,30,1
5,23,2
5,12,5
5,120,4
5,75,1
5,190,9
5,180,3
5,131,1
5,11,1
5,124,2
5,14,2
5,129,1
5,182,2
5,90,4
5,194,2
5,140,2
5,193,1
5,40,1
5,53,1
5,141,3
5,33,1
5,87,2
5,60,1
5,21,3
5,175,1
5,36,4
5,61,2
6,20,15
6,40,9
6,150,4
6,84,6
6,43,12
6,42,14
6,111,10
6,14,2
6,190,7
6,12,3
6,81,2
6,80,9
6,180,7
6,36,6
6,172,43
6,10,11
6,51,9
6,71,2
6,193,3
6,124,1
6,110,3
6,11,2
6,50,4
6,120,4
6,60,4
6,113,1
6,183,1
6,125,1
6,112,12
6,194,1
6,115,1
6,141,1
6,105,1
6,100,3
6,63,1
6,170,1
6,174,3
6,30,1
6,160,1
6,173,1
6,13,9
6,61,1
6,195,1
6,182,3
6,53,1
6,25,1
6,46,2
6,191,1
6,130,1
7,46,6
7,172,5
7,112,8
7,51,8
7,20,9
7,43,9
7,190,9
7,42,4
7,80,3
7,173,7
7,193,8
7,13,1
7,14,1
7,36,1
7,174,3
7,10,6
7,87,1
7,120,4
7,100,4
7,110,6
7,180,5
7,141,1
7,30,2
7,12,1
7,50,7
7,130,1
7,15,1
7,138,1
7,40,2
7,33,1
7,195,3
7,182,2
7,11,1
7,129,1
7,22,1
7,111,2
7,90,23
7,53,2
7,84,1
7,75,1
8,40,3
8,173,4
8,100,3
8,16,1
8,141,3
8,130,1
8,172,2
8,182,2
8,190,1
8,112,2
8,15,1
8,110,1
8,20,1
8,39,1
8,51,3
8,71,4
8,42,1
8,90,1
8,43,1
8,84,2
8,18,2
9,40,4
9,180,2
9,175,2
9,111,3
9,20,2
9,193,2
9,190,2
9,43,3
9,42,2
9,113,1
9,173,1
9,13,1
9,10,6
9,71,1
9,36,1
9,51,1
9,84,2
9,185,2
9,18,1
10,14,2
10,20,5
10,190,3
10,51,7
10,180,1
10,42,6
10,60,1
10,130,1
10,10,3
10,13,2
10,43,3
10,120,1
10,111,1
10,112,1
10,160,1
11,114,1
11,80,1
11,13,1
11,36,1
11,193,3
11,20,4
11,172,4
11,42,5
11,112,1
11,43,5
11,50,1
11,10,3
11,51,7
11,130,2
11,129,3
11,85,1
11,84,2
11,111,1
11,110,4
11,12,1
11,100,7
11,124,1
11,52,1
11,30,1
11,190,4
11,181,3
12,16,3
12,10,3
12,73,1
12,110,5
12,42,1
12,112,1
12,36,5
12,46,2
12,84,1
12,20,2
12,22,3
12,130,3
12,72,3
12,172,1
12,111,1
12,40,2
12,90,2
12,193,2
12,190,2
12,33,1
12,51,1
13,124,1
13,50,2
13,51,1
13,12,1
13,20,1
13,110,1
13,13,2
13,193,2
13,182,3
13,42,1
13,173,1
13,43,1
13,172,1
13,10,2
13,84,2
14,120,1
14,61,1
14,71,2
14,90,1
14,114,1
14,20,1
14,30,3
14,173,2
14,190,1
14,17,1
14,144,1
14,100,1
14,84,1
14,10,2
14,112,1
14,110,1
14,194,1
14,13,1
