day,EventRootCode_counts,count
-7,2,4
-7,7,3
-7,14,3
-7,3,1
-7,13,1
-7,19,1
-7,1,2
-7,4,2
-7,11,1
-7,9,1
-6,1,3
-6,4,2
-6,7,1
-6,11,1
-5,4,9
-5,19,1
-5,1,3
-5,9,3
-5,12,2
-5,5,4
-5,6,1
-4,5,1
-4,8,3
-4,12,1
-4,11,1
-4,13,1
-4,2,1
-4,16,2
-4,19,1
-4,18,1
-4,7,1
-3,4,5
-3,1,4
-3,5,1
-3,19,4
-3,11,1
-3,13,2
-3,12,3
-3,8,1
-2,11,2
-2,3,1
-2,1,4
-2,17,2
-2,19,4
-2,9,1
-2,7,2
-2,12,2
-2,16,1
-2,13,1
-1,17,2
-1,3,1
-1,4,6
-1,19,1
-1,5,1
-1,1,2
-1,9,2
-1,2,1
-1,7,1
0,7,1
0,1,4
0,2,1
0,3,2
0,17,4
0,10,1
0,11,2
0,9,3
0,19,1
1,1,5
1,12,2
1,4,11
1,2,2
1,8,2
1,11,2
1,7,1
2,1,9
2,13,1
2,7,2
2,4,19
2,2,6
2,3,2
2,5,4
2,11,8
2,9,7
2,6,4
2,18,6
2,19,8
2,17,3
2,8,2
3,4,164
3,1,104
3,19,67
3,18,53
3,6,11
3,14,19
3,5,36
3,11,86
3,2,30
3,17,57
3,8,11
3,9,17
3,10,6
3,12,4
3,13,14
3,3,7
3,15,1
3,7,5
4,2,19
4,7,11
4,1,53
4,11,53
4,4,71
4,9,9
4,19,44
4,5,28
4,8,13
4,17,16
4,6,12
4,18,19
4,12,12
4,13,16
4,3,16
4,14,3
4,10,7
5,8,8
5,6,5
5,11,24
5,13,7
5,1,22
5,10,5
5,17,22
5,4,23
5,5,7
5,18,9
5,7,2
5,2,12
5,3,6
5,12,7
5,19,12
5,9,4
5,14,5
6,2,16
6,4,37
6,15,4
6,8,17
6,11,27
6,1,27
6,19,13
6,18,11
6,3,7
6,17,48
6,5,14
6,7,2
6,12,6
6,6,6
6,14,1
6,10,4
6,16,1
6,13,1
7,4,21
7,17,15
7,11,16
7,5,17
7,2,10
7,19,20
7,8,5
7,1,11
7,3,4
7,12,5
7,10,4
7,18,7
7,14,1
7,13,2
7,9,23
7,7,1
8,4,5
8,17,6
8,10,3
8,1,4
8,14,3
8,13,1
8,18,2
8,19,1
8,11,3
8,2,1
8,3,1
8,5,3
8,7,4
8,9,1
8,8,2
9,4,9
9,18,4
9,17,3
9,11,4
9,2,2
9,19,4
9,1,8
9,7,1
9,3,1
9,5,1
9,8,2
10,1,7
10,2,5
10,19,3
10,5,7
10,18,1
10,4,9
10,6,1
10,13,1
10,12,1
10,11,2
10,16,1
11,11,7
11,8,4
11,1,5
11,3,2
11,19,7
11,2,4
11,17,4
11,4,10
11,5,9
11,13,2
11,12,4
11,10,7
11,18,3
12,1,6
12,7,4
12,11,7
12,4,5
12,3,6
12,8,1
12,2,5
12,13,3
12,17,1
12,9,2
12,19,4
12,5,1
13,12,1
13,5,3
13,1,5
13,2,1
13,11,1
13,19,2
13,18,3
13,4,2
13,17,2
13,8,2
14,12,1
14,6,1
14,7,2
14,9,1
14,11,3
14,2,1
14,3,3
14,17,2
14,19,2
14,1,4
14,14,1
14,10,1
14,8,1
