day,EventBaseCode_counts,count
-7,194,1
-7,190,4
-7,20,4
-7,110,1
-7,51,2
-7,112,2
-7,30,1
-7,90,1
-7,40,1
-7,84,1
-7,43,1
-7,10,3
-7,120,2
-7,50,1
-7,73,1
-7,33,1
-7,193,7
-7,111,1
-7,172,1
-6,12,1
-6,42,8
-6,43,6
-6,173,5
-6,17,1
-6,40,4
-6,193,2
-6,84,1
-6,111,3
-6,46,6
-6,190,2
-6,51,3
-6,36,4
-6,112,3
-5,10,9
-5,112,3
-5,40,11
-5,14,1
-5,46,1
-5,90,1
-5,51,3
-5,60,1
-5,193,2
-5,84,3
-5,111,2
-5,173,4
-5,42,7
-5,43,7
-5,120,3
-5,13,2
-5,190,2
-5,35,2
-5,110,5
-5,15,1
-5,20,2
-5,87,1
-5,45,1
-5,11,1
-4,42,17
-4,50,2
-4,110,4
-4,43,14
-4,12,1
-4,111,4
-4,190,1
-4,10,6
-4,173,3
-4,51,12
-4,13,1
-4,70,4
-4,90,3
-4,193,3
-4,141,1
-4,60,2
-4,15,2
-4,163,2
-4,71,1
-4,45,1
-4,21,2
-4,40,13
-4,100,2
-4,172,1
-4,11,1
-4,124,1
-4,171,1
-4,20,6
-4,133,1
-4,80,1
-4,41,1
-4,46,1
-4,31,1
-4,120,1
-4,182,1
-3,193,5
-3,10,5
-3,46,3
-3,190,9
-3,42,10
-3,83,1
-3,30,2
-3,36,3
-3,40,3
-3,111,4
-3,141,2
-3,84,5
-3,43,6
-3,160,1
-3,20,3
-3,100,2
-3,51,7
-3,70,3
-3,172,3
-3,15,2
-3,23,2
-3,120,2
-3,112,4
-3,50,3
-3,110,1
-3,71,1
-3,12,1
-2,170,2
-2,20,8
-2,190,11
-2,43,11
-2,42,10
-2,51,4
-2,40,3
-2,193,8
-2,60,2
-2,21,1
-2,173,3
-2,10,5
-2,100,1
-2,90,1
-2,180,5
-2,70,1
-2,50,1
-2,11,1
-2,172,2
-2,12,1
-2,111,2
-2,130,2
-2,72,1
-2,138,4
-2,46,2
-2,36,2
-1,20,8
-1,193,12
-1,84,1
-1,190,6
-1,182,4
-1,110,3
-1,40,4
-1,17,2
-1,70,1
-1,36,12
-1,10,2
-1,172,1
-1,90,2
-1,71,1
-1,100,1
-1,46,4
-1,112,2
-1,111,2
-1,14,1
-1,13,3
-1,173,6
-1,43,2
-1,18,2
-1,120,1
-1,42,1
-1,51,1
-1,12,1
0,43,4
0,10,11
0,91,2
0,120,7
0,90,3
0,190,4
0,60,1
0,21,1
0,11,1
0,193,11
0,20,5
0,173,4
0,172,3
0,51,2
0,84,2
0,14,1
0,17,1
0,110,1
0,183,1
0,111,2
0,70,2
0,42,3
0,12,1
0,192,2
0,15,2
1,190,53
1,193,71
1,42,13
1,43,15
1,138,3
