day,EventBaseCode_counts,count
-8,43,3
-8,112,1
-8,130,1
-8,70,3
-8,173,10
-8,124,1
-8,42,5
-8,84,1
-8,190,5
-8,13,1
-8,180,2
-8,193,2
-8,20,4
-8,83,1
-8,80,2
-8,71,2
-8,90,2
-8,100,3
-8,111,3
-8,120,2
-8,10,4
-8,172,1
-8,171,1
-8,87,2
-8,15,2
-8,114,2
-8,40,1
-8,192,2
-8,46,2
-8,30,1
-7,193,1
-7,20,2
-7,42,2
-7,43,1
-7,110,1
-7,173,3
-7,60,2
-7,190,2
-7,10,2
-7,71,3
-7,120,1
-7,61,1
-7,83,2
-7,46,2
-6,83,1
-6,50,2
-6,70,1
-6,190,2
-6,10,1
-6,81,1
-6,193,4
-6,173,1
-6,51,1
-6,60,1
-6,20,1
-6,13,1
-6,75,2
-6,125,1
-5,33,1
-5,10,6
-5,193,5
-5,190,4
-5,87,1
-5,130,2
-5,51,5
-5,60,1
-5,50,2
-5,110,2
-5,111,3
-5,55,1
-5,36,7
-5,20,3
-5,173,1
-5,84,3
-5,42,1
-5,43,1
-5,112,3
-5,180,1
-5,46,8
-5,13,3
-5,21,3
-5,40,4
-5,114,2
-5,83,1
-5,35,1
-5,160,1
-4,190,7
-4,40,2
-4,31,1
-4,10,4
-4,112,2
-4,13,1
-4,90,3
-4,180,5
-4,20,7
-4,173,5
-4,111,1
-4,193,13
-4,25,1
-4,130,1
-4,36,2
-4,51,2
-4,182,2
-4,114,3
-4,43,3
-4,42,2
-4,46,1
-4,71,1
-3,112,10
-3,20,7
-3,90,4
-3,43,3
-3,45,1
-3,40,4
-3,51,6
-3,71,4
-3,42,3
-3,190,3
-3,182,1
-3,193,6
-3,73,1
-3,60,1
-3,10,12
-3,13,3
-3,80,4
-3,110,1
-3,36,6
-3,18,1
-3,160,1
-3,111,4
-3,192,3
-3,173,5
-3,84,2
-3,21,1
-3,55,2
-3,83,2
-3,11,2
-3,120,1
-2,190,8
-2,193,16
-2,10,9
-2,202,1
-2,43,8
-2,42,9
-2,51,6
-2,46,7
-2,130,5
-2,173,4
-2,112,6
-2,180,1
-2,36,3
-2,70,3
-2,40,8
-2,13,2
-2,20,8
-2,172,5
-2,18,1
-2,90,3
-2,100,1
-2,120,4
-2,111,2
-2,73,1
-1,130,1
-1,193,14
-1,10,7
-1,46,3
-1,40,8
-1,190,6
-1,173,3
-1,43,2
-1,42,6
-1,60,3
-1,70,3
-1,112,2
-1,36,4
-1,111,1
-1,50,1
-1,90,3
-1,31,1
-1,51,4
-1,13,2
-1,100,1
-1,182,1
0,193,46
0,114,1
0,190,17
0,81,1
0,32,7
0,72,1
0,42,13
0,50,1
0,60,8
0,173,5
0,43,9
0,36,7
0,35,1
0,120,2
0,112,5
0,180,2
0,10,21
0,141,2
0,154,1
0,16,3
0,51,15
0,40,20
0,33,1
0,31,1
0,192,1
0,145,4
0,20,11
0,90,9
0,14,3
0,13,2
0,11,4
0,111,2
0,17,3
0,113,1
0,45,1
0,110,1
0,172,1
0,12,4
0,160,3
0,46,9
0,84,1
0,182,2
0,75,1
0,18,3
0,130,1
0,30,2
1,173,43
1,112,29
1,10,58
1,20,31
1,90,22
1,46,15
1,193,139
1,190,67
1,172,4
1,70,13
1,51,43
1,18,17
1,42,26
1,120,9
1,110,7
1,80,12
1,40,34
1,13,15
1,180,10
1,16,1
1,14,6
1,36,10
1,60,12
1,84,4
1,143,1
1,30,6
1,182,7
1,23,1
1,52,3
1,43,15
1,145,2
1,15,6
1,81,1
1,186,2
1,138,3
1,160,3
1,202,3
1,94,1
1,87,7
1,35,1
1,32,8
1,111,11
1,166,1
1,17,10
1,170,3
1,100,2
1,72,2
1,192,4
1,25,1
1,91,5
1,114,4
1,26,1
1,12,7
1,57,1
1,62,5
1,153,1
1,183,1
1,130,4
1,50,3
1,75,1
1,128,1
1,71,3
1,171,2
1,11,1
1,140,2
2,190,87
2,10,94
2,193,152
2,60,10
2,112,49
2,180,12
2,40,60
2,12,6
2,172,12
2,51,40
2,30,7
2,80,7
2,46,21
2,91,8
2,42,52
2,173,36
2,13,14
2,110,16
2,20,48
2,90,6
2,141,1
2,17,19
2,111,52
2,11,3
2,36,12
2,202,6
2,70,11
2,43,46
2,130,27
2,14,7
2,84,9
2,22,2
2,100,9
2,182,13
2,87,6
2,160,2
2,171,4
2,124,1
2,192,4
2,26,5
2,114,2
2,18,8
2,31,3
2,138,11
2,120,14
2,53,4
2,139,1
2,25,3
2,122,1
2,55,1
2,191,3
2,15,1
2,23,4
2,32,3
2,57,2
2,33,2
2,170,1
2,134,1
2,73,1
2,72,2
2,83,2
2,35,1
2,131,1
2,129,1
2,143,2
2,145,1
2,21,2
2,27,2
2,153,1
2,174,1
2,128,1
3,111,20
3,80,14
3,90,17
3,180,5
3,193,108
3,20,32
3,14,6
3,13,6
3,18,5
3,130,12
3,160,1
3,46,9
3,51,28
3,71,5
3,33,7
3,36,11
3,31,2
3,110,10
3,60,2
3,26,4
3,10,34
3,94,1
3,173,19
3,43,32
3,15,1
3,141,2
3,112,26
3,190,56
3,24,1
3,42,26
3,120,8
3,172,8
3,100,7
3,30,9
3,202,3
3,11,1
3,138,2
3,40,24
3,32,1
3,50,3
3,70,10
3,57,4
3,129,1
3,52,2
3,84,2
3,55,1
3,150,3
3,17,7
3,164,6
3,22,1
3,91,2
3,185,2
3,61,3
3,182,4
3,12,6
3,183,1
3,128,1
3,72,2
3,21,1
3,124,2
3,174,1
3,114,1
3,53,1
3,144,1
3,162,1
4,10,45
4,80,3
4,12,11
4,100,8
4,42,30
4,190,23
4,20,30
4,193,87
4,180,13
4,43,26
4,13,7
4,173,8
4,111,21
4,112,23
4,40,46
4,36,21
4,17,4
4,51,20
4,70,9
4,90,8
4,60,2
4,171,1
4,186,1
4,185,1
4,84,4
4,46,18
4,110,4
4,14,2
4,81,2
4,27,1
4,138,5
4,30,4
4,33,2
4,71,6
4,120,5
4,18,4
4,195,2
4,172,5
4,141,9
4,57,2
4,50,1
4,56,1
4,44,1
4,55,1
4,124,2
4,114,5
4,91,1
4,45,1
4,61,6
4,164,2
4,125,2
4,160,2
4,11,2
4,130,2
4,16,2
4,26,2
4,31,2
4,127,1
4,73,1
4,87,1
4,182,5
5,87,2
5,22,3
5,100,6
5,145,1
5,173,12
5,40,30
5,84,9
5,91,3
5,36,22
5,46,23
5,180,8
5,10,38
5,43,33
5,42,44
5,190,22
5,51,38
5,13,11
5,31,6
5,141,8
5,193,81
5,12,8
5,20,33
5,174,1
5,112,9
5,120,10
5,111,19
5,80,10
5,202,1
5,30,2
5,75,4
5,130,6
5,83,3
5,71,8
5,14,2
5,160,8
5,90,11
5,18,2
5,72,2
5,172,2
5,27,2
5,195,1
5,70,6
5,55,1
5,56,1
5,171,1
5,115,2
5,138,3
5,26,3
5,110,6
5,60,7
5,23,1
5,52,3
5,133,1
5,41,4
5,53,1
5,150,3
5,104,2
5,125,1
5,166,1
5,154,1
5,33,3
5,192,1
5,161,1
6,183,3
6,182,3
6,20,15
6,193,57
6,51,30
6,120,7
6,10,28
6,190,17
6,15,4
6,173,9
6,84,5
6,111,11
6,13,13
6,60,2
6,46,11
6,36,7
6,100,2
6,23,1
6,72,1
6,57,1
6,42,19
6,43,14
6,40,10
6,112,14
6,14,2
6,161,1
6,25,1
6,70,4
6,55,1
6,172,7
6,180,8
6,91,3
6,81,1
6,130,6
6,90,6
6,12,7
6,30,2
6,195,1
6,114,1
6,80,2
6,192,1
6,26,1
6,128,2
6,110,2
6,138,1
6,71,1
6,52,2
6,150,1
6,17,2
6,73,1
7,124,1
7,11,1
7,130,4
7,10,15
7,13,7
7,16,1
7,100,4
7,20,8
7,14,1
7,193,19
7,15,3
7,50,1
7,51,16
7,173,4
7,112,7
7,190,7
7,40,8
7,110,2
7,80,3
7,180,3
7,172,4
7,36,4
7,43,6
7,17,2
7,30,6
7,42,10
7,60,1
7,120,2
7,90,2
7,182,3
7,111,3
7,70,3
7,71,2
7,140,1
7,12,5
7,61,2
7,115,1
7,46,2
7,181,1
7,153,2
8,173,6
8,42,6
8,63,1
8,20,6
8,130,4
8,193,24
8,40,9
8,172,1
8,190,5
8,10,9
8,170,1
8,112,10
8,202,1
8,91,1
8,90,2
8,51,6
8,110,4
8,13,4
8,12,1
8,52,1
8,46,1
8,43,1
8,80,3
8,111,4
8,180,5
8,17,1
8,84,1
8,73,1
8,70,3
8,100,1
8,26,8
9,110,3
9,51,12
9,80,6
9,42,10
9,43,7
9,112,5
9,120,4
9,111,4
9,10,19
9,20,3
9,193,31
9,60,1
9,30,2
9,125,1
9,33,4
9,36,6
9,84,3
9,190,12
9,75,1
9,13,5
9,40,4
9,26,1
9,114,2
9,12,4
9,23,1
9,31,1
9,130,1
9,90,1
9,46,3
9,140,3
9,173,2
9,202,2
9,182,1
9,192,1
9,170,2
9,172,3
9,50,2
9,70,3
9,186,2
9,71,1
9,64,2
9,57,1
9,18,2
9,62,2
9,180,2
9,101,2
9,91,1
9,134,1
10,91,1
10,190,9
10,10,15
10,40,4
10,193,20
10,42,6
10,57,6
10,112,5
10,14,3
10,12,2
10,13,3
10,20,7
10,51,4
10,90,3
10,36,4
10,43,4
10,172,3
10,23,2
10,50,2
10,110,2
10,111,1
10,114,2
10,84,1
10,21,4
10,180,1
10,130,2
10,70,1
10,46,1
10,100,1
10,173,3
10,71,1
10,31,1
10,11,1
10,87,3
11,193,27
11,20,10
11,130,3
11,128,1
11,190,5
11,33,3
11,173,6
11,112,4
11,40,17
11,43,13
11,42,9
11,71,5
11,141,1
11,14,4
11,120,6
11,51,4
11,50,1
11,10,10
11,15,3
11,80,3
11,30,2
11,90,5
11,35,1
11,46,2
11,12,3
11,13,4
11,171,1
11,60,2
11,111,4
11,129,1
11,36,4
11,70,2
11,138,2
11,84,1
11,57,8
11,17,1
11,110,6
11,100,2
11,194,1
11,114,2
11,180,2
11,22,1
12,182,2
12,42,15
12,193,26
12,14,3
12,30,3
12,10,17
12,20,21
12,190,7
12,173,7
12,46,8
12,31,3
12,36,2
12,114,1
12,129,3
12,43,15
12,12,3
12,90,4
12,51,5
12,17,4
12,13,3
12,120,3
12,40,15
12,112,7
12,80,2
12,130,2
12,72,2
12,41,10
12,84,2
12,100,6
12,83,1
12,145,1
12,71,3
12,110,1
12,160,1
12,87,2
12,111,1
12,23,1
12,15,1
12,11,1
12,91,1
12,154,2
12,64,2
12,180,1
12,52,1
12,172,3
12,81,1
13,43,9
13,42,6
13,35,1
13,87,2
13,12,2
13,20,9
13,120,3
13,46,4
13,193,19
13,173,3
13,51,9
13,190,14
13,10,8
13,21,2
13,112,3
13,14,4
13,71,2
13,111,8
13,130,3
13,110,2
13,172,3
13,180,5
13,100,2
13,191,3
13,13,2
13,26,1
13,40,9
13,17,2
13,36,2
13,90,2
13,192,1
13,84,1
13,70,1
13,30,1
13,80,1
14,60,3
14,51,5
14,42,5
14,17,1
14,43,5
14,18,1
14,172,1
14,83,2
14,20,4
14,10,3
14,193,19
14,28,1
14,111,1
14,36,2
14,30,2
14,100,1
14,12,1
14,13,2
14,180,1
14,190,3
14,14,2
14,192,3
15,60,4
15,125,3
15,10,8
15,11,1
15,141,2
15,71,1
15,51,5
15,112,2
15,193,9
15,36,8
15,42,7
15,43,6
15,190,5
15,100,1
15,20,5
15,186,1
15,120,2
15,111,3
15,15,1
15,13,3
15,180,2
15,110,1
15,50,2
15,172,1
15,70,2
15,17,1
15,18,1
15,84,2
15,90,1
15,81,1
15,37,1
15,40,1
16,120,1
16,51,5
16,43,7
16,193,12
16,190,13
16,42,6
16,10,8
16,30,1
16,84,4
16,124,5
16,87,1
16,141,1
16,100,1
16,36,1
16,20,8
16,70,1
16,130,4
16,171,1
16,25,1
16,111,3
16,13,1
16,90,3
16,112,6
16,11,1
16,83,1
16,73,1
16,40,2
16,173,4
16,183,1
16,62,2
16,154,1
16,55,1
16,15,1
16,114,1
16,192,1
16,191,1
16,75,1
16,125,1
16,46,2
16,131,1
16,14,1
16,71,1
16,33,1
16,60,1
17,10,10
17,21,1
17,190,11
17,111,3
17,181,1
17,193,8
17,100,3
17,192,5
17,36,9
17,11,2
17,120,1
17,90,2
17,50,2
17,51,2
17,42,5
17,112,1
17,43,3
17,40,14
17,52,2
17,114,2
17,20,2
17,173,1
17,16,1
17,30,1
17,91,1
17,194,1
17,172,1
17,87,1
17,45,1
17,12,1
17,46,4
17,130,2
17,13,2
18,51,3
18,128,4
18,193,10
18,43,5
18,42,5
18,141,2
18,190,3
18,138,1
18,24,1
18,40,9
18,70,4
18,112,1
18,10,7
18,14,1
18,20,3
18,71,1
18,81,2
18,172,1
18,52,1
18,180,1
18,111,1
18,55,1
18,181,1
18,13,4
18,30,2
18,130,2
18,46,6
18,18,1
18,33,1
18,173,3
18,11,1
18,124,3
19,100,1
19,84,2
19,40,8
19,112,10
19,193,14
19,57,2
19,43,4
19,10,6
19,12,4
19,51,10
19,14,2
19,160,3
19,173,15
19,11,3
19,20,5
19,171,1
19,190,4
19,91,1
19,128,1
19,42,2
19,172,2
19,180,4
19,71,2
19,130,4
19,46,8
19,36,12
19,129,4
19,13,1
19,87,2
19,125,3
19,90,1
19,138,1
19,143,1
19,134,3
19,114,1
20,20,6
20,110,2
20,51,4
20,80,7
20,111,5
20,120,8
20,43,13
20,42,9
20,130,2
20,60,1
20,173,9
20,193,16
20,26,4
20,190,9
20,10,9
20,36,8
20,172,1
20,61,2
20,84,1
20,81,1
20,33,1
20,15,4
20,14,1
20,112,2
20,11,1
20,124,2
20,180,3
20,35,2
20,105,1
20,75,2
20,40,14
20,46,1
20,23,1
20,71,7
20,138,2
20,31,1
20,104,1
20,13,1
20,100,4
20,12,1
20,30,2
21,10,8
21,90,2
21,190,2
21,193,8
21,31,1
21,112,8
21,182,2
21,40,7
21,80,2
21,13,1
21,171,1
21,110,1
21,173,3
21,180,2
21,12,1
21,111,3
21,20,1
21,84,2
21,120,1
21,52,1
21,46,2
21,87,1
21,43,2
21,42,1
21,75,2
22,171,1
22,180,2
22,40,3
22,20,5
22,80,2
22,120,1
22,111,1
22,193,17
22,51,2
22,190,4
22,31,1
22,173,3
22,84,1
22,112,1
22,12,1
22,110,2
22,150,1
22,25,1
22,13,1
22,16,1
22,91,1
22,10,4
22,18,1
22,46,4
23,120,6
23,112,5
23,180,5
23,10,2
23,138,1
23,26,2
23,193,10
23,173,3
23,192,1
23,183,1
23,20,3
23,190,2
23,13,2
23,46,1
23,182,1
23,36,2
23,125,2
23,115,5
23,172,1
23,100,1
23,83,2
23,40,2
23,195,3
23,51,1
24,173,9
24,20,3
24,172,2
24,80,2
24,193,10
24,112,3
24,190,1
24,171,2
24,10,7
24,40,9
24,81,2
24,42,2
24,43,1
24,100,1
24,57,1
24,15,2
24,14,1
24,23,2
24,130,2
24,90,3
24,13,2
24,26,2
24,110,2
24,53,2
24,60,4
24,125,1
24,151,2
25,40,2
25,192,1
25,173,4
25,90,3
25,120,4
25,71,3
25,42,6
25,193,3
25,20,3
25,84,1
25,43,1
25,190,3
25,180,2
25,87,2
25,10,3
25,30,1
25,83,1
25,12,2
25,51,1
25,61,1
25,124,1
25,130,1
25,112,1
26,111,2
26,10,8
26,110,2
26,130,5
26,120,2
26,190,5
26,114,1
26,42,3
26,40,11
26,46,4
26,43,1
26,112,4
26,15,3
26,173,4
26,193,8
26,36,3
26,51,3
26,172,3
26,20,5
26,14,1
26,70,1
26,115,1
26,12,1
26,180,4
26,84,1
26,35,1
26,100,2
26,50,2
26,90,1
26,192,1
26,87,1
27,51,8
27,111,4
27,186,2
27,190,9
27,173,9
27,15,2
27,112,6
27,84,1
27,193,11
27,31,1
27,20,10
27,90,1
27,40,6
27,10,7
27,33,1
27,71,1
27,172,4
27,174,1
27,46,8
27,70,1
27,110,1
27,80,1
27,130,2
27,181,2
27,104,1
27,13,2
27,42,1
27,25,2
28,193,30
28,180,6
28,40,6
28,173,7
28,15,1
28,50,1
28,10,4
28,51,7
28,111,5
28,182,1
28,114,1
28,190,8
28,90,7
28,12,2
28,36,2
28,30,2
28,43,2
28,46,2
28,42,2
28,33,2
28,130,1
28,13,2
28,172,2
28,80,1
28,70,1
28,20,1
29,20,15
29,40,29
29,193,77
29,181,8
29,51,27
29,46,11
29,190,34
29,10,31
29,195,2
29,43,7
29,33,1
29,18,2
29,42,7
29,80,7
29,130,2
29,36,4
29,81,3
29,24,1
29,84,3
29,83,5
29,182,4
29,60,3
29,90,16
29,17,7
29,172,4
29,120,3
29,173,3
29,70,4
29,180,7
29,26,2
29,145,1
29,14,5
29,12,2
29,112,8
29,30,3
29,13,5
29,192,3
29,160,2
29,139,1
29,140,4
29,111,4
29,73,1
29,11,1
29,100,5
29,44,2
29,134,1
30,90,7
30,193,67
30,20,11
30,112,11
30,100,3
30,12,8
30,161,1
30,160,5
30,42,17
30,43,21
30,111,7
30,190,23
30,129,3
30,10,21
30,36,5
30,51,9
30,180,3
30,40,16
30,110,6
30,13,6
30,71,1
30,14,1
30,182,7
30,22,2
30,18,2
30,46,3
30,80,4
30,44,2
30,84,3
30,154,3
30,73,1
30,163,3
30,17,4
30,74,3
30,172,8
30,70,2
30,138,1
30,192,1
30,30,2
30,143,1
30,181,5
30,120,6
30,173,12
30,145,5
30,25,1
30,50,3
30,195,3
30,35,2
30,81,1
30,125,1
30,83,4
30,141,1
30,61,1
30,130,2
31,100,2
31,190,44
31,46,6
31,124,1
31,11,1
31,40,33
31,173,10
31,80,4
31,138,4
31,15,1
31,10,24
31,42,17
31,193,80
31,43,12
31,51,28
31,81,2
31,57,1
31,150,3
31,90,6
31,20,27
31,180,4
31,112,7
31,84,9
31,182,2
31,163,1
31,87,4
31,13,9
31,172,11
31,130,1
31,111,7
31,125,1
31,36,7
31,132,1
31,110,5
31,12,4
31,83,6
31,115,1
31,18,1
31,120,3
31,31,3
31,70,4
31,60,3
31,192,3
31,73,1
31,71,1
31,50,2
31,129,1
31,14,1
31,145,4
31,114,3
31,101,1
31,23,1
31,30,1
31,154,3
31,181,4
31,64,2
31,32,1
31,56,1
31,141,2
31,113,2
