day,EventRootCode_counts,count
-8,4,11
-8,11,6
-8,13,1
-8,7,5
-8,17,12
-8,12,3
-8,8,6
-8,19,9
-8,1,7
-8,18,2
-8,2,4
-8,9,2
-8,10,3
-8,3,1
-7,19,3
-7,2,2
-7,4,5
-7,11,1
-7,17,3
-7,6,3
-7,1,2
-7,7,3
-7,12,1
-7,8,2
-6,8,2
-6,5,3
-6,7,3
-6,19,6
-6,1,2
-6,17,1
-6,6,1
-6,2,1
-6,12,1
-5,3,9
-5,1,9
-5,19,9
-5,8,5
-5,13,2
-5,5,8
-5,6,1
-5,11,10
-5,2,6
-5,17,1
-5,4,14
-5,18,1
-5,16,1
-4,19,20
-4,4,8
-4,3,3
-4,1,5
-4,11,6
-4,9,3
-4,18,7
-4,2,8
-4,17,5
-4,13,1
-4,5,2
-4,7,1
-3,11,15
-3,2,8
-3,9,4
-3,4,11
-3,5,8
-3,7,5
-3,19,12
-3,18,1
-3,6,1
-3,1,18
-3,8,8
-3,3,6
-3,16,1
-3,17,5
-3,12,1
-2,19,24
-2,1,12
-2,20,1
-2,4,32
-2,5,6
-2,13,5
-2,17,9
-2,11,8
-2,18,1
-2,3,3
-2,7,4
-2,2,8
-2,9,3
-2,10,1
-2,12,4
-1,13,1
-1,19,20
-1,1,9
-1,4,19
-1,17,3
-1,6,3
-1,7,3
-1,11,3
-1,3,5
-1,5,5
-1,9,3
-1,10,1
-1,18,1
0,19,64
0,11,10
0,8,2
0,3,19
0,7,2
0,4,52
0,5,16
0,6,8
0,17,6
0,12,2
0,18,4
0,1,43
0,14,6
0,15,1
0,2,11
0,9,9
0,16,3
0,13,1
1,17,52
1,11,51
1,1,121
1,2,34
1,9,28
1,4,90
1,19,210
1,7,19
1,5,50
1,12,10
1,8,24
1,18,20
1,3,25
1,6,17
1,14,5
1,13,7
1,16,4
1,20,3
1,10,2
1,15,1
2,19,246
2,1,152
2,6,10
2,11,119
2,18,25
2,4,179
2,17,54
2,5,47
2,3,28
2,8,24
2,9,14
2,2,66
2,14,4
2,20,6
2,7,14
2,13,41
2,10,9
2,16,2
2,12,18
2,15,1
3,11,57
3,8,16
3,9,20
3,18,12
3,19,164
3,2,39
3,1,66
3,13,14
3,16,8
3,4,91
3,5,39
3,7,17
3,3,30
3,6,5
3,17,28
3,14,3
3,12,12
3,10,7
3,20,3
3,15,3
4,1,77
4,8,10
4,10,8
4,4,122
4,19,112
4,2,33
4,18,20
4,17,14
4,11,53
4,3,29
4,5,25
4,7,16
4,9,9
4,6,8
4,13,7
4,12,10
4,14,9
4,16,4
5,8,24
5,2,42
5,10,8
5,14,9
5,17,16
5,4,134
5,9,14
5,3,33
5,18,8
5,1,61
5,19,105
5,5,44
5,11,36
5,12,11
5,20,1
5,7,20
5,13,10
5,16,10
5,6,7
5,15,4
6,18,14
6,2,18
6,19,76
6,5,34
6,12,9
6,1,56
6,17,16
6,8,8
6,11,28
6,6,2
6,4,54
6,3,9
6,10,2
6,7,7
6,16,1
6,9,9
6,13,7
6,15,1
7,12,3
7,1,35
7,13,4
7,10,4
7,2,8
7,19,26
7,5,17
7,17,8
7,11,13
7,4,26
7,8,3
7,18,7
7,3,10
7,6,3
7,9,2
7,7,5
7,14,1
7,15,2
8,17,8
8,4,17
8,6,1
8,2,14
8,13,4
8,19,29
8,1,15
8,11,18
8,20,1
8,9,3
