SOURCEURL,Actor1Code,Actor1Name,Actor1EthnicCode,Actor2Code,Actor2Name,EventCode,EventRootCode,EventBaseCode,GoldsteinScale,AvgTone
http://aero-news.net/ANNTicker.cfm?do=main.textpost&id=91ab1568-d40e-4375-8b80-21ca463120fe,"['BUS', 'BUS']","['COMPANY', 'COMPANY']","[nan, nan]","[nan, nan]","[nan, nan]","[20, 70]","[2, 7]","[20, 70]","[3.0, 7.0]","[0.66006600660066, 0.528052805280528]"
http://aero-news.net/Subscribe.cfm?do=main.textpost&id=91ab1568-d40e-4375-8b80-21ca463120fe,"['BUS', 'BUS', 'BUS']","['COMPANY', 'COMPANY', 'COMPANY']","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[20, 20, 70]","[2, 2, 7]","[20, 20, 70]","[3.0, 3.0, 7.0]","[0.66006600660066, 0.0286202398893734, 2.50986951556191]"
http://aero-news.net/index.cfm?do=main.textpost&id=91ab1568-d40e-4375-8b80-21ca463120fe,['BUS'],['COMPANY'],[nan],[nan],[nan],[20],[2],[20],[3.0],[0.66006600660066]
http://aero-news.net/index.cfm?do=main.textpost&id=b0481fb3-a81c-4357-adab-8093274db896,"['MIL', 'USA', 'chn', 'CVL', 'USA']","['COAST GUARD', 'HAWAII', 'CHINOOK', 'RESIDENTS', 'HAWAII']","[nan, nan, 'chn', nan, nan]","[nan, 'chn', 'USA', 'USA', nan]","[nan, 'CHINOOK', 'HAWAII', 'UNITED STATES', nan]","[60, 190, 190, 190, 33]","[6, 19, 19, 19, 3]","[60, 190, 190, 190, 33]","[6.0, -10.0, -10.0, -10.0, 5.2]","[-1.45181165119816, -1.42450142450143, -1.42450142450143, -2.58194600574559, -1.14941334552356]"
http://aninews.in/news/world/us/hawaii-wildfire-death-toll-rises-to-106-governor-warns-identifying-victims-will-be-challenging20230816230512/,"['USA', 'USAGOV']","['HAWAII', 'HAWAII']","[nan, nan]","['USAGOV', nan]","['UNITED STATES', nan]","[33, 33]","[3, 3]","[33, 33]","[5.2, 5.2]","[-4.42008112187654, -4.42008112187654]"
http://baystreet.ca/stockstowatch/15862/Hawaiian-Electric-Sued-Following-Wildfires,"['haw', 'USA']","['HAWAIIAN', 'UNITED STATES']","['haw', nan]","['POL', 'POL']","['POLE', 'POLE']","[10, 10]","[1, 1]","[10, 10]","[0.0, 0.0]","[-8.2608695652174, -8.2608695652174]"
http://dakotawarcollege.com/hawaiian-cliff-jumping-former-speaker-considering-run-for-state-senate/,"['LEG', 'USA', 'haw', 'LEG', 'USA', 'USA']","['LEGISLATURE', 'UNITED STATES', 'HAWAIIAN', 'LEGISLATURE', 'HAWAII', 'UNITED STATES']","[nan, nan, 'haw', nan, nan, nan]","['USA', 'LEG', nan, 'USA', 'GOVGOV', 'LEG']","['UNITED STATES', 'LEGISLATURE', nan, 'UNITED STATES', 'COUNCIL OF STATE', 'LEGISLATURE']","[43, 42, 71, 43, 44, 42]","[4, 4, 7, 4, 4, 4]","[43, 42, 71, 43, 44, 42]","[2.8, 1.9, 7.4, 2.8, 2.5, 1.9]","[-1.39372822299652, -1.39372822299652, -1.39372822299652, -1.39372822299652, -1.39372822299652, -1.39372822299652]"
http://en.ce.cn/main/latest/202308/14/t20230814_38671272.shtml,"['USA', 'USACOP', 'COP', 'USAGOV', 'USAGOV']","['HAWAII', 'UNITED STATES', 'POLICE CHIEF', 'HAWAII', 'HAWAII']","[nan, nan, nan, nan, nan]","['GOV', nan, 'USA', nan, 'USA']","['ADMINISTRATION', nan, 'UNITED STATES', nan, 'UNITED STATES']","[152, 90, 90, 1712, 1712]","[15, 9, 9, 17, 17]","[152, 90, 90, 171, 171]","[-7.2, -2.0, -2.0, -9.2, -9.2]","[-5.69273267500879, -5.78032054003721, -5.69751483616117, -5.69273267500879, -5.69273267500879]"
http://en.ce.cn/main/latest/202308/29/t20230829_38691657.shtml,"['USA', 'USA', 'haw', 'haw', 'USA', 'haw']","['UNITED STATES', 'HAWAII', 'HAWAIIAN', 'HAWAIIAN', 'HAWAII', 'HAWAIIAN']","[nan, nan, 'haw', 'haw', nan, 'haw']","[nan, 'haw', 'USA', 'USA', 'haw', 'JUD']","[nan, 'HAWAIIAN', 'UNITED STATES', 'HAWAII', 'HAWAIIAN', 'ADVOCATE']","[12, 40, 10, 40, 40, 10]","[1, 4, 1, 4, 4, 1]","[12, 40, 10, 40, 40, 10]","[-0.4, 1.0, 0.0, 1.0, 1.0, 0.0]","[-3.41210657608408, -1.10132158590309, -1.10132158590309, -1.10132158590309, -1.10132158590309, -1.10132158590309]"
http://en.people.cn/n3/2023/0818/c90000-20060459.html,"['USA', nan]","['UNITED STATES', nan]","[nan, nan]","['CVL', 'GOV']","['COMMUNITY', 'GOVERNMENT']","[73, 112]","[7, 11]","[73, 112]","[7.4, -2.0]","[-2.14395099540582, -1.97053730197463]"
http://en.people.cn/n3/2023/0819/c90000-20060553.html,"['USA', 'USAEDU']","['UNITED STATES', 'DELAWARE']","[nan, nan]","['MED', 'MED']","['PUBLIC RADIO', 'PUBLIC RADIO']","[13, 13]","[1, 1]","[13, 13]","[0.4, 0.4]","[-8.28516377649325, -8.28516377649325]"
http://en.people.cn/n3/2023/0821/c90000-20060914.html,['USA'],['LOS ANGELES'],[nan],['GOV'],['AUTHORITIES'],[90],[9],[90],[-2.0],[-5.22613388153668]
http://en.people.cn/n3/2023/0824/c90000-20062637.html,"[nan, 'ELI', nan, nan]","[nan, 'FIRST LADY', nan, nan]","[nan, nan, nan, nan]","['USAGOV', nan, 'GOV', 'USA']","['UNITED STATES', nan, 'MAYOR', 'UNITED STATES']","[73, 10, 73, 31]","[7, 1, 7, 3]","[73, 10, 73, 31]","[7.4, 0.0, 7.4, 5.2]","[-6.24789107841814, -4.42264683791037, -6.24789107841814, -6.24789107841814]"
http://en.people.cn/n3/2023/0829/c90000-20064778.html,['USA'],['UNITED STATES'],[nan],['BUS'],['COMPANY'],[13],[1],[13],[0.4],[-4.30271159142053]
http://en.people.cn/n3/2023/0908/c90000-20069156.html,"['USA', 'RUS', 'RUS', 'USA', 'USA', 'USA', 'FRA', 'MIL', 'USA', 'USA', nan, 'USA', 'RUS']","['UNITED STATES', 'RUSSIA', 'RUSSIA', 'UNITED STATES', 'UNITED STATES', 'UNITED STATES', 'FRENCH', 'MILITARY', 'UNITED STATES', 'UNITED STATES', nan, 'UNITED STATES', 'RUSSIA']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","['AFGMIL', nan, 'USA', nan, 'AFGMIL', 'RUS', 'USA', nan, nan, nan, 'USA', 'FRA', nan]","['AFGHANISTAN', nan, 'UNITED STATES', nan, 'AFGHANISTAN', 'RUSSIA', 'UNITED STATES', nan, nan, nan, 'UNITED STATES', 'FRENCH', nan]","[190, 111, 57, 186, 190, 57, 10, 120, 57, 841, 57, 10, 111]","[19, 11, 5, 18, 19, 5, 1, 12, 5, 8, 5, 1, 11]","[190, 111, 57, 186, 190, 57, 10, 120, 57, 84, 57, 10, 111]","[-10.0, -2.0, 8.0, -10.0, -10.0, 8.0, 0.0, -4.0, 8.0, 7.0, 8.0, 0.0, -2.0]","[-0.478107700050329, -0.478107700050329, -0.478107700050329, -0.478107700050329, -0.478107700050329, -0.478107700050329, -0.478107700050329, -0.478107700050329, -2.66539700427127, -0.478107700050329, -0.478107700050329, -0.478107700050329, -0.478107700050329]"
http://eng.chinamil.com.cn/OPINIONS_209196/Opinions_209197/16245080.html,"['MIL', 'MIL', 'USA']","['MARINE CORP', 'MARINE CORP', 'UNITED STATES']","[nan, nan, nan]","['USA', 'USA', 'MIL']","['HAWAII', 'HAWAII', 'MARINE CORP']","[30, 33, 33]","[3, 3, 3]","[30, 33, 33]","[4.0, 5.2, 5.2]","[0.202020202020201, -0.92100247760625, 0.202020202020201]"
http://eng.chinamil.com.cn/OPINIONS_209196/Opinions_209197/16245472.html,['USA'],['HAWAII'],[nan],[nan],[nan],[72],[7],[72],[8.3],[-7.97752808988764]
http://eng.chinamil.com.cn/OPINIONS_209196/Opinions_209197/16251826.html,"[nan, nan]","[nan, nan]","[nan, nan]","['IGOUNO', 'IGOUNO']","['THE UN', 'THE UN']","[130, 18]","[13, 1]","[130, 18]","[-4.4, 3.4]","[-5.91016548463357, -5.91016548463357]"
http://jamaica-star.com/article/entertainment/20230815/oprah-winfrey-pledges-help-rebuild-maui,['CVL'],['RESIDENTS'],[nan],[nan],[nan],[30],[3],[30],[4.0],[0.94117647058823]
http://koreabizwire.com/s-korea-delivers-relief-supplies-to-hawaii-over-wildfire-damage/256123,['USA'],['UNITED STATES'],[nan],[nan],[nan],[73],[7],[73],[7.4],[0.0]
http://koreabizwire.com/u-s-space-force-unit-seeks-to-bolster-cooperation-with-s-korea-against-n-k-threats/257265,['COPMIL'],['DEPUTY'],[nan],['KOR'],['SEOUL'],[10],[1],[10],[0.0],[0.35087719298246]
http://slguardian.org/hawaii-energy-firm-rejects-lawsuit-from-maui-county-over-devastating-wildfires/,['USA'],['HAWAII'],[nan],['LKA'],['SRI LANKA'],[120],[12],[120],[-4.0],[-4.16666666666667]
http://southtahoenow.com/story/08/14/2023/president-joe-biden-heading-lake-tahoe-friday,"['USA', 'USAGOV', 'USAGOV', 'USAGOV']","['UNITED STATES', 'JOE BIDEN', 'HAWAII', 'THE WHITE HOUSE']","[nan, nan, nan, nan]","['USAGOV', nan, 'GOV', 'USA']","['THE WHITE HOUSE', nan, 'PRESIDENT', 'UNITED STATES']","[40, 42, 46, 40]","[4, 4, 4, 4]","[40, 42, 46, 40]","[1.0, 1.9, 7.0, 1.0]","[0.035131050525215, -1.11545929734064, 1.58227848101266, 0.035131050525215]"
http://southtahoenow.com/story/08/31/2023/south-lake-tahoe-bagel-shop-launches-fundraiser-mauis-westside-bagel-co,"['USA', 'haw']","['UNITED STATES', 'HAWAIIAN']","[nan, 'haw']","['BUS', 'BUS']","['BUSINESS', 'BUSINESS']","[33, 33]","[3, 3]","[33, 33]","[5.2, 5.2]","[4.08921933085502, 4.08921933085502]"
http://theconversation.com/native-hawaiian-sacred-sites-have-been-damaged-in-the-lahaina-wildfires-but-as-an-indigenous-scholar-writes-their-stories-will-live-on-211401,['CHRPRO332'],['CHRISTIAN CHURCH'],[nan],['BUD'],['BUDDHIST'],[1712],[17],[171],[-9.2],[1.02821165098714]
