day,Actor1Name_counts,count
-7,CRIMINAL,1
-7,FIREDEPARTMENT,1
-7,UNITEDSTATES,11
-7,UNIVERSITY,2
-7,HAWAII,6
-7,FRENCHPOLYNESIA,1
-7,KINGSTON,1
-7,INDIANA,2
-7,RESIDENTS,2
-7,AFRICA,2
-7,COMMUNITY,2
-7,CHAD,10
-7,PRISON,1
-7,NASA,1
-7,LEGISLATURE,1
-7,GOVERNOR,2
-7,JUDGE,2
-7,AUTHORITIES,1
-7,ACTOR,2
-7,TELEVISION,1
-7,FARMER,1
-7,CAYMANISLAND,2
-7,HAWAIIAN,4
-7,ALASKA,1
-7,MORMON,2
-7,UTAH,2
-7,DISNEY,2
-7,CANADA,1
-7,MISSISSIPPI,1
-7,OBAMA,1
-7,MURRAY,2
-6,POLICE,1
-6,AUTHORITIES,1
-6,UNITEDSTATES,16
-6,ELECTOR,2
-6,PRESIDENT,3
-6,HAWAIIAN,6
-6,CULPRIT,1
-6,ENGINEER,1
-6,LAWYER,1
-6,LOSANGELES,2
-6,HAWAII,7
-6,SERVER,1
-6,NASA,1
-6,MAYOR,1
-6,ATTORNEYGENERAL,1
-6,STUDENT,3
-6,UNIVERSITY,4
-6,ATTORNEY,1
-6,HOSPITAL,3
-6,LAWMAKER,2
-6,RESIDENTS,3
-6,AIRLINE,1
-6,TRAVELER,2
-5,HAWAII,6
-5,POPULATION,1
-5,UNITEDSTATES,12
-5,POLICE,2
-5,COUNSELOR,1
-5,RELIGION,1
-5,MAYOR,2
-5,SCHOOL,2
-5,DRUGMULE,1
-5,HOSPITAL,3
-5,MAYAN,1
-5,OBAMA,1
-5,PRESIDENT,1
-5,KENYA,1
-5,HAWAIIANAIRLINES,1
-5,HAWAIIAN,3
-5,AIRLINE,2
-5,JACKSONVILLE,1
-5,EMPLOYER,1
-5,RESIDENTS,2
-5,NURSE,1
-5,BUSINESS,1
-5,TRADER,3
-5,INDIGENOUS,2
-5,NEWYORKSTATE,1
-5,EUROPE,1
-4,UNITEDSTATES,17
-4,COMPANY,1
-4,HAWAII,8
-4,STUDENT,1
-4,GUAM,1
-4,BUSINESS,2
-4,SENATOR,1
-4,RICHARDNIXON,1
-4,SERVER,1
-4,TARA,1
-4,MEDIA,1
-4,TONGA,1
-4,ATTORNEY,1
-4,HAWAIIAN,2
-4,JAPANESE,2
-4,KENYAN,1
-4,BARACKOBAMA,1
-4,JAPAN,1
-4,BUDDHIST,1
-4,WALLSTREETJOURNAL,1
-4,CRIMINAL,1
-4,SCHOOL,1
-4,UNITEDNATIONS,1
-4,LIBYA,1
-4,PRESIDENT,1
-4,POLICE,1
-4,HOSPITAL,2
-4,JOEBIDEN,2
-4,KILLERS,1
-4,ECONOMIST,2
-4,OBAMA,2
-4,MILITARY,1
-3,UNITEDSTATES,18
-3,BRAZIL,2
-3,PRESIDENTIALCANDIDATE,1
-3,COMMUNITY,4
-3,CAPTAIN,1
-3,OBAMA,9
-3,HAWAIIAN,2
-3,HAWAII,3
-3,POLITICIAN,2
-3,PRESIDENT,1
-3,DEMOCRATICPARTY,1
-3,MAGAZINE,1
-3,JAPANESE,1
-3,AUSTRALIA,1
-3,UNITEDKINGDOM,1
-2,HAWAII,15
-2,POLICE,1
-2,JAPAN,1
-2,SPACEAGENCY,1
-2,UNITEDSTATES,7
-2,HOSPITAL,1
-2,COMMUNITY,1
-2,SPAIN,1
-2,PRESIDENT,3
-2,HAWAIIAN,2
