day,Actor2Code_counts,count
-7,EDU,3
-7,USA,23
-7,USACOP,1
-7,JAM,1
-7,FRAPYF,1
-7,USAJUD,1
-7,CVL,2
-7,haw,3
-7,CHRPRO,2
-7,COP,3
-7,GOV,1
-7,GRC,1
-7,BUS,1
-7,CHRLDS,2
-7,MNCUSA,1
-7,pac,2
-7,AUS,1
-7,MIL,1
-7,HLH,1
-7,USAGOV,1
-6,COP,1
-6,SEA,1
-6,haw,7
-6,USA,19
-6,CVL,6
-6,CRM,4
-6,REL,1
-6,EDU,6
-6,GOV,1
-6,HLH,1
-6,BUS,1
-5,USA,8
-5,JUD,3
-5,LEG,2
-5,FRA,1
-5,BUS,2
-5,GOV,1
-5,USAGOV,2
-5,USABUS,1
-5,USACVL,1
-5,idgCVL,2
-5,haw,2
-5,USACOP,1
-5,EUR,1
-4,USA,16
-4,BUS,4
-4,GOV,1
-4,TON,1
-4,EDU,3
-4,USACVL,1
-4,JUDJUD,1
-4,MNCUSA,2
-4,JPN,4
-4,USAGOV,4
-4,BUD,1
-4,CHNCVL,1
-4,CHN,1
-4,USACOP,1
-4,MED,1
-4,USAMED,1
-4,LBY,2
-4,LEG,1
-4,COP,1
-4,HLH,2
-4,MIL,1
-3,BRA,1
-3,USA,15
-3,LEG,1
-3,EDU,2
-3,haw,3
-3,USABUS,1
-3,JUD,2
-3,USAJUD,1
-3,USAGOV,1
-3,PTY,1
-3,LAB,2
-3,GOV,1
-3,GBR,1
-3,AUS,1
-2,CVL,5
-2,AFR,1
-2,COP,1
-2,USA,9
-2,MED,2
-2,USAGOV,2
-2,USAMED,2
-2,OPP,1
-2,LEG,2
-2,EDU,1
-2,MIL,1
-2,JUD,1
-2,BUS,2
-2,GOV,1
-2,VNM,2
-2,TTO,2
-1,AFGINSTAL,2
-1,USABUS,2
-1,USA,32
-1,CVL,8
-1,LEG,6
-1,GOV,9
-1,BUS,4
-1,HLH,2
-1,USALEG,1
-1,WSM,1
-1,haw,1
-1,USACVL,5
-1,ITA,2
-1,CAN,1
-1,CHN,1
-1,LBY,2
-1,MED,3
-1,USAMED,1
-1,USAGOV,2
-1,MNCUSA,1
0,GOV,11
0,USAGOV,4
0,USA,31
0,USACVL,2
0,TON,2
0,CHRPRO180,1
0,MED,1
0,CVL,5
0,COP,2
0,BUS,4
0,EDU,4
0,USAOPP,1
0,MIL,2
0,NGOHLHIRC,1
0,JUD,5
0,USAJUD,1
0,USAMED,2
0,REL,2
0,USAREL,2
1,USA,66
1,MIL,8
1,CVL,24
1,BUS,7
1,USAGOV,21
1,GOV,7
1,USAMIL,5
1,GOVMIL,4
1,MED,10
1,haw,11
1,USAGOVMIL,1
1,HLH,3
1,JUD,5
1,USAELI,1
1,EDU,5
1,idg,2
1,USAMED,5
1,HINDEN112,5
1,REL,1
1,USACOP,1
1,USABUS,7
1,DEU,1
1,MILGOV,1
1,ECUGOV,1
1,CHR,7
1,NGOHLHIRC,1
1,TWN,1
1,COP,2
1,IRL,1
1,ELI,2
1,MNCUSA,1
1,USAJUD,2
2,USA,139
2,USAGOV,26
2,MILGOV,4
2,USAEDU,5
2,USAMIL,11
2,haw,19
2,FRA,2
2,GOV,36
2,COPJUD,1
2,FRAGOV,1
2,NGOHLHIRC,10
2,CVL,50
2,BUS,29
2,MED,12
2,MIL,24
2,USAGOVELI,2
2,PHL,2
2,SGP,2
2,CHN,2
2,GOVMIL,2
2,EDUEDU,1
2,USAMED,8
2,USACVL,7
2,CAN,6
2,ELI,2
2,AUS,6
2,CVLBUS,1
2,JUD,5
2,USABUS,4
2,MNCUSA,6
2,QATMED,2
2,GBR,3
2,hawMIL,2
2,PER,2
2,nai,1
2,COP,7
2,USAJUD,1
2,chn,3
2,TCD,2
2,REL,1
2,AFR,3
2,MEX,1
2,LVA,1
2,CHE,1
2,LEG,3
2,CHR,1
2,HLH,3
2,idg,2
2,HINDEN112,2
2,NZLGOV,1
2,LAB,1
2,JEWHSD010,1
2,REF,1
2,EDU,4
2,POL,1
2,ECU,1
2,USAELI,1
2,MILMIL,1
2,SEA,1
2,USACOP,1
2,ECUPTY,1
2,PAK,1
2,NMR,1
3,USA,162
3,USACVL,23
3,NGOHLHIRC,27
3,BUS,25
3,haw,29
3,USAGOV,22
3,CHRPRO,1
3,CVL,38
3,HLH,8
3,MED,15
3,LAB,6
3,GOV,41
3,USAOPP,1
3,hawCVL,2
3,USABUS,12
3,EDU,19
3,AGR,1
3,PRT,1
3,MIL,18
3,USAELI,2
3,ELI,2
3,hawGOV,3
3,PTY,1
3,JUDMED,1
3,EDUEDU,1
3,JUD,7
3,USAEDU,9
3,CHRCTH,1
3,AFR,1
3,USAJUD,2
3,REL,4
3,AUS,3
3,CHE,1
3,MNC,1
3,TWNCVL,1
3,chn,2
