day,EventBaseCode_counts,count
-7,114,1
-7,90,4
-7,46,3
-7,84,2
-7,42,11
-7,43,8
-7,138,1
-7,51,3
-7,10,14
-7,36,4
-7,190,6
-7,173,6
-7,20,3
-7,120,1
-7,71,3
-7,110,1
-7,80,2
-7,174,1
-7,111,1
-7,112,3
-7,12,1
-6,90,2
-6,40,2
-6,61,1
-6,20,15
-6,14,4
-6,10,7
-6,43,6
-6,42,5
-6,31,1
-6,114,1
-6,17,2
-6,21,2
-6,110,1
-6,182,2
-6,87,1
-6,70,3
-6,51,3
-6,174,2
-6,124,2
-6,12,2
-6,46,4
-6,111,5
-5,51,6
-5,120,1
-5,13,4
-5,10,6
-5,21,1
-5,20,1
-5,42,5
-5,173,2
-5,60,2
-5,31,1
-5,40,2
-5,90,3
-5,72,1
-5,55,1
-5,36,4
-5,15,1
-5,104,2
-5,70,1
-5,111,3
-5,110,1
-5,43,2
-5,172,3
-5,190,1
-5,114,1
-5,80,1
-4,84,1
-4,46,8
-4,30,1
-4,51,6
-4,20,9
-4,110,4
-4,61,2
-4,80,1
-4,43,4
-4,36,2
-4,60,2
-4,42,3
-4,10,1
-4,125,1
-4,90,1
-4,33,4
-4,174,5
-4,190,3
-4,40,7
-4,18,2
-4,112,1
-4,16,1
-4,111,3
-4,50,2
-4,142,1
-3,42,1
-3,43,1
-3,17,1
-3,112,1
-3,10,4
-3,87,1
-3,51,9
-3,90,1
-3,18,1
-3,13,1
-3,12,1
-3,20,4
-3,160,2
-3,11,2
-3,30,4
-3,36,1
-3,190,4
-3,84,3
-3,40,2
-3,80,1
-3,110,1
-3,166,1
-3,57,2
-2,90,3
-2,36,1
-2,83,1
-2,20,7
-2,31,1
-2,40,1
-2,10,6
-2,42,5
-2,43,3
-2,73,2
-2,141,1
-2,70,4
-2,80,1
-2,71,4
-2,12,2
-2,14,1
-2,32,1
-2,51,1
-2,46,8
-2,13,2
-2,190,1
-2,100,1
-2,130,1
-1,190,7
-1,36,8
-1,51,8
-1,70,10
-1,60,6
-1,40,9
-1,43,4
-1,20,3
-1,10,18
-1,31,6
-1,73,1
-1,42,7
-1,172,5
-1,71,1
-1,171,1
-1,46,1
-1,14,4
-1,194,1
-1,13,7
-1,111,3
-1,115,2
-1,33,2
-1,173,1
-1,112,1
-1,11,1
-1,124,1
-1,125,1
-1,90,5
-1,12,1
-1,15,1
0,36,8
0,46,7
0,42,5
0,43,8
0,40,12
0,80,2
0,51,15
0,173,5
0,12,3
0,190,6
0,10,7
0,20,7
0,52,1
0,171,2
0,111,2
0,115,4
0,70,2
0,112,2
0,60,3
0,14,1
0,172,6
0,81,1
0,13,2
0,33,2
0,125,1
0,71,1
0,120,3
0,90,1
1,130,3
1,20,11
1,60,10
1,154,1
1,195,4
1,190,21
1,40,8
1,115,2
1,90,8
1,36,24
1,86,1
1,173,1
1,41,8
1,10,32
1,13,9
1,112,5
1,51,16
1,43,19
1,42,18
1,57,7
1,70,6
1,73,9
1,50,1
1,84,1
1,11,1
1,124,1
1,114,1
1,171,6
1,46,12
1,172,9
1,23,4
1,182,1
1,12,4
1,30,2
1,193,2
1,111,3
1,80,4
1,71,1
1,160,8
1,141,3
1,153,4
1,186,1
1,83,1
1,100,1
1,52,1
1,120,1
1,127,1
1,72,1
1,21,1
1,133,3
2,164,6
2,190,33
2,73,11
2,18,11
2,51,29
2,42,57
2,87,2
2,70,24
2,71,14
2,110,6
2,172,11
2,10,49
2,173,6
2,130,8
2,20,37
2,160,7
2,80,11
2,36,24
2,43,54
2,83,2
2,192,4
2,40,14
2,50,6
2,111,10
2,22,1
2,23,7
2,112,8
2,171,16
2,84,4
2,174,1
2,60,24
2,72,6
2,195,10
2,53,1
2,13,18
2,128,2
2,17,5
2,61,1
2,26,1
2,30,9
2,14,7
2,46,23
2,153,6
2,163,1
2,180,2
2,120,3
2,90,18
2,11,1
2,150,1
2,33,9
2,75,3
2,81,1
2,85,1
2,193,5
2,100,5
2,182,1
2,25,1
2,114,1
2,92,2
2,191,1
2,12,6
2,45,1
2,145,1
2,16,1
2,41,4
2,15,1
2,91,1
2,32,2
3,70,39
3,42,60
3,192,3
3,33,10
3,36,28
3,51,35
3,171,22
3,190,50
3,172,5
3,17,7
3,13,20
3,10,66
3,111,3
3,46,7
3,40,24
3,43,57
3,20,36
3,73,20
3,90,19
3,22,8
3,60,37
3,80,5
3,193,3
3,84,17
3,160,13
3,161,2
3,71,21
3,120,6
3,130,15
3,75,2
3,50,3
3,110,6
3,12,11
3,23,7
3,191,1
3,174,1
3,61,3
3,14,4
3,83,1
3,114,1
3,72,3
3,31,2
3,144,1
3,30,4
3,112,15
3,18,3
3,11,4
3,26,1
3,100,8
3,25,4
3,125,1
3,16,1
3,194,1
3,150,1
3,15,2
3,180,3
3,186,1
3,32,4
3,53,1
3,173,2
3,87,1
3,154,4
3,92,2
3,183,1
3,195,1
4,10,44
4,71,23
4,43,37
4,36,21
4,31,4
4,13,13
4,60,18
4,20,34
4,42,35
4,73,13
4,40,19
4,46,6
4,51,19
4,90,17
4,41,1
4,190,31
4,100,3
4,192,1
4,70,29
4,33,3
4,111,3
4,75,1
4,72,2
4,112,11
4,50,4
4,12,7
4,182,1
4,154,3
4,171,15
4,138,1
4,161,1
4,193,2
4,39,2
4,80,8
4,18,11
4,173,4
4,130,5
4,172,9
4,30,8
4,23,3
4,17,6
4,145,1
4,125,2
4,61,1
4,16,1
4,152,1
4,114,6
4,160,3
4,14,2
4,164,1
4,191,2
4,32,5
4,56,1
4,25,1
4,110,1
4,81,2
4,11,1
4,15,2
4,120,1
4,153,2
4,57,8
4,55,2
5,12,6
5,10,23
5,30,2
5,100,2
5,51,16
5,43,22
5,42,25
5,20,27
5,32,3
5,130,12
5,70,23
5,13,12
5,171,5
5,90,8
5,23,7
5,71,6
5,18,5
5,110,7
5,60,15
5,81,1
5,111,5
5,55,1
5,73,13
5,40,16
5,36,8
5,112,5
5,25,2
5,84,4
5,120,6
5,52,2
5,160,2
5,173,2
5,31,1
5,191,1
5,87,3
5,154,1
5,190,11
5,164,2
5,193,1
5,21,1
5,15,5
5,172,1
5,14,1
5,124,1
5,46,2
5,33,2
5,161,1
5,192,1
6,90,21
6,172,6
6,42,45
6,145,4
6,51,25
6,70,35
6,36,17
6,20,47
6,10,68
6,73,20
6,72,1
6,18,2
6,25,3
6,193,2
6,192,1
6,46,16
6,43,35
6,130,17
6,40,23
6,30,2
6,110,9
6,112,10
6,60,21
6,190,25
6,33,4
6,111,14
6,154,1
6,84,4
6,11,11
6,26,1
6,120,6
6,13,24
6,12,23
6,50,6
6,23,10
6,171,10
6,87,2
6,115,6
6,114,4
6,152,1
6,17,5
6,71,8
6,138,3
6,14,4
6,52,1
6,191,1
6,55,2
6,101,3
6,150,2
6,21,1
6,124,2
6,31,1
6,180,1
6,125,1
6,62,2
6,57,2
6,173,5
6,100,2
6,16,1
6,75,1
6,182,1
6,22,1
7,12,13
7,130,11
7,23,9
7,14,11
7,30,12
7,171,14
7,190,19
7,13,23
7,40,26
7,84,10
7,90,27
7,120,3
7,172,7
7,43,47
7,42,48
7,173,12
7,20,29
7,71,29
7,51,28
7,36,36
7,111,11
7,10,41
7,112,10
7,73,15
7,52,1
7,70,32
7,46,4
7,33,21
7,114,2
7,138,2
7,60,21
7,31,1
7,191,2
7,32,1
7,110,6
7,122,1
7,180,5
7,134,2
7,124,6
7,11,5
7,50,5
7,25,4
7,57,5
7,26,1
7,195,4
7,75,2
7,193,5
7,81,1
7,72,6
7,55,1
7,125,1
7,61,1
7,15,1
7,115,1
7,22,1
7,182,2
7,100,3
7,154,3
7,64,2
7,181,1
7,18,6
7,192,2
7,87,4
7,21,1
7,103,1
7,80,3
8,154,8
8,192,8
8,10,41
8,20,26
8,13,15
8,50,5
8,42,33
8,43,33
8,30,11
8,36,33
8,70,28
8,33,6
8,71,22
8,12,7
8,112,13
8,40,15
8,190,17
8,87,4
8,51,20
8,170,1
8,130,12
8,14,4
8,110,9
8,11,7
8,160,2
8,111,14
8,73,18
8,120,5
8,60,13
8,84,3
8,173,5
8,90,28
8,193,2
8,23,8
8,15,1
8,100,7
8,26,3
8,18,6
8,80,8
8,46,5
8,115,4
8,180,1
8,171,9
8,85,2
8,72,2
8,172,1
8,125,1
8,141,1
8,75,1
8,17,5
8,45,1
8,41,4
8,61,2
8,191,1
8,32,2
8,124,3
8,114,2
8,22,1
8,55,1
9,16,1
9,70,37
9,14,3
9,171,14
9,43,32
9,42,31
9,20,40
9,50,3
9,13,18
9,80,2
9,124,3
9,111,12
9,71,21
9,90,24
9,160,1
9,31,4
9,190,17
9,23,10
9,112,6
9,36,41
9,100,10
9,12,7
9,152,1
9,193,7
9,18,5
9,10,28
9,114,1
9,173,3
9,172,3
9,40,15
9,72,8
9,33,27
9,51,23
9,84,10
9,35,1
9,60,14
9,120,2
9,131,1
9,73,11
9,75,1
9,110,2
9,83,1
9,30,5
9,22,2
9,15,3
9,141,1
9,17,4
9,192,2
9,81,2
9,130,4
9,138,1
9,115,1
9,32,1
9,128,1
9,52,1
9,25,1
9,46,2
10,90,14
10,31,4
10,84,6
10,100,1
10,33,9
10,160,1
10,51,29
10,42,32
10,40,39
10,43,28
10,10,49
10,71,16
10,110,7
10,73,7
10,70,31
10,193,2
10,12,11
10,32,4
10,83,5
10,57,2
10,46,9
10,20,23
10,80,3
10,180,2
10,130,10
10,13,12
10,30,14
10,111,10
10,120,6
10,72,3
10,14,8
10,50,1
10,190,12
10,23,8
10,171,16
10,172,2
10,18,6
10,112,16
10,60,15
10,124,5
10,81,1
10,36,16
10,53,1
10,173,4
10,11,1
10,41,4
10,195,1
10,145,1
10,25,3
10,52,2
10,61,1
10,16,2
10,87,3
10,192,2
10,175,1
10,153,1
10,182,1
10,22,1
10,44,3
10,115,1
10,128,1
10,129,2
10,194,1
10,154,1
10,191,1
10,17,1
11,71,7
11,43,26
11,75,1
11,10,25
11,193,5
11,23,4
11,80,2
11,180,6
11,60,24
11,36,15
11,51,22
11,42,22
11,13,5
11,73,3
11,182,1
11,20,15
11,124,1
11,195,1
11,87,1
11,90,10
11,100,4
11,111,8
11,30,2
11,70,13
11,114,2
11,112,5
11,33,1
11,50,7
11,171,2
11,45,1
11,61,3
11,84,7
11,31,3
11,83,1
11,190,9
11,46,11
11,40,20
11,162,2
11,173,4
11,134,1
11,72,1
11,57,2
11,110,6
11,52,1
11,138,2
11,12,4
11,160,1
12,111,2
12,40,22
12,51,10
12,60,9
12,70,14
12,13,5
12,43,9
12,42,18
12,73,6
12,90,9
12,120,3
12,20,27
12,171,10
12,10,32
12,50,2
12,173,3
12,190,6
12,71,6
12,21,3
12,17,3
12,110,3
12,14,6
12,143,1
12,192,1
12,112,2
12,12,2
12,193,1
12,130,7
12,57,2
12,160,3
12,36,15
12,30,5
12,154,1
12,23,2
12,46,4
12,91,1
12,174,2
12,100,3
12,84,1
12,44,6
12,180,1
12,18,2
13,45,1
13,71,11
13,90,21
13,70,18
13,13,8
13,12,7
13,36,23
13,11,2
13,42,52
13,112,5
13,84,5
13,120,9
13,10,30
13,62,2
13,43,44
13,171,4
13,30,8
13,57,5
13,87,5
13,111,10
13,50,5
13,100,4
13,33,6
13,40,23
13,60,5
13,73,13
13,51,28
13,190,12
13,110,3
13,20,14
13,172,3
13,128,1
13,23,6
13,131,1
13,114,3
13,15,2
13,72,7
13,130,3
13,31,6
13,46,19
13,150,3
13,124,3
13,191,1
13,14,1
13,138,1
13,192,2
13,16,4
13,173,2
13,162,1
13,18,6
13,80,2
13,55,2
13,161,2
13,164,1
14,20,38
14,128,4
14,70,12
14,43,60
14,51,28
14,190,32
14,111,13
14,60,14
14,195,1
14,57,13
14,42,71
14,173,3
14,12,14
14,18,5
14,10,41
14,112,16
14,171,10
14,46,9
14,50,4
14,90,13
14,40,22
14,36,30
14,17,2
14,71,11
14,32,5
14,110,10
14,130,6
14,14,4
14,160,6
14,31,4
14,73,6
14,13,17
14,174,1
14,80,5
14,33,8
14,62,2
14,84,3
14,23,5
14,125,1
14,30,7
14,100,4
14,193,1
14,75,1
14,141,1
14,87,4
14,129,1
14,192,5
14,26,1
14,172,2
14,115,3
14,124,2
14,19,2
14,11,2
15,42,29
15,60,16
15,51,16
15,171,4
15,43,29
15,90,7
15,20,14
15,111,4
15,18,1
15,112,6
15,173,2
15,10,28
15,11,5
15,14,1
15,30,5
15,190,4
15,120,7
15,46,7
15,15,2
15,40,33
15,131,1
15,172,4
15,12,9
15,36,12
15,71,8
15,17,1
15,13,7
15,73,6
15,192,1
15,23,2
15,70,9
15,33,7
15,143,1
15,57,2
15,130,5
15,110,3
15,44,1
15,84,2
15,72,2
15,25,1
15,161,1
15,83,1
15,100,4
15,50,1
15,54,1
15,35,1
15,174,1
15,124,2
15,164,2
15,125,2
15,122,3
15,80,7
15,87,1
15,22,1
16,60,12
16,36,15
16,71,7
16,40,14
16,43,27
16,46,5
16,42,31
16,125,1
16,20,13
16,51,17
16,70,6
16,186,1
16,120,3
16,57,2
16,182,1
16,114,3
16,10,23
16,13,5
16,90,5
16,111,4
16,30,6
16,100,1
16,171,3
16,12,3
16,73,1
16,110,5
16,64,1
16,23,3
16,14,2
16,18,6
16,112,6
16,61,1
16,130,4
16,84,1
16,181,1
16,72,1
16,190,9
16,87,1
16,80,6
16,11,1
16,32,3
16,17,1
16,22,1
16,154,1
16,25,1
16,115,6
16,75,1
16,50,2
16,173,5
16,15,3
17,43,22
17,42,20
17,70,17
17,10,40
17,171,5
17,14,2
17,112,9
17,90,7
17,15,1
17,80,2
17,36,8
17,46,8
17,51,21
17,57,8
17,71,13
17,130,9
17,50,7
17,44,1
17,23,4
17,20,21
17,180,1
17,12,11
17,13,6
17,120,4
17,40,17
17,60,21
17,193,8
17,26,1
17,173,4
17,84,9
17,110,7
17,16,1
17,73,6
17,174,1
17,33,4
17,160,4
17,172,3
17,138,1
17,25,2
17,111,3
17,35,1
17,100,5
17,11,2
17,64,2
17,31,4
17,115,4
17,22,2
17,191,1
17,128,1
17,87,3
17,55,2
17,30,1
17,190,7
17,19,1
18,36,15
18,51,17
18,23,5
18,114,1
18,50,2
18,173,3
18,20,16
18,150,3
18,190,14
18,84,2
18,160,1
18,90,5
18,12,8
18,71,4
18,56,1
18,43,11
18,111,6
18,42,12
18,73,2
18,14,3
18,140,1
18,10,13
18,13,7
18,171,5
18,60,6
18,16,1
18,110,2
18,120,3
18,112,3
18,154,1
18,45,2
18,40,5
18,72,1
18,192,1
18,33,2
18,130,2
18,70,3
18,172,5
18,138,1
18,18,1
18,57,3
18,30,1
18,46,2
18,83,1
18,162,1
18,115,3
18,141,2
19,10,6
19,100,3
19,84,5
19,87,1
19,70,3
19,30,2
19,54,1
19,73,7
19,171,4
19,40,5
19,190,3
19,51,5
19,112,4
19,42,9
19,43,10
19,130,1
19,120,2
19,13,2
19,32,1
19,154,4
19,90,2
19,60,6
19,20,2
19,71,8
19,12,5
19,173,1
19,193,1
19,57,6
19,110,1
19,36,1
19,172,1
19,160,2
19,15,3
19,26,1
20,130,3
20,71,5
20,10,23
20,90,12
