day,EventRootCode_counts,count
-7,11,6
-7,9,4
-7,4,22
-7,8,4
-7,13,1
-7,5,3
-7,1,15
-7,3,4
-7,19,6
-7,17,7
-7,2,3
-7,12,1
-7,7,3
-6,9,2
-6,4,17
-6,6,1
-6,2,17
-6,1,15
-6,3,1
-6,11,7
-6,18,2
-6,8,1
-6,7,3
-6,5,3
-6,17,2
-6,12,2
-5,5,7
-5,12,1
-5,1,11
-5,2,2
-5,4,9
-5,17,5
-5,6,2
-5,3,5
-5,9,3
-5,7,2
-5,10,2
-5,11,5
-5,19,1
-5,8,1
-4,8,2
-4,4,22
-4,3,7
-4,5,8
-4,2,9
-4,11,8
-4,6,4
-4,1,4
-4,12,1
-4,9,1
-4,17,5
-4,19,3
-4,14,1
-3,4,4
-3,1,10
-3,11,2
-3,8,5
-3,5,11
-3,9,1
-3,2,4
-3,16,3
-3,3,5
-3,19,4
-2,9,3
-2,3,3
-2,8,2
-2,2,7
-2,4,17
-2,1,11
-2,7,10
-2,14,1
-2,5,1
-2,19,1
-2,10,1
-2,13,1
-1,19,8
-1,3,16
-1,5,8
-1,7,12
-1,6,6
-1,4,21
-1,2,3
-1,1,32
-1,17,7
-1,11,6
-1,12,2
-1,9,5
0,3,10
0,4,32
0,8,3
0,5,16
0,17,13
0,1,13
0,19,6
0,2,7
0,11,8
0,7,3
0,6,3
0,12,4
0,9,1
1,13,6
1,2,16
1,6,10
1,15,5
1,19,27
1,4,65
1,11,11
1,9,8
1,3,26
1,8,7
1,17,16
1,1,46
1,5,25
1,7,17
1,12,3
1,18,2
1,16,8
1,14,3
1,10,1
2,16,14
2,19,53
2,7,58
2,1,99
2,5,36
2,4,153
2,8,21
2,11,25
2,17,34
2,13,8
2,2,47
2,3,44
2,6,25
2,12,5
2,15,7
2,18,3
2,9,21
2,10,5
2,14,1
3,7,85
3,4,148
3,19,59
3,3,48
3,5,39
3,17,30
3,1,118
3,11,25
3,2,56
3,9,21
3,6,40
3,8,24
3,16,15
3,12,7
3,13,15
3,14,1
3,10,8
3,15,5
3,18,5
4,1,87
4,7,68
4,4,98
4,3,43
4,6,19
4,2,38
4,5,34
4,9,17
4,19,36
4,10,3
4,11,21
4,18,1
4,15,6
4,17,28
4,13,6
4,16,5
4,8,10
4,14,1
4,12,3
5,1,52
5,3,16
5,10,2
5,5,19
5,4,65
5,2,37
5,13,12
5,7,42
5,17,8
5,9,8
5,11,17
5,6,15
5,8,8
5,12,7
5,16,5
5,19,14
5,15,1
6,9,21
6,17,21
6,4,119
6,14,4
6,5,36
6,7,65
6,3,24
6,2,63
6,1,138
6,19,29
6,13,20
6,11,43
6,6,23
6,15,4
6,8,6
6,12,9
6,10,5
6,18,2
7,1,100
7,13,15
7,2,45
7,3,71
7,17,33
7,19,32
7,4,125
7,8,18
7,9,27
7,12,11
7,7,84
7,5,40
7,11,30
7,6,24
7,18,8
7,10,4
7,15,3
8,15,8
8,19,28
8,1,86
8,2,38
8,5,26
8,4,91
8,3,52
8,7,71
8,11,42
8,8,17
8,17,16
8,13,12
8,16,2
8,12,9
8,6,15
8,9,28
8,10,7
8,18,1
8,14,1
9,1,69
9,7,78
9,17,20
9,4,80
9,2,53
9,5,27
9,8,15
9,12,6
9,11,22
9,9,24
9,16,1
9,3,79
9,19,26
9,10,10
9,15,1
9,6,14
9,13,6
9,14,1
10,9,14
10,3,47
10,8,18
10,10,1
10,16,1
10,5,35
10,4,115
10,1,90
10,7,57
10,11,34
10,19,19
10,2,35
10,18,3
10,13,10
10,12,14
10,17,23
10,6,16
10,14,1
10,15,2
11,7,25
11,4,80
11,1,34
11,19,15
11,2,19
11,8,11
11,18,7
11,6,27
11,3,21
11,5,32
11,12,1
11,9,10
11,10,4
11,11,21
11,17,6
11,16,3
11,13,3
12,11,7
12,4,59
12,5,14
12,6,9
12,7,26
12,1,50
12,9,10
12,12,3
12,2,32
12,17,15
12,19,8
12,14,1
12,13,7
12,16,3
12,3,20
12,15,1
12,10,3
12,8,1
12,18,1
13,4,139
13,7,49
13,9,21
13,1,60
13,3,43
13,11,21
13,8,12
13,12,13
13,6,7
13,17,9
13,5,40
13,10,4
13,19,15
13,2,20
13,13,5
13,15,3
13,16,4
14,2,44
14,12,8
14,7,30
14,4,162
14,5,45
14,19,39
14,11,42
14,6,16
14,17,16
14,1,87
14,9,13
14,3,54
14,13,6
14,16,6
14,8,12
14,10,4
14,14,1
15,4,99
15,6,16
15,5,20
15,17,11
15,9,7
15,2,18
15,11,13
15,1,54
15,3,25
15,19,5
15,12,14
15,13,6
15,7,25
15,14,1
15,8,11
15,16,3
15,10,4
16,6,14
16,3,24
16,7,16
16,4,77
16,12,4
16,2,18
16,5,21
16,18,3
16,11,24
16,1,44
16,9,5
16,10,1
16,17,8
16,13,4
16,8,8
16,19,9
16,15,1
17,4,68
17,7,36
17,1,64
17,17,13
17,11,23
17,9,7
17,8,14
17,3,18
17,5,38
17,13,10
17,2,30
17,18,1
17,12,5
17,6,23
17,19,16
17,16,4
17,10,5
18,3,18
18,5,23
18,2,21
18,11,15
18,17,13
18,15,4
18,19,15
18,8,3
18,16,2
18,9,5
18,1,33
18,7,10
18,4,32
18,14,3
18,6,6
18,12,3
18,13,3
19,1,16
19,10,3
19,8,6
19,7,18
19,3,4
19,5,12
19,17,6
19,4,24
19,19,4
19,11,5
19,13,1
19,12,2
19,15,4
19,9,2
19,6,6
19,2,3
19,16,2
20,13,3
20,7,12
20,1,43
20,9,12
20,3,17
20,2,11
20,5,18
20,19,8
20,4,49
20,11,21
20,17,5
20,8,5
20,6,10
20,16,1
20,12,6
20,18,1
21,1,30
21,2,24
21,3,21
21,5,11
21,4,52
21,11,23
21,17,9
21,7,11
21,19,11
21,12,3
21,8,12
21,6,7
21,13,2
21,18,3
21,9,9
21,15,3
21,16,3
22,13,7
22,3,19
22,1,40
22,7,26
22,19,19
22,11,8
22,2,22
22,9,9
22,15,3
22,4,55
22,5,16
22,8,17
22,16,4
22,6,10
22,12,3
22,17,5
22,10,1
22,14,3
23,5,30
23,4,53
23,19,17
23,11,26
23,2,15
23,9,10
23,8,13
23,1,37
23,13,11
23,3,25
23,7,27
23,14,2
23,6,6
23,12,7
23,17,15
23,18,1
23,15,1
23,10,1
23,16,2
24,2,16
24,4,27
24,9,11
24,7,20
24,1,26
24,3,38
24,5,10
24,11,16
24,6,7
24,8,11
24,14,3
24,17,6
24,13,6
24,19,13
24,10,4
24,18,1
24,16,6
25,5,14
25,9,3
25,8,2
25,17,3
25,2,11
25,4,30
25,1,16
25,11,3
25,3,12
25,16,4
25,7,6
25,14,1
25,12,2
25,13,1
25,6,5
25,19,4
26,1,23
26,10,2
26,17,3
26,4,36
26,8,4
26,2,5
26,7,9
26,12,5
26,19,3
26,13,1
26,3,9
26,9,4
26,11,3
26,5,4
26,18,2
26,6,3
27,12,2
27,1,9
27,11,4
27,17,4
27,2,11
27,4,16
27,13,4
27,8,1
27,3,3
27,6,3
27,9,2
27,19,3
27,7,1
27,5,3
27,14,2
27,10,3
28,1,31
28,4,54
28,19,11
28,12,6
28,16,2
28,8,9
28,2,17
28,3,19
28,11,7
28,7,21
28,5,8
28,6,13
28,10,5
28,9,2
28,17,13
29,4,63
29,19,6
29,1,26
29,2,7
29,3,19
29,9,2
29,5,23
29,7,19
29,17,5
29,11,5
29,10,3
29,8,5
29,14,2
29,6,4
29,12,4
29,13,2
29,16,1
30,7,8
30,6,3
30,2,12
30,5,17
30,4,18
30,8,6
30,17,14
30,11,11
30,1,17
30,13,1
30,3,20
30,9,2
30,16,5
30,12,7
30,19,5
30,10,1
30,18,1
31,4,47
31,7,7
31,12,1
31,1,36
31,19,6
31,3,11
31,2,19
31,6,12
31,13,5
31,8,5
31,10,2
31,18,2
31,11,3
31,17,6
31,5,16
31,16,1
31,9,2
32,3,17
32,9,1
32,1,9
32,8,4
32,4,32
32,12,1
32,2,8
32,17,2
32,6,3
32,11,17
32,5,12
32,7,11
32,19,3
32,18,3
32,10,1
32,13,1
33,8,3
33,1,6
33,12,1
33,11,4
33,5,5
33,7,9
33,2,4
33,3,11
33,14,1
33,4,4
33,19,1
33,13,1
34,3,25
34,4,39
34,5,13
34,6,4
34,13,3
34,2,16
34,1,12
34,19,3
34,7,5
34,11,3
34,9,5
34,10,2
34,18,1
34,16,3
34,17,1
34,12,1
35,6,5
35,7,5
35,2,12
35,4,32
35,3,22
35,1,17
35,5,22
35,17,1
35,15,1
35,9,1
35,14,1
35,19,4
35,8,1
35,13,8
35,12,1
35,11,3
36,9,3
36,1,9
36,7,8
36,4,16
36,11,2
36,12,1
36,17,5
36,14,4
36,5,4
36,19,2
36,8,5
36,2,12
36,3,5
36,13,1
36,6,1
37,11,8
37,1,14
37,19,4
37,7,9
37,6,2
37,2,10
37,4,19
37,3,1
37,12,6
37,5,3
37,17,1
37,8,7
37,10,1
38,4,30
38,5,22
38,17,10
38,7,17
38,2,6
38,11,8
38,13,4
38,3,4
38,1,20
38,12,1
38,9,8
38,15,2
38,10,1
38,16,1
38,8,2
38,19,1
38,6,2
38,18,3
