day,Actor2Code_counts,count
-7,COP,7
-7,USA,10
-7,USACOP,3
-7,EDU,1
-7,JUD,4
-7,GOV,2
-7,USAGOV,1
-7,CVL,1
-6,USA,5
-6,COP,3
-5,LEG,6
-5,GOV,2
-5,USAGOV,1
-5,CHN,1
-5,CHE,1
-5,USA,5
-5,BUS,1
-5,LAB,1
-5,COP,5
-5,CAN,1
-5,HLH,2
-5,USACOP,1
-4,CVL,1
-4,USA,10
-4,BUS,2
-4,NMR,1
-4,USAMED,1
-4,GOV,3
-4,HLH,1
-4,COP,2
-4,JUD,2
-4,MNCUSA,1
-4,AUSMOS,2
-4,CRM,2
-3,HLH,2
-3,JUD,4
-3,CRM,3
-3,USA,19
-3,UAF,3
-3,BUS,3
-3,USAGOV,2
-3,USAJUD,3
-3,LEG,1
-3,MOS,1
-3,COP,1
-3,MEX,3
-3,COPJUD,2
-3,MNG,2
-3,ARM,1
-3,CVL,1
-3,EDU,1
-3,RUS,1
-3,GOV,1
-2,MIL,1
-2,BOL,3
-2,BUS,2
-2,GOV,6
-2,USA,20
-2,SPY,1
-2,USAGOV,3
-2,MED,3
-2,JOR,2
-2,ELI,2
-2,USAELI,1
-2,VNM,3
-2,REF,1
-2,CRM,1
-2,USAJUD,1
-1,USA,20
-1,GBR,1
-1,MEX,4
-1,ARG,2
-1,COP,5
-1,USAGOV,1
-1,USAMIL,1
-1,EDU,4
-1,CAN,1
-1,MEXGOV,1
-1,CVL,1
-1,BUSJUD,1
-1,JUD,1
-1,USAJUD,2
-1,GOV,2
-1,MNCUSA,1
0,COP,4
0,USA,12
0,USACOP,2
0,MED,3
0,EDU,2
0,JUD,1
0,UAF,2
0,MNCUSAMED,1
0,MNCUSA,2
1,MDV,1
1,CVL,3
1,USA,25
1,EDU,3
1,CHN,6
1,UAF,5
1,QATMED,1
1,COP,10
1,GOV,4
1,BUS,2
1,USACOP,4
1,LEG,1
1,CRM,1
1,HLH,1
1,CAN,2
1,MED,1
1,GBR,1
1,USAGOV,1
1,AUT,1
1,FRA,1
1,NLD,1
2,USAGOV,5
2,MED,12
2,USAUAF,2
2,USA,65
2,CVL,16
2,USACOP,8
2,UAF,21
2,LEG,6
2,CHNMIL,1
2,TWN,2
2,COP,12
2,JUD,3
2,CRM,3
2,CHN,2
2,GOV,5
2,CHNCVL,1
2,USABUS,1
2,USAEDU,1
2,USACVL,10
2,OPP,2
2,MIL,6
2,CVLCVL,1
2,USAMED,3
2,MDV,1
2,EDU,1
2,pac,2
2,USALEG,1
2,BUS,1
3,USA,134
3,COL,1
3,USAGOVEDU,2
3,CVL,11
3,USAJUD,2
3,USACOP,4
3,MED,9
3,GOV,19
3,BUS,11
3,MEX,3
3,LAB,7
3,EDU,4
3,PAN,2
3,USAMED,5
3,COP,9
3,NGA,3
3,AUS,1
3,USAGOV,10
3,MIL,2
3,UAF,11
3,HLH,6
3,CHNCVL,1
3,USACVL,9
3,USALEG,4
3,BRA,1
3,USACRM,3
3,LEG,6
3,PHLCVL,1
3,PHL,2
3,CHN,2
3,pac,1
3,TWN,1
3,CHNAGR,1
3,AGR,1
3,MNCUSAMED,1
3,JEW,1
3,JUD,1
3,USAUAF,1
3,USAEDU,1
3,USAAGR,1
4,USA,51
4,PTY,2
4,USAGOV,10
4,CHN,5
4,CHNAGR,2
4,MEX,2
4,JUD,6
4,GOV,11
4,UAF,13
4,REL,3
4,USALEG,1
4,USAUAF,3
4,EDU,8
4,MED,6
4,USACVL,4
4,USAEDU,3
4,UKR,1
4,EDULAB,1
4,COP,7
4,USACOP,2
4,LAB,3
4,ARE,2
4,ARM,2
4,ESP,2
4,FRA,2
4,GRC,2
4,ITA,2
4,MAR,2
4,CHRCTH,1
4,USAMED,2
4,CVL,8
4,MIL,5
4,USAHLH,4
4,TWN,1
