day,EventCode_counts,count
-7,193,10
-7,190,1
-7,75,1
-7,12,1
-7,51,3
-7,10,3
-7,18,1
-7,30,4
-7,110,3
-7,124,1
-7,40,4
-7,36,2
-7,11,1
-7,130,2
-7,80,1
-7,73,1
-7,173,1
-6,90,1
-6,193,5
-6,190,3
-6,130,1
-6,172,2
-5,51,2
-5,60,2
-5,110,2
-5,12,1
-5,18,1
-5,25,1
-5,193,5
-5,40,1
-5,190,3
-5,120,1
-5,10,2
-5,114,1
-5,20,3
-5,172,1
-5,180,1
-5,192,1
-5,33,1
-5,173,1
-5,43,2
-5,42,2
-5,111,2
-4,190,5
-4,120,2
-4,15,2
-4,90,1
-4,51,3
-4,191,1
-4,173,6
-4,112,1
-4,193,4
-4,10,2
-4,114,1
-4,80,2
-4,43,1
-4,42,1
-4,44,2
-4,130,1
-4,14,1
-4,1124,1
-3,42,6
-3,43,6
-3,111,2
-3,181,1
-3,193,4
-3,12,3
-3,10,2
-3,21,3
-3,90,2
-3,20,10
-3,192,1
-3,13,3
-3,173,10
-3,112,1
-3,120,2
-3,11,2
-3,124,3
-3,36,2
-3,84,1
-3,80,3
-3,17,1
-3,190,2
-3,1823,1
-3,60,1
-2,43,8
-2,42,5
-2,40,2
-2,172,3
-2,20,5
-2,120,3
-2,13,1
-2,173,4
-2,36,6
-2,10,4
-2,46,1
-2,112,3
-2,193,1
-2,1822,2
-2,71,8
-2,50,2
-2,874,1
-2,170,1
-2,12,1
-2,90,1
-2,190,1
-2,60,1
-2,110,1
-1,193,6
-1,51,3
-1,80,2
-1,46,6
-1,173,3
-1,190,4
-1,90,4
-1,36,2
-1,42,4
-1,43,2
-1,17,4
-1,10,7
-1,13,2
-1,20,5
-1,112,1
-1,180,1
-1,70,1
-1,120,2
0,190,2
0,12,3
0,1821,1
0,84,3
0,80,3
0,173,1
0,10,5
0,42,3
0,43,2
0,17,1
0,51,5
0,193,2
0,15,1
0,40,2
0,120,2
0,112,3
0,130,1
0,90,1
1,51,10
1,17,3
1,173,1
1,10,6
1,190,6
1,18,2
1,90,6
1,193,23
1,60,5
1,13,1
1,36,2
1,192,2
1,43,1
1,42,8
1,50,3
1,191,2
1,84,1
1,841,1
1,182,3
1,111,1
1,30,4
1,40,8
2,51,28
2,90,14
2,193,47
2,114,4
2,13,6
2,190,21
2,110,3
2,43,4
2,356,1
2,170,4
2,15,2
2,100,2
2,180,10
2,115,3
2,172,3
2,50,3
2,20,11
2,173,9
2,30,2
2,17,5
2,60,4
2,84,3
2,120,2
2,10,20
2,112,2
2,12,3
2,46,4
2,182,3
2,40,16
