day,EventRootCode_counts,count
-7,19,11
-7,7,2
-7,1,6
-7,5,3
-7,3,6
-7,11,3
-7,12,1
-7,4,4
-7,13,2
-7,8,1
-7,17,1
-6,9,1
-6,19,8
-6,13,1
-6,17,2
-5,5,2
-5,6,2
-5,11,5
-5,1,4
-5,2,4
-5,19,9
-5,4,5
-5,12,1
-5,17,2
-5,18,1
-5,3,1
-4,19,10
-4,12,2
-4,1,5
-4,9,1
-4,5,3
-4,17,6
-4,11,3
-4,8,2
-4,4,4
-4,13,1
-3,4,12
-3,11,3
-3,18,2
-3,19,7
-3,1,11
-3,2,13
-3,9,2
-3,17,10
-3,12,5
-3,3,2
-3,8,4
-3,6,1
-2,4,16
-2,17,8
-2,2,5
-2,12,3
-2,1,6
-2,3,6
-2,11,4
-2,19,2
-2,18,2
-2,7,8
-2,5,2
-2,8,1
-2,9,1
-2,6,1
-1,19,10
-1,5,3
-1,8,2
-1,4,12
-1,17,3
-1,9,4
-1,3,2
-1,1,13
-1,2,5
-1,11,1
-1,18,1
-1,7,1
-1,12,2
0,19,4
0,1,10
0,18,1
0,8,6
0,17,1
0,4,7
0,5,5
0,12,2
0,11,3
0,13,1
0,9,1
1,5,13
1,1,12
1,17,1
1,19,33
1,9,6
1,6,5
1,3,6
1,4,17
1,8,2
1,18,3
1,11,1
2,5,31
2,9,14
2,19,70
2,11,13
2,1,42
2,4,27
2,3,6
2,17,17
2,10,2
2,18,13
2,2,11
2,6,4
2,8,4
2,12,3
2,14,2
2,16,1
2,7,2
2,13,3
3,1,35
3,5,28
3,17,24
3,18,13
3,9,6
3,19,121
3,2,22
3,14,1
3,12,2
3,11,13
3,4,87
3,7,1
3,8,6
3,6,2
3,3,8
3,10,1
3,16,3
3,13,6
4,19,70
4,17,12
4,18,12
4,1,35
4,2,21
4,4,36
4,16,3
4,11,31
4,5,18
4,9,6
4,3,5
4,12,5
4,8,9
4,10,1
4,6,2
5,8,4
5,18,11
5,1,18
5,17,6
5,19,35
5,11,16
5,5,7
5,7,1
5,4,27
5,2,14
5,3,6
5,12,1
5,10,2
5,9,1
6,19,36
6,1,25
6,17,5
6,14,2
6,7,3
6,2,8
6,4,17
6,12,1
6,5,14
6,13,4
6,11,3
6,9,1
6,6,3
6,10,1
7,5,6
7,3,3
7,1,9
7,19,21
7,18,4
7,17,3
7,9,2
7,11,5
7,4,29
7,6,2
7,16,1
7,7,5
7,2,2
7,8,1
8,4,7
8,1,9
8,18,3
8,2,3
8,19,8
8,5,2
8,7,3
8,17,2
8,11,1
8,8,1
8,14,1
8,3,3
8,6,1
9,8,7
9,17,7
9,7,4
9,2,6
9,18,3
9,19,13
9,4,12
9,12,5
9,1,12
9,11,4
9,5,5
9,14,1
10,2,5
10,4,8
10,1,13
10,11,2
10,19,18
