day,Actor1Name_counts,count
-7,FARMER,1
-7,UNITEDSTATES,37
-7,CALIFORNIA,7
-7,CHINA,1
-7,GOOGLE,1
-7,POLICE,2
-7,CHAD,2
-7,CHANCELLOR,1
-7,MEDIA,2
-7,NATIVEAMERICAN,8
-7,IRELAND,1
-7,ATTORNEYGENERAL,1
-7,PRINCE,1
-7,ACTOR,1
-7,SANDIEGO,1
-7,THEUS,2
-7,CALIF,1
-7,GUNMEN,1
-7,SPOKESMAN,2
-7,MILITARYPERSONNEL,1
-7,DETECTIVE,1
-7,UNIVERSITY,1
-7,EMPLOYER,1
-7,THEASSOCIATEDPRESS,1
-7,NAVY,1
-7,GOVERNMENT,1
-7,HEALTHDEPARTMENT,3
-7,LOSANGELES,1
-7,JUDGE,1
-7,MAYOR,1
-7,HUNTER,1
-7,IMMIGRANT,1
-7,SETTLER,1
-6,CALIFORNIA,15
-6,BUSINESS,1
-6,CHINESE,2
-6,UNITEDSTATES,24
-6,THIEVES,5
-6,CRIMINAL,1
-6,GOVERNOR,3
-6,INDUSTRY,2
-6,SENATE,1
-6,PRINCE,3
-6,CATHOLIC,1
-6,DEPUTY,2
-6,REPRESENTATIVES,1
-6,PRODUCER,1
-6,FIREFIGHTER,2
-6,CALIF,1
-6,EUROPE,2
-6,CANADA,2
-6,CHINA,1
-6,ISRAEL,3
-6,GAZA,2
-6,HOSPITAL,2
-6,ARMY,1
-6,NORTHAMERICA,3
-6,NASA,1
-6,TEXAS,2
-6,SANTAANA,1
-6,FANG,1
-6,EMPLOYER,1
-6,NETFLIX,1
-6,TRAVELER,1
-6,DETECTIVE,2
-6,COMPANY,1
-5,IRAQ,2
-5,UNITEDSTATES,16
-5,COMPANY,3
-5,COMPANIES,2
-5,PRINCE,1
-5,UNITEDKINGDOM,3
-5,CALIFORNIA,6
-5,MILITARY,2
-5,CHINESE,1
-5,LAWENFORCEMENTAGENCIES,1
-5,JETBLUE,1
-5,BUSINESS,2
-5,GHANA,1
-5,CHAMBER,1
-5,TRADER,1
-5,HOSPITAL,1
-5,WASHINGTON,1
-5,COMMUNITY,2
-5,ATTORNEY,1
-5,ANTIOCH,1
-5,PRISON,1
-5,DOCTOR,1
-5,WORKER,2
-5,VIETNAM,1
-5,LOSANGELES,1
-5,PRODUCER,1
-5,AMERICAN,4
-5,ACTOR,2
-5,AUTHORITIES,1
-5,CITIZEN,1
-4,NEWJERSEY,2
-4,SENATOR,1
-4,SENEGAL,2
-4,UNITEDSTATES,16
-4,POLICE,3
-4,CALIFORNIA,12
-4,ATTORNEY,2
-4,DISTRICTCOURT,2
-4,SANTAANA,1
