day,Actor1Code_counts,count
-7,MNCUSAHLH,1
-7,USAJUD,7
-7,GOV,11
-7,USA,70
-7,BUS,3
-7,MIL,4
-7,CVL,7
-7,EDU,6
-7,MED,2
-7,HLH,4
-7,LEG,2
-7,JUD,5
-7,USAREL,2
-7,MNCUSAMED,2
-7,USAGOV,5
-7,UAF,4
-7,USACOP,3
-7,AFR,1
-7,USAMED,1
-7,TZA,1
-7,HTI,1
-7,USALEG,1
-7,NGOHRI,1
-7,NGOHRIAMN,2
-7,NZL,2
-7,PSE,3
-7,ISR,3
-7,EUR,2
-7,CHE,1
-7,COP,2
-7,MDV,2
-7,USAEDU,2
-7,IND,3
-7,REL,2
-7,CUB,2
-7,CHNCVL,1
-7,MNCUSABUS,1
-6,COP,11
-6,USA,92
-6,CVL,7
-6,GOV,19
-6,PTY,3
-6,MIL,5
-6,EDU,18
-6,HTI,1
-6,USAJUD,4
-6,USACOP,8
-6,USAGOV,5
-6,ISR,4
-6,JEWHSD020CVL,1
-6,HLH,4
-6,UKRGOV,1
-6,JUD,11
-6,LEG,6
-6,FRA,5
-6,REL,4
-6,LAB,2
-6,BUS,7
-6,IRQ,2
-6,MED,6
-6,USAREL,2
-6,USAMED,2
-6,CHRCTH,2
-6,ELI,3
-6,USALEG,1
-6,MEX,1
-6,GTM,1
-6,UAF,5
-6,USACVL,4
-6,USAEDU,5
-6,AGR,1
-6,USABUS,1
-6,CHL,1
-6,USACHR,3
-6,CHR,2
-6,NZL,1
-6,NGA,1
-6,USAAGR,1
-6,RUS,3
-5,USA,90
-5,CRM,4
-5,COP,15
-5,CVL,10
-5,DNK,1
-5,EDU,15
-5,JUD,7
-5,USALEG,3
-5,USABUS,2
-5,BUS,7
-5,GOV,21
-5,UAF,1
-5,USAGOV,9
-5,EDUEDU,1
-5,ELI,3
-5,cad,1
-5,sco,2
-5,LEG,7
-5,MDVLEG,1
-5,AGR,1
-5,LAB,1
-5,MEX,4
-5,MNCUSA,7
-5,USACVL,5
-5,REL,9
-5,USAJUD,1
-5,BRA,1
-5,MIL,3
-5,NZLGOV,2
-5,MEXREL,1
-5,RAD,1
-5,ECUGOV,1
-5,RUS,3
-5,BGD,1
-5,JEW,1
-5,ESP,1
-5,HLH,2
-5,IRL,1
-5,PTY,1
-5,ISR,1
-5,moh,2
-5,NRMRAC020,1
-5,BUSMED,1
-5,BLZGOVMIL,1
-5,NGOTAMHRI,1
-4,USA,86
-4,COP,7
-4,CRM,6
-4,CVL,5
-4,GOV,17
-4,MNCKOR,3
-4,EDU,12
-4,OPP,4
-4,PAN,1
-4,CRI,1
-4,CHR,3
-4,USAMIL,1
-4,USALEG,1
-4,BRAGOVMED,1
-4,GOVMED,1
