day,Actor1Name_counts,count
-7,PFIZER,1
-7,UNITEDSTATES,41
-7,ADMINISTRATION,8
-7,AUSTIN,4
-7,TEXAS,24
-7,BUSINESS,3
-7,MILITARYPERSONNEL,2
-7,COMMUNITY,4
-7,SCHOOL,4
-7,VOTER,2
-7,WRITER,1
-7,DOCTOR,2
-7,SENATE,1
-7,HOSPITAL,2
-7,JUDGE,2
-7,LAWYER,1
-7,REPRESENTATIVES,1
-7,DALLAS,4
-7,CALIFORNIA,1
-7,GOOGLE,2
-7,THEWHITEHOUSE,1
-7,HOUSTON,2
-7,GUNMAN,3
-7,PUBLICATION,1
-7,AUTHORITIES,3
-7,AFRICA,1
-7,NATIONALGUARD,1
-7,THEASSOCIATEDPRESS,1
-7,OREGON,1
-7,COLLEGE,2
-7,MILITARY,1
-7,TANZANIA,1
-7,HAITIAN,1
-7,ILLINOIS,1
-7,HITMAN,1
-7,ALABAMA,4
-7,PENNSYLVANIA,1
-7,HUMANRIGHTSGROUP,1
-7,AMNESTYINTERNATIONAL,2
-7,BUFFALO,1
-7,NEWZEALAND,2
-7,PALESTINIAN,3
-7,ISRAEL,3
-7,EUROPE,2
-7,SWITZERLAND,1
-7,POLICE,2
-7,MALE,2
-7,AMERICAN,4
-7,NEWDELHI,3
-7,ABBOT,2
-7,SUPREMECOURT,2
-7,WASHINGTON,1
-7,CUBAN,2
-7,CHINESE,1
-7,CITIZEN,1
-7,CHARLESSCHWAB,1
-6,POLICE,7
-6,DALLAS,4
-6,VOTER,2
-6,ATTORNEYGENERAL,3
-6,COMMUNITY,3
-6,POLITICIAN,3
-6,PITTSBURGH,1
-6,NAVAL,1
-6,WARSHIP,1
-6,STUDENT,8
-6,HAITIAN,1
-6,TEXAS,35
-6,PRESIDENT,7
-6,UNITEDSTATES,68
-6,AMERICAN,4
-6,BUFFALO,6
-6,ISRAEL,4
-6,SATMAR,1
-6,DOCTOR,2
-6,CALIFORNIA,1
-6,POLICECHIEF,3
-6,ARMY,1
-6,THEUS,2
-6,UKRAINE,1
-6,AIRFORCE,1
-6,LAWYER,1
-6,ADMINISTRATION,2
-6,HOSPITAL,2
-6,SENATOR,3
-6,FRANCE,3
-6,SCHOOL,9
-6,ABBOT,3
-6,WORKER,1
-6,INVESTOR,2
-6,COUNSEL,2
-6,IRAQ,2
-6,BLOG,1
-6,GOVERNOR,1
-6,CHIEFEXECUTIVE,1
-6,PENNSYLVANIA,1
-6,PRODUCER,2
-6,CATHOLIC,2
-6,LAWENFORCEMENTOFFICER,1
-6,RETIRED,2
-6,MEXICO,1
-6,BORDERSECURITY,1
-6,GUATEMALA,1
-6,SANFRANCISCO,1
-6,NEWYORK,2
-6,GUNMAN,5
-6,MEDIA,1
-6,COMPANY,3
-6,AUTHORITIES,2
-6,UNIVERSITY,1
-6,LEGISLATURE,2
-6,FIRSTLADY,1
-6,MICHIGAN,1
-6,MINISTRY,1
-6,PREACHER,1
-6,HUNTER,2
-6,COUNSELOR,1
-6,COUNSELLOR,1
-6,LOCALMEDIA,1
-6,FRENCH,1
-6,FARMER,1
-6,ALABAMA,1
-6,CHILE,1
