day,Actor2Name_counts,count
-8,UNITEDSTATES,29
-8,VILLAGE,2
-8,DUBAI,2
-8,VERSAILLES,1
-8,CANADA,2
-8,POLICEOFFICER,1
-8,AMERICAN,1
-8,NEWYORK,1
-8,DEALER,1
-8,SOUTHCAROLINA,1
-8,POLICE,6
-8,CALIFORNIA,5
-8,SACRAMENTO,1
-8,NIAGARAFALLS,1
-8,GOVERNMENT,3
-8,COMPANIES,1
-8,SMUGGLER,1
-8,AUTHORITIES,3
-8,WORKER,6
-8,TRAVELER,1
-8,INDUSTRY,1
-8,FIREDEPARTMENT,2
-8,ISRAELI,1
-8,MEDIA,3
-8,MILITANT,2
-8,GANG,1
-7,CALIFORNIA,1
-7,PRISON,1
-7,BUSINESS,1
-7,GANGSTER,1
-7,COMMUNITY,1
-7,UNITEDSTATES,3
-7,HOSPITAL,1
-7,PRESIDENT,1
-6,ATTORNEY,1
-6,CALIFORNIA,2
-6,UNITEDSTATES,6
-6,NEIGHBORHOOD,1
-6,POLICE,1
-6,SCHOOL,1
-6,GOVERNOR,1
-6,JOEBIDEN,1
-6,STATEATTORNEYGENERAL,1
-6,DEALER,1
-6,COMMUNITY,2
-6,LOSANGELES,2
-6,PRISON,1
-5,YEMEN,2
-5,SANAA,2
-5,UNITEDSTATES,14
-5,PHOENIX,1
-5,INTELLIGENCE,2
-5,CONSTABLE,1
-5,HOSPITAL,1
-5,STARBUCKS,1
-5,SANFRANCISCO,1
-5,DEPUTIES,1
-5,CALIFORNIA,4
-5,POLICE,5
-5,SANDIEGO,1
-5,LOSANGELES,2
-5,AUTHORITIES,1
-5,JOEBIDEN,1
-5,GREENLAND,1
-5,CANADA,2
-5,QUEENSLAND,2
-5,CRIMINAL,1
-5,PROSECUTOR,1
-5,CITIZEN,1
-5,POLICEOFFICIALS,1
-5,WASHINGTON,1
-5,MUSLIM,2
-5,SCHOOL,2
-5,PUBLICATION,1
-5,STUDENT,1
-4,CALIFORNIA,5
-4,POLICE,4
-4,MEXICO,1
-4,MEXICAN,1
-4,JUDGE,1
-4,NURSE,1
-4,UNITEDSTATES,13
-4,NEWJERSEY,1
-4,THIEVES,1
-4,WORKER,1
-4,PRESIDENT,1
-4,JIMMYCARTER,3
-4,WASHINGTON,1
-4,AUTHORITIES,1
-4,HOSPITAL,1
-4,VENEZUELA,2
-4,MANUFACTURER,1
-4,DEALER,2
-4,GOVERNMENT,1
-4,SPECIALFORCES,1
-4,BRAZIL,4
-3,WASHINGTON,1
-3,CANADA,1
-3,UNITEDSTATES,4
-3,UNIVERSITY,1
-3,THIEVES,1
-3,ARMEDMEN,2
-3,PRESIDENT,1
-3,HAMAS,1
-3,AMERICAN,2
-3,CALIFORNIA,1
-3,POLICE,1
-3,ADMINISTRATION,1
-2,AUSTRALIA,2
-2,GOVERNMENT,3
-2,JUDGE,1
-2,UNITEDSTATES,1
-2,CALIFORNIA,3
-2,MEDIA,1
-2,POLICE,1
-2,TEXAS,2
-2,EMPLOYEE,1
-2,SANFRANCISCO,1
-2,POLITICALPRISONER,1
-2,COMPANY,2
-1,PRISON,2
-1,HAMAS,3
-1,ASSAILANT,1
-1,PROSECUTOR,1
-1,POLICE,1
-1,UNITEDSTATES,15
-1,GUNMAN,2
-1,WORKER,1
-1,ATTORNEY,1
-1,CALIFORNIA,6
-1,CHINA,1
-1,CHINESE,1
-1,LOSANGELES,1
-1,GAZA,1
-1,AUTHORITIES,1
-1,GOVERNMENT,2
-1,GUATEMALAN,1
-1,EMPLOYEE,1
-1,AUSTRALIAN,3
-1,AMERICAN,4
-1,AUSTRALIA,1
-1,THIEVES,1
-1,MEXICO,1
-1,NEWYORK,1
-1,NEWYORKCITY,1
-1,MINNEAPOLIS,1
0,MEDIA,1
0,LOSANGELES,1
0,POLICE,6
0,UNITEDSTATES,15
0,PAKISTAN,1
0,ROLLSROYCE,1
0,MEMPHIS,1
0,DANISH,2
0,SECURITYPERSONNEL,1
0,COMPANY,1
0,GREENLAND,1
0,GERMAN,1
0,ARMY,1
0,SMALLTOWN,1
0,GERMANY,1
0,PRISON,1
0,CHRISTIAN,2
0,SCHOOL,1
0,THEASSOCIATEDPRESS,1
0,GUNMEN,1
0,GANG,1
0,CAPTAIN,1
0,RANA,4
1,UNITEDSTATES,5
1,ORLANDO,1
1,PRISON,1
1,DOCTOR,1
1,RETIRED,1
1,FEDERALJUDICIARY,1
1,SUPREMECOURT,2
1,FEDERALCOURT,2
1,CALIFORNIA,6
1,GOVERNOR,3
1,INDUSTRY,2
1,POLICE,2
1,COMMUNITY,1
1,CHINA,1
1,NETFLIX,1
1,ISRAEL,3
1,GAZA,1
1,PALESTINIAN,1
1,SCHOOL,1
1,MANUFACTURER,1
1,AMERICAN,1
2,UNITEDSTATES,19
2,SENATE,1
2,AMERICAN,1
2,NEWORLEANS,2
2,AUTHORITIES,1
2,CITIZEN,1
2,ATTORNEY,2
2,PRISON,1
2,CALIFORNIA,4
2,POLICEOFFICIALS,1
2,ANTIOCH,1
2,POPULATION,2
2,COMPANY,1
2,COLOMBIA,2
2,MEXICO,2
2,PAKISTAN,1
2,CANADA,1
2,MILITARY,3
2,COMMUNITY,1
2,LOSANGELES,1
2,WASHINGTON,1
2,INDUSTRY,1
2,CONGRESS,2
2,ARMEDFORCES,2
2,PRISONER,1
2,POLICE,2
3,UNITEDSTATES,10
3,LASVEGAS,1
3,TEXAS,1
3,CALIFORNIA,3
3,SCHOOLHOUSE,1
3,COMMUNITY,2
3,ADMIRAL,1
3,MARINECORP,1
3,ACTOR,1
3,DEPUTY,1
3,MISSISSIPPI,1
3,EMPLOYEE,2
3,JUDGE,2
3,SUPREMECOURT,1
3,INDUSTRY,1
3,GANG,1
3,LAOS,1
3,POPULATION,1
3,POLICE,2
3,ANTIOCH,4
3,DETECTIVE,2
3,ARMY,2
3,MINNESOTA,1
3,CONSTABLE,1
3,INTELLIGENCE,2
3,PHOENIX,1
3,CRIMINAL,4
3,SCHOOL,4
3,ATTORNEY,1
4,CRIMINAL,2
4,UNITEDSTATES,18
4,POLICE,1
4,INTELLIGENCESERVICE,2
4,ACTOR,1
4,AMERICAN,1
4,CANADA,2
4,NEWORLEANS,3
4,DEPUTY,2
4,SPOKESMAN,2
4,LAWMAKER,1
4,CALIFORNIA,2
4,GOVERNMENT,2
4,WORKER,2
4,COMPANY,2
4,ONTARIO,1
5,UNITEDSTATES,14
5,CALIFORNIA,3
5,POLICEOFFICER,1
5,ACTOR,1
5,LOSANGELES,1
5,CANADA,1
5,THEWHITEHOUSE,1
5,AMERICAN,1
5,RUSSIAN,1
5,NEWSSTATION,1
5,COMPANIES,1
5,ONTARIO,1
5,HOSPITAL,2
5,POLICE,4
5,CITIZEN,1
5,EGYPT,1
5,FLORIDA,1
5,PRODUCER,1
5,VILLAGE,2
5,AFRICA,2
6,ADMINISTRATION,1
6,UNITEDSTATES,11
6,EUROPE,1
6,POLICE,6
6,CANADA,5
6,NEIGHBORHOOD,1
6,ANTIOCH,1
6,CALIFORNIA,7
6,WEBSITE,2
6,ARCHBISHOP,2
6,ARCHDIOCESE,1
6,VATICAN,1
6,PITTSBURGH,1
6,CRIMINAL,1
6,LASVEGAS,1
6,MINORITIES,1
6,NETFLIX,1
6,MILITARY,1
6,MUSLIM,1
6,CONGRESS,1
6,AUTHORITIES,1
6,IMMIGRANT,1
6,SENATOR,1
6,POLE,1
6,NEWORLEANS,2
6,IRAN,1
6,EMPEROR,1
6,ATTORNEY,2
6,PRESIDENT,1
6,WASHINGTON,1
6,WORKER,2
6,TOYOTA,2
6,NVIDIA,1
6,GOVERNMENT,1
6,HOUSTON,3
7,AMERICAN,1
7,CANADA,1
7,JOEBIDEN,2
7,ISRAEL,1
7,MEDIA,4
7,CALIFORNIA,9
7,GUNMAN,1
7,PRISON,1
7,TELEVISION,3
7,COLOMBIA,1
7,BORDERPATROL,1
7,UNITEDSTATES,23
7,STUDENT,1
7,AUTHORITIES,1
7,PERTH,1
7,AUSTRALIA,1
7,WORKER,1
7,MINNESOTA,1
7,ONTARIO,1
7,FRANCE,1
7,SECRETARYOFSTATE,2
7,UNIONS,2
7,OBAMA,2
7,NEIGHBORHOOD,1
7,SCHOOL,1
7,REUTERS,1
7,LOSANGELES,4
7,ISLAM,1
7,RUSSIA,1
7,CRIMINAL,3
7,POLICE,3
7,MEXICO,2
7,COMPANY,2
7,CHRISTIAN,1
7,FIREFIGHTER,1
7,RESIDENTS,1
7,THEUS,1
7,ANTIOCH,1
7,PRESIDENT,2
7,EUROPEAN,1
7,COMMUNITY,2
7,MEMPHIS,2
7,TYRE,2
7,NEIGHBOURHOOD,1
8,ACTOR,1
8,NEIGHBOURHOOD,3
8,UNITEDSTATES,45
8,CALIFORNIA,15
8,JIMMYCARTER,2
8,FIREFIGHTER,13
8,THEUS,3
8,TANKER,2
8,STUDENT,2
8,WASHINGTON,1
8,CANADA,4
8,ONTARIO,2
8,INTELLIGENCE,1
8,JOEBIDEN,7
8,ISLAMIC,1
8,RESIDENTS,1
8,MILITARY,4
8,HOSPITAL,1
8,LOOTER,1
8,REDCROSS,1
8,SENATOR,1
8,HUNTER,1
8,SINAI,2
8,PRESIDENT,4
8,LOSANGELES,4
8,POLICE,3
8,LAWMAKER,1
8,COMMUNITY,3
8,ISRAEL,1
8,ADMINISTRATION,1
8,COLLEGE,1
8,COMPANY,1
8,POLICEOFFICER,5
8,GANG,1
8,THEASSOCIATEDPRESS,2
8,CHAD,1
8,FIREDEPARTMENT,1
8,GOVERNOR,2
8,FINN,2
8,NORTHAMERICA,2
8,SCHOOL,2
8,ROME,1
8,REUTERS,2
8,AIRCRAFTCARRIER,1
8,MAYOR,1
8,GHANA,1
8,PREMIER,1
9,CALIFORNIA,10
9,UNITEDSTATES,26
9,MANUFACTURER,1
9,CANADA,3
9,BUSINESSLEADER,1
9,JIMMYCARTER,1
9,PRIMEMINISTER,1
9,SECURITYFORCE,1
9,CHINA,1
9,DISNEY,1
9,SANDIEGO,2
9,ISRAEL,1
9,NURSE,1
9,PROSECUTOR,1
9,BANK,2
9,RESIDENTS,3
9,EDISONINTERNATIONAL,1
9,AUTHORITIES,2
9,GREEK,1
9,PARIS,1
9,THEUS,3
9,LOSANGELES,5
9,COMPANY,5
9,RIOTER,2
9,BRITISHCOLUMBIA,1
9,POLICE,1
9,GANG,1
9,MILITANT,1
9,FARMER,1
9,ADMINISTRATION,1
9,REUTERS,1
9,WASHINGTON,2
9,JEWISH,1
9,SCHOOL,2
9,SANTAANA,1
9,FIREFIGHTER,3
9,PRISON,2
9,SYRIA,3
9,JAPAN,1
9,POPULATION,1
9,PRIVATECITIZEN,1
9,FIREDEPARTMENT,1
9,SPOKESMAN,1
9,INVESTOR,1
9,HONDA,1
9,NORTHAMERICA,1
9,WORKER,1
9,PRESIDENT,1
9,DEPUTY,2
9,LOOTER,1
9,TROOPER,2
9,CROOK,1
10,UNIVERSITY,1
10,ACTOR,1
10,MILITARYPOLICE,1
10,SANTAANA,1
10,INDUSTRY,2
10,PRESIDENT,2
10,MAGAZINE,1
10,CRUSADER,1
10,UNITEDSTATES,17
10,GHANA,2
10,MORMON,1
10,COMPANY,1
10,MEDIA,1
10,POLICE,4
10,LOSANGELES,1
10,FIREFIGHTER,2
10,NEIGHBOURHOOD,1
10,UNITEDKINGDOM,1
10,CALIFORNIA,5
10,CANADA,3
10,PRIMEMINISTER,1
10,RESIDENTS,1
10,WORKER,1
10,GOVERNOR,1
11,BRAC,1
11,UNITEDSTATES,13
11,FIREFIGHTER,2
11,NEIGHBORHOOD,1
11,CANADA,1
11,REUTERS,1
11,ACTOR,1
11,HOSPITAL,1
11,LOSANGELES,2
11,JORDAN,1
11,MAGAZINE,1
11,COMMUNITY,1
11,POLICE,3
11,ACTIVIST,2
11,CALIFORNIA,3
11,AUSTRALIA,1
11,LOOTER,1
11,CALIF,1
11,SANTAANA,1
12,THEASSOCIATEDPRESS,2
12,REFORMER,1
12,UNITEDSTATES,16
12,PRODUCER,1
12,CHINA,2
12,CALIFORNIA,9
12,IMMIGRANT,1
12,GOVERNMENT,1
12,BANK,1
12,RESIDENTS,3
12,ZAWAHIRI,1
12,UKRAINE,1
12,LOSANGELES,3
12,BRITISH,1
12,JEWISH,1
12,COMMUNITY,1
12,WEBSITE,1
12,AUTHORITIES,1
12,FIREFIGHTER,1
12,LAWMAKER,1
12,REDCROSS,1
12,ADMINISTRATION,3
12,MEDIA,1
12,POLICE,2
12,CAPTAIN,1
12,COMPANIES,3
12,CANADA,2
12,PRESIDENT,1
12,HOSPITAL,1
12,ATTORNEY,1
12,MAGAZINE,1
12,EUROPE,1
12,FIREDEPARTMENT,1
12,NIGERIAN,1
12,ARIZONA,1
12,NEIGHBORHOOD,1
12,MEXICAN,1
12,GRANDRAPIDS,1
12,CUBA,1
12,FIDELCASTRO,3
12,ITALIAN,1
12,AUSTIN,1
12,AFRICA,1
13,UNITEDSTATES,20
13,GOVERNOR,1
13,LOSANGELES,10
13,HOSPITAL,3
13,ARSONIST,1
13,CHINA,2
13,CALIFORNIA,7
13,AMERICAN,2
13,ADMINISTRATION,1
13,INTELLECTUAL,1
13,ACTOR,2
