day,Actor1Name_counts,count
-7,UNITEDSTATES,56
-7,ATTORNEY,3
-7,PRISONER,2
-7,SAUDIARABIA,1
-7,JOURNALIST,5
-7,VIRGINIA,33
-7,JAPAN,1
-7,PRISON,3
-7,CUBA,2
-7,BUSINESS,2
-7,SENATOR,3
-7,NEWZEALAND,1
-7,PROSECUTOR,1
-7,DEALER,2
-7,FRANCE,1
-7,SENATE,3
-7,DANE,4
-7,COURTOFAPPEALS,1
-7,COLLEGE,1
-7,GOVERNOR,3
-7,AFRICA,1
-7,SCHOOL,7
-7,AFRICANS,1
-7,FLORIDA,1
-7,NEWYORKCITY,1
-7,POLICE,6
-7,INTELLIGENCEOFFICER,1
-7,IRAQ,1
-7,LAWMAKER,3
-7,TELEVISION,1
-7,EMPLOYEE,3
-7,COLONEL,2
-7,MAJORGENERAL,2
-7,CHINA,1
-7,AMERICAN,5
-7,AIRLINE,1
-7,NAVAL,1
-7,COMPANY,4
-7,SCIENTIST,2
-7,RESIDENTS,1
-7,INTELLECTUAL,1
-7,CHRISTIAN,4
-7,BILLCLINTON,1
-7,JUDGE,2
-7,INTELLIGENCE,1
-7,FARMER,2
-7,IMMIGRANT,1
-7,LANDOWNER,2
-7,PROFESSOR,1
-7,KUKLUXKLAN,2
-7,SECURITYOFFICIAL,1
-7,ADMINISTRATION,1
-7,GOVERNMENT,2
-7,ATTORNEYGENERAL,2
-7,POLITICIAN,1
-7,CHAMBER,1
-7,SERIALKILLER,1
-7,EGYPT,1
-7,ALEXANDRIA,1
-7,SOMALI,2
-7,WASHINGTON,1
-7,MILITARY,2
-7,ECUADOR,1
-7,BRITISH,1
-7,MAYOR,1
-7,MINNESOTA,3
-7,HOSPITAL,1
-7,PAKISTANI,2
-7,CRIMINAL,2
-7,EMPLOYER,1
-7,MALE,1
-7,MARYLAND,1
-7,WESTVIRGINIA,1
-7,JAMAICA,1
-7,FEDERALCOURT,1
-7,POLICEOFFICER,1
-6,MILITARY,1
-6,VIRGINIA,17
-6,CONGRESS,1
-6,UNITEDSTATES,26
-6,PRESIDENTOFTHESENATE,1
-6,COMPANY,3
-6,POLICE,5
-6,ADMINISTRATION,1
-6,AFRICA,1
-6,OBAMA,1
