day,Actor2Code_counts,count
-7,JUD,7
-7,USA,70
-7,GOV,11
-7,AFG,2
-7,JPNLAB,1
-7,OPP,1
-7,USALEG,1
-7,LEG,7
-7,MIL,5
-7,JPN,1
-7,NZL,1
-7,GBR,2
-7,USAGOV,4
-7,FRA,2
-7,CRM,3
-7,afa,1
-7,AFR,1
-7,EDU,6
-7,USACRM,1
-7,CVL,5
-7,COP,3
-7,IRQ,1
-7,ECUGOV,1
-7,USAELI,1
-7,MED,6
-7,MNCUSAMED,1
-7,CHN,3
-7,ITA,1
-7,BUS,5
-7,LAB,2
-7,EDUEDU,2
-7,CHR,4
-7,USAREB,1
-7,NGOUSAENV,1
-7,SAU,1
-7,MOS,3
-7,USAEDU,1
-7,SPY,1
-7,AGR,2
-7,USAGOVELI,1
-7,USAPTY,2
-7,HLH,1
-7,PAK,1
-7,AFGINSTAL,1
-7,MDV,1
-7,JAM,1
-6,LEG,3
-6,USA,24
-6,CVL,3
-6,USAGOV,3
-6,GOV,6
-6,COP,8
-6,MIL,4
-6,EDU,4
-6,JUD,2
-6,GOVHLH,2
-6,CHN,2
-6,SOM,1
-6,MED,2
-6,MDV,4
-6,HLH,2
-6,LAB,1
-6,IRL,2
-5,USA,21
-5,BUS,4
-5,CVL,5
-5,HLHMED,1
-5,MDV,1
-5,HLH,1
-5,JUD,1
-5,LEG,2
-5,USACVL,3
-5,USAGOV,2
-5,GOV,1
-5,EDU,1
-5,DEU,1
-5,COP,2
-5,COPCOP,1
-5,MIL,1
-4,EDU,5
-4,USA,15
-4,IRL,1
-4,ECU,1
-4,USAGOV,2
-4,USACVL,1
-4,GOV,4
-4,MIL,2
-4,CVL,2
-4,MNCUSA,1
-4,HLH,1
-4,COP,6
-4,CRM,1
-4,JPN,1
-4,CHN,1
-4,IGOEUREEC,1
-4,SAU,4
-4,DEU,1
-4,USAMED,1
-4,CHR,1
-4,JUD,4
-4,USACOP,1
-4,MILMIL,1
-3,REL,1
-3,USA,27
-3,LEG,4
-3,USAEDU,8
-3,EDU,7
-3,GOV,13
-3,COP,3
-3,MIL,5
-3,MED,2
-3,USABUS,1
-3,LAB,8
-3,USAGOV,3
-3,CRM,1
-3,CVL,3
-3,HLH,2
-3,USAJUD,2
-3,POL,1
-3,BUS,6
-3,USALEG,1
-3,USACVL,1
-3,USACOP,3
-3,JUD,3
-2,BUS,3
-2,USA,51
-2,AUS,2
-2,JUD,4
-2,ESP,1
-2,COP,8
-2,USACVL,2
-2,EDU,8
-2,GOV,9
-2,MIL,7
-2,CVLEDU,1
-2,MEX,1
-2,LAB,3
-2,USAGOV,5
-2,CVL,1
-2,CHRPRO210,2
-2,CHRCTH,1
-2,RUS,3
-2,MED,2
-2,LEG,5
-2,EUR,1
-2,USABUS,1
-2,NGOUSAENV,9
-2,IRQ,3
-2,USAEDU,2
-2,GBR,1
-2,CRM,1
-2,MNCUSAMED,1
-2,REL,1
-2,GOVEDU,2
-1,USA,35
-1,CRM,2
-1,NGOCHR,2
-1,TUR,1
-1,CAN,3
-1,CANGOV,2
-1,LAB,4
-1,COP,12
-1,VNM,1
-1,LEG,4
-1,USACOP,2
-1,EDU,5
-1,CHR,2
-1,USABUS,1
-1,JUD,3
-1,USAEDU,2
-1,GOV,8
-1,USACVL,5
-1,EDUCVL,1
-1,BUS,3
-1,JEW,1
-1,JEWCVL,3
-1,MED,1
-1,NGOUSAHLH,1
-1,USAJUD,1
-1,CHRCTH,3
-1,USALAB,1
-1,CHREDU,1
-1,USAGOV,3
-1,UAF,2
-1,FRA,1
-1,CVLEDU,4
-1,EDUMED,1
-1,MIL,3
-1,UKR,1
-1,CVL,1
0,BUS,3
0,USA,70
0,USAEDU,3
0,COP,13
0,MOS,2
0,GOV,19
0,EDU,8
0,LEG,5
0,JUD,8
0,USAJUD,2
0,CVL,8
0,MILMIL,1
0,MED,7
0,EDUEDU,1
0,OPP,2
0,AFR,1
0,USALEG,1
0,nai,1
0,MNCJPN,1
0,USACOP,6
0,USAGOV,8
0,MNCUSA,3
0,USAMED,3
0,USACVL,1
0,UAF,2
0,GBR,2
0,IGOUNO,2
0,SYR,1
0,LAB,2
0,HLH,1
0,CHE,1
0,NZL,1
0,CAF,1
0,ISR,1
0,MILSPY,1
1,GOV,29
1,USA,112
1,HLH,6
1,USACOP,10
1,COP,27
1,LAB,19
1,CVL,33
1,CHRPRO300,1
1,CHRPRO,1
1,MED,7
1,USAGOV,24
1,USAMED,6
