day,EventRootCode_counts,count
-7,1,40
-7,10,6
-7,5,15
-7,2,21
-7,17,19
-7,11,16
-7,4,74
-7,14,2
-7,12,6
-7,7,9
-7,8,7
-7,3,8
-7,6,2
-7,19,4
-7,9,6
-7,13,2
-7,18,6
-7,16,2
-6,4,22
-6,3,15
-6,19,12
-6,2,5
-6,1,12
-6,7,2
-6,17,11
-6,11,13
-6,12,4
-6,14,1
-6,5,8
-6,6,3
-6,8,5
-6,18,3
-6,9,2
-6,10,1
-5,2,5
-5,19,6
-5,8,6
-5,12,2
-5,4,17
-5,18,1
-5,1,10
-5,5,9
-5,17,4
-5,3,2
-5,9,2
-5,13,2
-4,4,24
-4,5,10
-4,19,9
-4,2,7
-4,1,10
-4,3,3
-4,7,1
-4,12,3
-4,9,4
-4,6,2
-4,18,2
-4,17,5
-4,11,2
-4,13,3
-4,8,1
-4,14,1
-3,11,10
-3,3,5
-3,9,9
-3,12,4
-3,5,15
-3,1,18
-3,14,5
-3,7,7
-3,2,15
-3,17,8
-3,4,20
-3,16,1
-3,19,15
-3,18,6
-3,13,1
-3,8,6
-2,17,12
-2,5,18
-2,3,12
-2,11,8
-2,8,11
-2,4,49
-2,7,4
-2,19,23
-2,18,3
-2,1,31
-2,6,2
-2,2,13
-2,12,3
-2,16,4
-2,15,2
-2,14,1
-2,10,3
-2,9,4
-1,19,32
-1,11,10
-1,17,10
-1,4,38
-1,3,15
-1,8,6
-1,5,12
-1,1,25
-1,7,3
-1,2,8
-1,18,5
-1,9,5
-1,12,2
-1,10,1
-1,16,1
0,3,10
0,1,44
0,6,9
0,7,12
0,4,48
0,11,20
0,8,11
0,13,3
0,2,28
0,19,32
0,5,11
0,17,12
0,16,5
0,9,13
0,12,5
0,10,4
0,18,3
1,4,58
1,19,98
1,1,93
1,3,34
1,8,10
1,9,20
1,17,24
1,5,15
1,2,26
1,12,6
1,16,5
1,6,14
1,11,23
1,7,8
1,10,6
1,18,14
1,14,4
1,13,5
2,4,35
2,1,43
2,2,16
2,9,9
2,6,3
2,19,56
2,5,12
2,13,3
2,12,2
2,17,17
2,7,6
2,11,8
2,16,1
2,8,9
2,3,14
2,10,5
2,18,1
3,19,50
3,5,36
3,11,22
3,7,6
3,1,51
3,4,66
3,2,19
3,3,30
3,10,4
3,17,21
3,9,4
3,8,16
3,13,7
3,14,1
3,12,4
3,18,4
3,6,3
3,16,3
3,20,1
4,4,62
4,1,44
4,2,26
4,19,41
4,5,19
4,8,9
4,12,11
4,3,27
4,7,8
4,17,10
4,11,16
4,6,3
4,18,10
4,14,7
4,9,9
