day,word,count,tfidf
-1,able gun,1,0.006275721327222286
-1,able gun crack,1,0.006275721327222286
-1,accommodation,1,0.006056602320947992
-1,accommodation sign,1,0.006056602320947992
-1,accommodation sign legislation,1,0.006056602320947992
-1,accomplish,1,0.006056602320947992
-1,accomplish key,1,0.006056602320947992
-1,accomplish key legislative,1,0.006056602320947992
-1,accord,1,0.008065891762112967
-1,accord survey,1,0.008065891762112967
-1,accord survey gun,1,0.008065891762112967
-1,accuse,1,0.010433245908201662
-1,accuse subway,1,0.010433245908201662
-1,accuse subway shooter,1,0.010433245908201662
-1,actually,1,0.008065891762112967
-1,actually important,1,0.008065891762112967
-1,actually important electorate,1,0.008065891762112967
-1,adams,1,0.01360528718791649
-1,adams blast,1,0.01360528718791649
-1,adams blast gun,1,0.01360528718791649
-1,administration,1,0.018202486496758274
-1,administration appointment,1,0.018202486496758274
-1,administration appointment karine,1,0.018202486496758274
-1,adoptive,1,0.013221867562061002
-1,adoptive parent,1,0.013221867562061002
-1,adoptive parent tell,1,0.013221867562061002
-1,advocate,1,0.01360528718791649
-1,advocate friday,1,0.01360528718791649
-1,advocate friday argument,1,0.01360528718791649
-1,agency,1,0.006275721327222286
-1,agency safe,1,0.006275721327222286
-1,amid,2,0.021398888473754304
-1,biden,2,0.023090306567915914
-1,birth mother,1,0.013221867562061002
-1,birth mother rape,1,0.013221867562061002
-1,black,1,0.006275721327222286
-1,black rock,1,0.006275721327222286
-1,black rock neighborhood,1,0.006275721327222286
-1,blast,1,0.01360528718791649
-1,blast gun,1,0.01360528718791649
-1,blast gun right,1,0.01360528718791649
-1,bomberger,1,0.013221867562061002
-1,bomberger year,1,0.013221867562061002
-1,bomberger year old,1,0.013221867562061002
-1,brag,1,0.01324426682474208
-1,brag sunday,1,0.01324426682474208
-1,brag sunday pass,1,0.01324426682474208
-1,bring,1,0.011529191560690771
-1,bring kind,1,0.011529191560690771
-1,bring kind gentle,1,0.011529191560690771
-1,bronx,1,0.012208313697458386
-1,bronx gunman,1,0.012208313697458386
-1,bronx gunman want,1,0.012208313697458386
-1,brooklyn,2,0.017130590099500867
-1,brooklyn federal,2,0.017130590099500867
-1,brooklyn federal court,2,0.017130590099500867
-1,buffalo,5,0.04005041573639734
-1,buffalo field,1,0.006275721327222286
-1,buffalo field office,1,0.006275721327222286
-1,buffalo new,2,0.027835436433133593
-1,buffalo new york,2,0.027835436433133593
-1,buffalo operation,1,0.006275721327222286
-1,buffalo operation joint,1,0.006275721327222286
-1,buffalo police,1,0.006275721327222286
-1,buffalo police department,1,0.006275721327222286
-1,bureau,1,0.006275721327222286
-1,bureau investigation,1,0.006275721327222286
-1,bureau investigation buffalo,1,0.006275721327222286
-1,burnout,1,0.012969158703960662
-1,burnout workforce,1,0.012969158703960662
-1,burnout workforce challenge,1,0.012969158703960662
-1,bust,1,0.011375000395643417
-1,bust people,1,0.011375000395643417
-1,bust people gun,1,0.011375000395643417
-1,call,1,0.011529191560690771
-1,challenge,1,0.012969158703960662
-1,charge,5,0.03793106303172774
-1,charge brooklyn,1,0.009055140666822446
-1,charge brooklyn federal,1,0.009055140666822446
-1,charge face,1,0.012285502572646911
-1,charge month,1,0.009055140666822446
-1,charge month mass,1,0.009055140666822446
-1,charge new,1,0.011375000395643417
-1,charge new nypd,1,0.011375000395643417
-1,charge terrorism,1,0.010433245908201662
-1,charge terrorism use,1,0.010433245908201662
-1,check,1,0.008065891762112967
-1,check anti,1,0.008065891762112967
-1,check anti gun,1,0.008065891762112967
-1,chilling,1,0.015399560226290724
-1,chilling phrase,1,0.015399560226290724
-1,chilling phrase second,1,0.015399560226290724
-1,church,1,0.016663885462360563
-1,church synagogue,1,0.016663885462360563
-1,church synagogue grocery,1,0.016663885462360563
-1,city,2,0.01875875205921615
-1,city subway,1,0.012285502572646911
-1,city subway leave,1,0.012285502572646911
-1,city transit,1,0.009055140666822446
-1,city transit system,1,0.009055140666822446
-1,conceive,1,0.013221867562061002
-1,conceive birth,1,0.013221867562061002
-1,conceive birth mother,1,0.013221867562061002
-1,concern,1,0.008065891762112967
-1,concern crime,1,0.008065891762112967
-1,concern crime public,1,0.008065891762112967
-1,control,3,0.02582199790286374
-1,control actually,1,0.008065891762112967
-1,control actually important,1,0.008065891762112967
-1,control law,1,0.01324426682474208
-1,control law nation,1,0.01324426682474208
-1,control november,1,0.008065891762112967
-1,control november new,1,0.008065891762112967
-1,cop,1,0.011529191560690771
-1,cop respond,1,0.011529191560690771
-1,cop respond rape,1,0.011529191560690771
-1,county,1,0.006275721327222286
-1,county sheriff,1,0.006275721327222286
-1,county sheriff deputy,1,0.006275721327222286
-1,court,2,0.017130590099500867
-1,court friday,1,0.009055140666822446
-1,crack,1,0.006275721327222286
-1,crack fentanyl,1,0.006275721327222286
-1,crack fentanyl street,1,0.006275721327222286
-1,crime,3,0.023695428436883742
-1,crime friday,1,0.010433245908201662
-1,crime friday arraignment,1,0.010433245908201662
-1,crime gun,1,0.011375000395643417
-1,crime gun flood,1,0.011375000395643417
-1,crime public,1,0.008065891762112967
-1,crime public safety,1,0.008065891762112967
-1,cuomo,1,0.01324426682474208
-1,cuomo brag,1,0.01324426682474208
-1,cuomo brag sunday,1,0.01324426682474208
-1,data,1,0.011375000395643417
-1,data show,1,0.011375000395643417
-1,day,1,0.017121744693361012
-1,day year,1,0.017121744693361012
-1,day year statute,1,0.017121744693361012
-1,democratic,1,0.017121744693361012
-1,democratic align,1,0.017121744693361012
-1,democratic align attorney,1,0.017121744693361012
-1,democrats,1,0.008065891762112967
-1,democrats joe,1,0.008065891762112967
-1,democrats joe biden,1,0.008065891762112967
-1,department,1,0.006275721327222286
-1,department federal,1,0.006275721327222286
-1,department federal bureau,1,0.006275721327222286
-1,deputy,1,0.006275721327222286
-1,deputy raid,1,0.006275721327222286
-1,deputy raid home,1,0.006275721327222286
-1,detective,1,0.011529191560690771
-1,detective squad,1,0.011529191560690771
-1,detective squad review,1,0.011529191560690771
-1,disappearance,1,0.015399560226290724
-1,disappearance trigger,1,0.015399560226290724
-1,disappearance trigger police,1,0.015399560226290724
-1,discrimination,2,0.012113204641895983
-1,discrimination legislation,1,0.006056602320947992
-1,discrimination legislation expand,1,0.006056602320947992
-1,discrimination previously,1,0.006056602320947992
-1,discrimination previously guarantee,1,0.006056602320947992
-1,division,1,0.011529191560690771
-1,division vow,1,0.011529191560690771
-1,division vow bring,1,0.011529191560690771
-1,domestic,2,0.012113204641895983
-1,domestic violence,2,0.012113204641895983
-1,domestic violence area,1,0.006056602320947992
-1,domestic violence discrimination,1,0.006056602320947992
-1,dozen,1,0.012285502572646911
-1,dozen injure,1,0.012285502572646911
-1,dozen injure plead,1,0.012285502572646911
-1,drive,1,0.012208313697458386
-1,drive shooting,1,0.012208313697458386
-1,drive shooting arrest,1,0.012208313697458386
-1,dumb,1,0.01360528718791649
-1,effort,1,0.006275721327222286
-1,effort buffalo,1,0.006275721327222286
-1,effort buffalo police,1,0.006275721327222286
-1,electorate,1,0.008065891762112967
-1,electorate year,1,0.008065891762112967
-1,electorate year ago,1,0.008065891762112967
-1,elementary,1,0.012746038613832653
-1,elementary school,1,0.012746038613832653
-1,elementary school shooting,1,0.012746038613832653
