day,word,count,tfidf
37,accord social medium,1,0.08980265101338744
37,action,1,0.013094570021973069
37,action fire,1,0.013094570021973069
37,action fire weather,1,0.013094570021973069
37,affect,1,0.013094570021973069
37,affect area,1,0.013094570021973069
37,affect area fire,1,0.013094570021973069
37,afternoon,6,0.0785674201318384
37,afternoon affect,1,0.013094570021973069
37,afternoon affect area,1,0.013094570021973069
37,afternoon fire,1,0.013094570021973069
37,afternoon fire weather,1,0.013094570021973069
37,afternoon second,1,0.013094570021973069
37,afternoon second fire,1,0.013094570021973069
37,afternoon wind,3,0.0392837100659192
37,afternoon wind low,2,0.026189140043946138
37,afternoon wind northwest,1,0.013094570021973069
37,area,3,0.0392837100659192
37,area concern,1,0.013094570021973069
37,area concern grow,1,0.013094570021973069
37,area fire,1,0.013094570021973069
37,area fire weather,1,0.013094570021973069
37,area west,1,0.013094570021973069
37,area west ks,1,0.013094570021973069
37,argentine,1,0.08980265101338744
37,argentine boulevard,1,0.08980265101338744
37,argentine boulevard shawnee,1,0.08980265101338744
37,avenue,1,0.08980265101338744
37,avenue accord,1,0.08980265101338744
37,avenue accord social,1,0.08980265101338744
37,behavior,1,0.013094570021973069
37,behavior fire,1,0.013094570021973069
37,condition,5,0.06547285010986534
37,control precautionary preparedness,1,0.013094570021973069
37,create,1,0.013094570021973069
37,create critical,1,0.013094570021973069
37,create critical fire,1,0.013094570021973069
37,critical,5,0.06547285010986534
37,critical condition,1,0.013094570021973069
37,critical condition thursday,1,0.013094570021973069
37,critical fire,4,0.052378280087892276
37,critical fire weather,4,0.052378280087892276
37,cst,2,0.026189140043946138
37,cst bulletin,1,0.013094570021973069
37,cst bulletin critical,1,0.013094570021973069
37,cst fri,1,0.013094570021973069
37,cst fri pm,1,0.013094570021973069
37,department,1,0.08980265101338744
37,develop,1,0.013094570021973069
37,develop rapidly,1,0.013094570021973069
37,develop rapidly grow,1,0.013094570021973069
37,eastern,1,0.013094570021973069
37,eastern colorado,1,0.013094570021973069
37,eastern colorado hit,1,0.013094570021973069
37,effect,3,0.0392837100659192
37,effect late,1,0.013094570021973069
37,effect late thursday,1,0.013094570021973069
37,effect thursday,2,0.026189140043946138
37,effect thursday morning,2,0.026189140043946138
37,expect,1,0.013094570021973069
37,expect thursday,1,0.013094570021973069
37,expect thursday friday,1,0.013094570021973069
37,fire behavior,1,0.013094570021973069
37,fire behavior fire,1,0.013094570021973069
37,fire department,1,0.08980265101338744
37,fire develop,1,0.013094570021973069
37,fire develop rapidly,1,0.013094570021973069
37,fire report,1,0.08980265101338744
37,fire report thursday,1,0.08980265101338744
37,fire weather,15,0.19641855032959604
37,fire weather condition,4,0.052378280087892276
37,fire weather watch,8,0.10475656017578455
37,fire weather zone,3,0.0392837100659192
37,flag,1,0.013094570021973069
37,flag warning,1,0.013094570021973069
37,forecast,2,0.026189140043946138
37,forecast occur,1,0.013094570021973069
37,forecast occur listen,1,0.013094570021973069
37,forecast possible,1,0.013094570021973069
37,forecast possible red,1,0.013094570021973069
37,fri,2,0.026189140043946138
37,fri cst,1,0.013094570021973069
37,fri cst fri,1,0.013094570021973069
37,fri pm,1,0.013094570021973069
37,fri pm cst,1,0.013094570021973069
37,friday,6,0.0785674201318384
37,friday afternoon,3,0.0392837100659192
37,friday afternoon affect,1,0.013094570021973069
37,friday afternoon wind,2,0.026189140043946138
37,friday morning,1,0.013094570021973069
37,friday morning friday,1,0.013094570021973069
37,friday strong,1,0.013094570021973069
37,friday strong wind,1,0.013094570021973069
37,friday widespread,1,0.013094570021973069
37,friday widespread critical,1,0.013094570021973069
37,gfdi,2,0.026189140043946138
37,gfdi value,2,0.026189140043946138
37,gfdi value fire,1,0.013094570021973069
37,gfdi value largely,1,0.013094570021973069
37,goodland,1,0.013094570021973069
37,goodland issue,1,0.013094570021973069
37,goodland issue fire,1,0.013094570021973069
37,greeley,1,0.013094570021973069
37,greeley wichita,1,0.013094570021973069
37,greeley wichita yuma,1,0.013094570021973069
37,grow,2,0.026189140043946138
37,grow hour,1,0.013094570021973069
37,grow hour friday,1,0.013094570021973069
37,grow spread,1,0.013094570021973069
37,grow spread control,1,0.013094570021973069
37,gust,2,0.026189140043946138
37,gust mph,2,0.026189140043946138
37,gust mph relative,1,0.013094570021973069
37,gust mph thursday,1,0.013094570021973069
37,headline,1,0.013094570021973069
37,headline fire,1,0.013094570021973069
37,headline fire weather,1,0.013094570021973069
37,hit,1,0.013094570021973069
37,hit gfdi,1,0.013094570021973069
37,hit gfdi value,1,0.013094570021973069
37,hour,1,0.013094570021973069
37,hour friday,1,0.013094570021973069
37,hour friday widespread,1,0.013094570021973069
37,humidity,5,0.06547285010986534
37,humidity effect,1,0.013094570021973069
37,humidity effect thursday,1,0.013094570021973069
37,humidity fire,2,0.026189140043946138
37,humidity fire weather,2,0.026189140043946138
37,humidity low,1,0.013094570021973069
37,humidity low percent,1,0.013094570021973069
37,humidity value,1,0.013094570021973069
37,humidity value mid,1,0.013094570021973069
37,impact,1,0.013094570021973069
37,impact unpredictable,1,0.013094570021973069
37,impact unpredictable fire,1,0.013094570021973069
37,issue,2,0.026189140043946138
37,issue fire,1,0.013094570021973069
37,issue fire weather,1,0.013094570021973069
37,issue friday,1,0.013094570021973069
37,issue friday morning,1,0.013094570021973069
37,kansas,2,0.17960530202677488
37,kansas city,1,0.08980265101338744
37,kansas city kansas,1,0.08980265101338744
37,kansas fire,1,0.08980265101338744
37,kansas fire department,1,0.08980265101338744
37,ks,1,0.013094570021973069
37,ks critical,1,0.013094570021973069
37,ks critical condition,1,0.013094570021973069
37,largely,1,0.013094570021973069
37,largely eastern,1,0.013094570021973069
37,largely eastern colorado,1,0.013094570021973069
37,late,2,0.026189140043946138
37,late thursday,2,0.026189140043946138
37,late thursday night,2,0.026189140043946138
37,later,1,0.013094570021973069
37,later forecast,1,0.013094570021973069
37,later forecast possible,1,0.013094570021973069
37,likely,1,0.013094570021973069
37,likely represent,1,0.013094570021973069
37,likely represent gfdi,1,0.013094570021973069
37,listen,1,0.013094570021973069
37,listen later,1,0.013094570021973069
37,listen later forecast,1,0.013094570021973069
37,logan,1,0.013094570021973069
37,logan greeley,1,0.013094570021973069
37,logan greeley wichita,1,0.013094570021973069
37,low,4,0.052378280087892276
37,low percent,1,0.013094570021973069
37,low percent impact,1,0.013094570021973069
37,low relative,3,0.0392837100659192
37,low relative humidity,3,0.0392837100659192
37,mean,1,0.013094570021973069
37,mean critical,1,0.013094570021973069
37,mean critical fire,1,0.013094570021973069
37,medium,1,0.08980265101338744
37,medium post,1,0.08980265101338744
37,medium post kansas,1,0.08980265101338744
37,mid,1,0.013094570021973069
37,mid teen,1,0.013094570021973069
37,mid teen create,1,0.013094570021973069
37,morning,4,0.052378280087892276
37,morning friday,1,0.013094570021973069
37,morning friday afternoon,1,0.013094570021973069
37,morning thursday,3,0.0392837100659192
37,morning thursday afternoon,3,0.0392837100659192
37,mph,4,0.052378280087892276
37,mph gust,1,0.013094570021973069
37,mph gust mph,1,0.013094570021973069
37,mph relative,1,0.013094570021973069
37,mph relative humidity,1,0.013094570021973069
37,mph saturday,1,0.013094570021973069
37,mph saturday humidity,1,0.013094570021973069
37,mph thursday,1,0.013094570021973069
37,mph thursday mph,1,0.013094570021973069
37,national,1,0.013094570021973069
37,national weather,1,0.013094570021973069
37,national weather service,1,0.013094570021973069
37,night,2,0.026189140043946138
37,night friday,2,0.026189140043946138
37,night friday afternoon,2,0.026189140043946138
37,north,1,0.013094570021973069
37,north northwest,1,0.013094570021973069
37,north northwest gust,1,0.013094570021973069
37,northwest,2,0.026189140043946138
37,northwest gust,1,0.013094570021973069
37,northwest gust mph,1,0.013094570021973069
37,northwest mph,1,0.013094570021973069
37,northwest mph gust,1,0.013094570021973069
37,occur,1,0.013094570021973069
37,occur listen,1,0.013094570021973069
37,occur listen later,1,0.013094570021973069
37,percent,1,0.013094570021973069
37,percent impact,1,0.013094570021973069
37,percent impact unpredictable,1,0.013094570021973069
37,pm,1,0.013094570021973069
37,pm cst,1,0.013094570021973069
37,pm cst bulletin,1,0.013094570021973069
37,possible,1,0.013094570021973069
37,possible red,1,0.013094570021973069
37,possible red flag,1,0.013094570021973069
37,post,1,0.08980265101338744
37,post kansas,1,0.08980265101338744
37,post kansas city,1,0.08980265101338744
37,precautionary,1,0.013094570021973069
37,precautionary preparedness,1,0.013094570021973069
37,precautionary preparedness action,1,0.013094570021973069
37,preparedness,1,0.013094570021973069
37,preparedness action,1,0.013094570021973069
37,preparedness action fire,1,0.013094570021973069
37,rapidly,1,0.013094570021973069
37,rapidly grow,1,0.013094570021973069
37,rapidly grow spread,1,0.013094570021973069
37,red,1,0.013094570021973069
37,red flag,1,0.013094570021973069
37,red flag warning,1,0.013094570021973069
37,relative,4,0.052378280087892276
37,relative humidity,4,0.052378280087892276
37,relative humidity effect,1,0.013094570021973069
37,relative humidity fire,2,0.026189140043946138
37,relative humidity low,1,0.013094570021973069
37,report,1,0.08980265101338744
37,report thursday,1,0.08980265101338744
37,report thursday argentine,1,0.08980265101338744
37,represent,1,0.013094570021973069
37,represent gfdi,1,0.013094570021973069
37,represent gfdi value,1,0.013094570021973069
37,residential,1,0.08980265101338744
37,residential fire,1,0.08980265101338744
37,residential fire report,1,0.08980265101338744
37,saturday,1,0.013094570021973069
37,saturday humidity,1,0.013094570021973069
37,saturday humidity value,1,0.013094570021973069
37,second,1,0.013094570021973069
37,second fire,1,0.013094570021973069
37,second fire weather,1,0.013094570021973069
37,service,1,0.013094570021973069
37,service goodland,1,0.013094570021973069
37,thursday afternoon,3,0.0392837100659192
37,thursday area concern,1,0.013094570021973069
37,thursday morning,3,0.0392837100659192
37,thursday morning thursday,3,0.0392837100659192
37,thursday night,2,0.026189140043946138
37,thursday night friday,2,0.026189140043946138
37,value,3,0.0392837100659192
37,watch,8,0.10475656017578455
37,watch effect,2,0.026189140043946138
37,watch wind low,1,0.013094570021973069
37,weather,16,0.2095131203515691
37,weather condition,4,0.052378280087892276
37,weather condition area,1,0.013094570021973069
37,weather condition expect,1,0.013094570021973069
37,weather condition forecast,1,0.013094570021973069
37,weather condition likely,1,0.013094570021973069
37,weather service,1,0.013094570021973069
37,weather service goodland,1,0.013094570021973069
37,weather watch,8,0.10475656017578455
37,weather watch effect,2,0.026189140043946138
37,weather watch fri,1,0.013094570021973069
37,weather watch issue,1,0.013094570021973069
37,weather watch late,1,0.013094570021973069
37,weather watch mean,1,0.013094570021973069
37,weather watch thursday,1,0.013094570021973069
37,weather watch wind,1,0.013094570021973069
37,weather zone,3,0.0392837100659192
37,weather zone cheyenne,1,0.013094570021973069
