day,word,count,tfidf
11,accord state,1,0.009849547256811409
11,accord state health,1,0.009849547256811409
11,action,1,0.012562911915125513
11,action jury,1,0.012562911915125513
11,action jury tell,1,0.012562911915125513
11,activity,1,0.01862420223192341
11,activity enjoy,1,0.01862420223192341
11,activity enjoy praise,1,0.01862420223192341
11,afternoon,1,0.010583817138047983
11,afternoon quickly,1,0.010583817138047983
11,afternoon quickly hurricane,1,0.010583817138047983
11,age,1,0.007954442404559678
11,age thursday,1,0.007954442404559678
11,age thursday month,1,0.007954442404559678
11,agent,1,0.0013657031651203694
11,agent doug,1,0.0013657031651203694
11,agent doug melon,1,0.0013657031651203694
11,alert,1,0.009842400037793226
11,alert stranger,1,0.009842400037793226
11,alert stranger walk,1,0.009842400037793226
11,angeles,1,0.009842400037793226
11,angeles property,1,0.009842400037793226
11,angeles property law,1,0.009842400037793226
11,announce,1,0.008591834572911801
11,announce disaster,1,0.008591834572911801
11,announce disaster unemployment,1,0.008591834572911801
11,appear,1,0.006983832416790566
11,appear court,1,0.006983832416790566
11,appear court tampa,1,0.006983832416790566
11,area,1,0.0013657031651203694
11,area hit,1,0.0013657031651203694
11,arrest,4,0.030041309649917938
11,belize,3,0.022959087167670457
11,big,2,0.018289013591774164
11,boat,2,0.020812603527065765
11,bring,3,0.017820560584704975
11,case,2,0.010009873143994912
11,church,2,0.015908884809119356
11,church host,2,0.015908884809119356
11,coast,6,0.03030153452061115
11,come,2,0.012942492958594941
11,communicator chief follow,1,0.007929755456696759
11,community,1,0.010876293888332516
11,community come,1,0.010876293888332516
11,community come face,1,0.010876293888332516
11,company,2,0.012657537815274043
11,company base,1,0.012816040627360383
11,company base san,1,0.012816040627360383
11,company go,1,0.0013657031651203694
11,company go pay,1,0.0013657031651203694
11,compassionate,1,0.003624719014294609
11,compassionate help,1,0.003624719014294609
11,compassionate help pete,1,0.003624719014294609
11,concern,1,0.0013657031651203694
11,concern insurance,1,0.0013657031651203694
11,concern insurance agent,1,0.0013657031651203694
11,concrete,1,0.0013657031651203694
11,concrete floor,1,0.0013657031651203694
11,concrete floor furniture,1,0.0013657031651203694
11,conference,1,0.007929755456696759
11,conference visit,1,0.007929755456696759
11,conference visit disaster,1,0.007929755456696759
11,confirm,2,0.017114414350818643
11,confirm case,1,0.009849547256811409
11,confirm case flesh,1,0.009849547256811409
11,confirm humorous,1,0.009325764958237339
11,confirm humorous fabrication,1,0.009325764958237339
11,congress,1,0.0074062374658080375
11,congress cover,1,0.0074062374658080375
11,congress cover cost,1,0.0074062374658080375
11,continue,3,0.013964676992953088
11,continue cause,1,0.0013657031651203694
11,continue cause concern,1,0.0013657031651203694
11,continue impact,1,0.008056842266160606
11,continue impact region,1,0.008056842266160606
11,continue southeastern,1,0.007685421133525963
11,continue southeastern united,1,0.007685421133525963
11,cook,1,0.003624719014294609
11,cook fema,1,0.003624719014294609
11,cook fema official,1,0.003624719014294609
11,cost,1,0.0074062374658080375
11,cost associate,1,0.0074062374658080375
11,cost associate clean,1,0.0074062374658080375
11,court,1,0.006983832416790566
11,court tampa,1,0.006983832416790566
11,court tampa police,1,0.006983832416790566
11,cover,1,0.0074062374658080375
11,cover cost,1,0.0074062374658080375
11,cover cost associate,1,0.0074062374658080375
11,crew,1,0.010074603693838701
11,crew way,1,0.010074603693838701
11,crew way home,1,0.010074603693838701
11,cuba,3,0.02020509724584527
11,cuba bring,1,0.006116056115869792
11,cuba bring strong,1,0.006116056115869792
11,cuba northern,1,0.006116056115869792
11,cuba northern coast,1,0.006116056115869792
11,damage,1,0.015820455021762814
11,damage estimate,1,0.015820455021762814
11,damage estimate hurricane,1,0.015820455021762814
11,dan,3,0.023216391881538866
11,dan legged,1,0.011403449115704537
11,dan legged sailor,1,0.011403449115704537
11,dan man,1,0.007662893171255033
11,dan man gain,1,0.007662893171255033
11,day,3,0.024327161044513938
11,decade,1,0.010876293888332516
11,despite,2,0.02363385535179281
11,devastate,3,0.010874157042883826
11,disaster,4,0.019403517499620673
11,early,6,0.037653088003184905
11,early saturday,2,0.013788928162219277
11,eastern,2,0.014026638040609314
11,effort,2,0.01585123727674191
11,election,2,0.018289013591774164
11,employment,2,0.017183669145823602
11,expect,3,0.004097109495361108
11,face,2,0.02175258777666503
11,fame,4,0.027209264279057007
11,far,2,0.0104260664846589
11,fear,2,0.002731406330240739
11,federal,2,0.002731406330240739
11,federal government,2,0.002731406330240739
11,fema,2,0.004454068439991043
11,find,2,0.009587037917030859
11,fla,2,0.01666023245767177
11,flood,6,0.008194218990722216
11,flood insurance,4,0.005462812660481478
11,flood insurance rate,3,0.004097109495361108
11,flooding,3,0.00567299043646061
11,florida,12,0.04467310730872833
11,florida resident,2,0.002731406330240739
11,follow,6,0.033100852992188616
11,follow hurricane,4,0.02027284098167374
11,follow hurricane helene,3,0.013633051608713252
11,foot,3,0.01960880243487971
11,foot sailboat,3,0.01960880243487971
11,foot sailboat arrest,2,0.014601349590875695
11,form,2,0.013788928162219277
11,form early,2,0.013788928162219277
11,form early saturday,2,0.013788928162219277
11,fort,3,0.004097109495361108
11,fort myers,2,0.002731406330240739
11,fund,2,0.007249438028589218
11,gain,3,0.021681786554557825
11,gain internet,2,0.013072544936182307
11,gain internet fame,2,0.013072544936182307
11,go,10,0.019489291896208724
11,go pay,2,0.002731406330240739
11,government,3,0.009048084042690186
11,group,2,0.013709765820941237
11,gulf,2,0.002731406330240739
11,gulf coast,2,0.002731406330240739
11,happen,3,0.01760445623273147
11,heavy,2,0.012294441038031187
11,heavy rain,2,0.012294441038031187
11,helene,11,0.035973580969472264
11,helene milton,8,0.029356801344268664
11,help,2,0.007249438028589218
11,high,5,0.006828515825601846
11,home,4,0.018857881368172697
11,host,3,0.029509443690879884
11,hurricane,28,0.0796952112925181
11,hurricane helene,11,0.035973580969472264
11,hurricane helene milton,8,0.029356801344268664
11,hurricane milton,8,0.045627432546800115
11,hurricane milton foot,2,0.015207427186429198
11,impact,4,0.03329952279559721
11,information,2,0.016385534236261906
11,insurance,9,0.012291328486083324
11,insurance rate,4,0.005462812660481478
11,internet,2,0.013072544936182307
11,internet fame,2,0.013072544936182307
11,island,2,0.012232112231739584
11,know,2,0.002731406330240739
11,landfall,5,0.03480425138789723
11,law,2,0.010003494083963898
11,lead,2,0.007829162046220618
11,lieutenant,3,0.023216391881538866
11,lieutenant dan,3,0.023216391881538866
11,line,2,0.002731406330240739
11,live,4,0.006891912432930176
11,lose,2,0.008887335176157012
11,man,3,0.018939851475899633
11,man gain,2,0.017474069915837998
11,mcconnell,2,0.002731406330240739
11,milton,16,0.05583062046265379
11,milton foot,3,0.01960880243487971
11,milton foot sailboat,3,0.01960880243487971
11,month,2,0.008318447767659751
11,morning,2,0.016399514341914473
11,move,2,0.020726266987531154
11,multiple,2,0.021543625818813916
11,myers,2,0.002731406330240739
11,nadine,4,0.02567562333234115
11,near,3,0.015860591400995924
11,north,3,0.011884148172106222
11,north fort,2,0.002731406330240739
11,north fort myers,2,0.002731406330240739
11,oscar,3,0.019845603905308592
11,page,2,0.018651529916474677
11,pay,4,0.005462812660481478
11,people,4,0.01564961586981169
11,people live,2,0.002731406330240739
11,pete,2,0.007249438028589218
11,pete stauber,2,0.007249438028589218
11,pete stauber vote,2,0.007249438028589218
11,potentially,2,0.002731406330240739
11,press,2,0.015859510913393517
11,program,2,0.002731406330240739
11,property,2,0.010003494083963898
11,rain,3,0.017820560584704975
11,raise,2,0.002731406330240739
11,raise rate,2,0.002731406330240739
11,rate,7,0.009559922155842584
11,recent,2,0.020229566966329823
11,recovery,2,0.015602059327735375
11,reduce,2,0.002731406330240739
11,region,2,0.014050338039895013
11,relief,3,0.013329710885800542
11,resident,3,0.01010625717262658
11,ride,3,0.021681786554557825
11,ride hurricane,3,0.021681786554557825
11,risk,5,0.006828515825601846
11,sailboat,3,0.01960880243487971
11,sailboat arrest,2,0.014601349590875695
11,saturday,5,0.03560205094670539
11,saturday morning,2,0.016399514341914473
11,say,4,0.02393982771736882
11,see,2,0.010009873143994912
11,show,2,0.004454068439991043
11,southeast,2,0.002731406330240739
11,southeast florida,2,0.002731406330240739
11,southeastern,3,0.014224437551733554
11,southeastern united,2,0.010094564442279064
11,southeastern united states,2,0.010094564442279064
11,star,2,0.01854596079765696
11,state,4,0.02408337164475062
11,states,2,0.010094564442279064
11,stauber,2,0.007249438028589218
11,stauber vote,2,0.007249438028589218
