day,word,count,tfidf
-7,able,3,0.0028798861380924428
-7,accept,4,0.003839848184123257
-7,accept application,2,0.0019199240920616284
-7,accord,2,0.02364365089330822
-7,accuse,4,0.003839848184123257
-7,accuse groom,2,0.0019199240920616284
-7,accuse groom child,2,0.0019199240920616284
-7,accuse social,2,0.0019199240920616284
-7,activist,3,0.0028798861380924428
-7,add,4,0.003839848184123257
-7,alabama,2,0.05983141107821337
-7,american,2,0.0019199240920616284
-7,americans,4,0.003839848184123257
-7,anti,10,0.009599620460308142
-7,anti tr,9,0.008639658414277327
-7,anti tr ns,9,0.008639658414277327
-7,application,3,0.0028798861380924428
-7,apply,6,0.0057597722761848855
-7,apply asylum,4,0.003839848184123257
-7,area,2,0.026536259357692823
-7,ask,2,0.0019199240920616284
-7,asylum,21,0.0201592029666471
-7,asylum hope,2,0.0019199240920616284
-7,asylum hope apply,2,0.0019199240920616284
-7,asylum seeker,3,0.0028798861380924428
-7,attack,2,0.0019199240920616284
-7,attitude,2,0.0019199240920616284
-7,attitude increase,2,0.0019199240920616284
-7,bad,7,0.0067197343222157
-7,bad go,2,0.0019199240920616284
-7,bad go country,2,0.0019199240920616284
-7,bad increase,2,0.0019199240920616284
-7,bad increase anti,2,0.0019199240920616284
-7,base,3,0.0028798861380924428
-7,begin,3,0.027211937242059173
-7,bill,3,0.0028798861380924428
-7,black,2,0.03389337735034013
-7,brown,2,0.02364365089330822
-7,california,6,0.117431298296813
-7,case,4,0.003839848184123257
-7,child,4,0.06125213342373856
-7,child accuse,2,0.0019199240920616284
-7,child accuse social,2,0.0019199240920616284
-7,citizen,3,0.0028798861380924428
-7,city,3,0.07254291440509722
-7,claim,4,0.003839848184123257
-7,claim asylum,4,0.003839848184123257
-7,client,3,0.0028798861380924428
-7,come,9,0.07453161992017113
-7,come tr,2,0.0019199240920616284
-7,come tr ns,2,0.0019199240920616284
-7,community,2,0.0019199240920616284
-7,concern,2,0.0019199240920616284
-7,condition,2,0.022006490998950013
-7,consider,5,0.004799810230154071
-7,consider leave,2,0.0019199240920616284
-7,contagion,2,0.0019199240920616284
-7,controversial,2,0.055895947024021744
-7,country,19,0.01823927887458547
-7,country right,2,0.0019199240920616284
-7,country right regularly,2,0.0019199240920616284
-7,country willgohs,2,0.0019199240920616284
-7,county,2,0.048522757948022764
-7,county sheriff,2,0.048522757948022764
-7,county sheriff department,2,0.048522757948022764
-7,crystal,7,0.0067197343222157
-7,crystal say,3,0.0028798861380924428
-7,currently,3,0.0028798861380924428
-7,dakota,4,0.003839848184123257
-7,didn,4,0.003839848184123257
-7,doesn,4,0.003839848184123257
-7,don,3,0.0028798861380924428
-7,europe,3,0.0028798861380924428
-7,european,5,0.004799810230154071
-7,experience,3,0.0028798861380924428
-7,fargo,3,0.0028798861380924428
-7,feel,7,0.0067197343222157
-7,feel safe,3,0.0028798861380924428
-7,flee,7,0.0067197343222157
-7,fund,3,0.0028798861380924428
-7,future,3,0.0028798861380924428
-7,gender,5,0.004799810230154071
-7,generally,3,0.0028798861380924428
-7,go,5,0.004799810230154071
-7,government,3,0.0028798861380924428
-7,groom,2,0.0019199240920616284
-7,groom child,2,0.0019199240920616284
-7,groom child accuse,2,0.0019199240920616284
-7,group,7,0.0067197343222157
-7,guideline,5,0.004799810230154071
-7,help,7,0.0067197343222157
-7,help people,2,0.0019199240920616284
-7,help tr,3,0.0028798861380924428
-7,help tr ns,3,0.0028798861380924428
-7,high,3,0.0028798861380924428
-7,hope,5,0.004799810230154071
-7,hope apply,2,0.0019199240920616284
-7,hope apply asylum,2,0.0019199240920616284
-7,hostile,2,0.0019199240920616284
-7,human,4,0.003839848184123257
-7,human right,4,0.003839848184123257
-7,iceland,5,0.004799810230154071
-7,include,11,0.058195818884553885
-7,include tr,2,0.0019199240920616284
-7,include tr ns,2,0.0019199240920616284
-7,increase,4,0.003839848184123257
-7,increase anti,2,0.0019199240920616284
-7,increase anti tr,2,0.0019199240920616284
-7,increasingly,2,0.0019199240920616284
-7,inspire,3,0.0028798861380924428
-7,kill,4,0.09321834194565755
-7,know,7,0.0067197343222157
-7,know thing,2,0.0019199240920616284
