SOURCEURL,Actor1Code,Actor1Name,Actor1EthnicCode,Actor2Code,Actor2Name,EventCode,EventRootCode,EventBaseCode,GoldsteinScale,AvgTone
http://africa.chinadaily.com.cn/a/202501/08/WS677dd69ca310f1265a1d9984.html,['USA'],['THE US'],[nan],[nan],[nan],[130],[13],[130],[-4.4],[-3.12109862671661]
http://breakingdefense.com/2024/12/defense-industry-could-see-big-shakeup-under-trump-2025-preview/,['CAN'],['CANADA'],[nan],['BUS'],['BUSINESS'],[51],[5],[51],[3.4],[-1.07212475633528]
http://en.people.cn/n3/2025/0102/c90000-20261399.html,['CHN'],['CHINA'],[nan],['USA'],['CALIFORNIA'],[173],[17],[173],[-5.0],[0.495049504950495]
http://indiablooms.com/life/siri-spying-lawsuit-tech-giant-apple-agrees-to-pay-usd-95-million/details,"['JUD', 'USAJUD']","['JUDGE', 'UNITED STATES']","[nan, nan]","[nan, nan]","[nan, nan]","[20, 20]","[2, 2]","[20, 20]","[3.0, 3.0]","[-2.77237722048338, -1.23456790123456]"
"http://newtoncountytimes.com/stories/carpenter-media-group-acquires-pmg-titles,161347","[nan, 'USA', 'USA']","[nan, 'AMERICAN', 'UNITED STATES']","[nan, nan, nan]","['USA', 'CVLMED', 'MED']","['AMERICAN', 'COMMUNITY', 'MEDIA']","[60, 60, 30]","[6, 6, 3]","[60, 60, 30]","[6.0, 6.0, 4.0]","[3.90625, 3.90625, 3.90625]"
http://slguardian.org/elon-musk-urges-auction-of-openai-stake-amid-legal-disputes/,"['USA', 'BUS', 'USA', 'USA']","['UNITED STATES', 'COMPANY', 'UNITED STATES', 'UNITED STATES']","[nan, nan, nan, nan]","['MNCUSA', 'USA', 'BUS', 'BUS']","['MICROSOFT', 'UNITED STATES', 'COMPANY', 'COMPANY']","[111, 190, 190, 190]","[11, 19, 19, 19]","[111, 190, 190, 190]","[-2.0, -10.0, -10.0, -10.0]","[0.418410041841, 0.418410041841, 0.418410041841, 0.418410041841]"
http://slguardian.org/fascist-with-a-capital-f/,"['USA', 'CAN']","['UNITED STATES', 'CANADA']","[nan, nan]","['CAN', 'USA']","['CANADA', 'UNITED STATES']","[40, 40]","[4, 4]","[40, 40]","[1.0, 1.0]","[-5.08474576271186, -5.08474576271186]"
http://slguardian.org/hail-the-new-king/,"['FRA', 'FRA']","['FRENCH', 'FRANCE']","[nan, nan]","['USA', 'USA']","['AMERICAN', 'AMERICAN']","[10, 13]","[1, 1]","[10, 13]","[0.0, 0.4]","[-2.69413629160063, -2.69413629160063]"
http://slguardian.org/self-inflicted-problem-by-europe-usa-and-canada/,"['USA', 'CAN']","['UNITED STATES', 'CANADA']","[nan, nan]","['CVL', 'CVL']","['POPULATION', 'POPULATION']","[112, 112]","[11, 11]","[112, 112]","[-2.0, -2.0]","[-7.39191073919107, -7.39191073919107]"
http://theeconomiccollapseblog.com/10-things-you-should-know-about-the-apocalyptic-hurricane-of-fire-that-is-rampaging-through-southern-california/,['USA'],['UNITED STATES'],[nan],['GOV'],['FIRE DEPARTMENT'],[71],[7],[71],[7.4],[-4.93441599000624]
http://thepeninsulaqatar.com/article/08/01/2025/canada-will-never-back-down-as-trump-threatens-economic-force,['CAN'],['CANADA'],[nan],['GOV'],['FOREIGN MINIST'],[80],[8],[80],[5.0],[-3.44666306889728]
http://www.bigcountry995.com/story/677ecb47ee2d6163a923488f/will-rogers-former-california-home-destroyed-in-wildfire-at-historic-state-park,['ELI'],['ACTOR'],[nan],['USA'],['CALIFORNIA'],[70],[7],[70],[7.0],[-3.52941176470589]
http://www.cbsnews.com/news/mexico-largest-fentanyl-seizure-history/,"[nan, 'USA', nan]","[nan, 'CALIFORNIA', nan]","[nan, nan, nan]","['MEX', 'MEX', 'MEXGOV']","['MEXICO', 'MEXICO', 'MEXICAN']","[173, 173, 80]","[17, 17, 8]","[173, 173, 80]","[-5.0, -5.0, 5.0]","[-5.3835800807537, -5.3835800807537, -5.3835800807537]"
http://www.cbsnews.com/news/pacific-palisades-fire-high-winds-southern-california/,"['EDU', 'USA']","['SCHOOL', 'LOS ANGELES']","[nan, nan]","[nan, 'USACVL']","[nan, 'LOS ANGELES']","[1721, 1712]","[17, 17]","[172, 171]","[-5.0, -9.2]","[-3.94431554524361, -3.86643090037511]"
http://www.china.org.cn/business/2025-01/03/content_117643356.htm,[nan],[nan],[nan],['BUS'],['INVESTOR'],[130],[13],[130],[-4.4],[1.68539325842696]
http://www.china.org.cn/world/2025-01/01/content_117639949.htm,['USA'],['UNITED STATES'],[nan],['MNCUSAMED'],['GOOGLE'],[51],[5],[51],[3.4],[3.48432055749129]
http://www.eastcountymagazine.org/grossmont-healthcare-district-board-rejects-pleas-move-meetings-evenings,['GOV'],['PRESIDENT'],[nan],[nan],[nan],[51],[5],[51],[3.4],[-0.13245033112583]
