day,Actor2Code_counts,count
-7,USA,17
-7,AGR,1
-7,BUS,5
-7,CHN,1
-7,COP,5
-7,MED,4
-7,USAEDU,4
-7,TCD,2
-7,GOV,5
-7,DNKGRL,1
-7,CVL,6
-7,UAF,1
-7,CRM,1
-7,JUD,3
-7,LAB,1
-7,MIL,2
-7,USAJUD,1
-6,LEG,1
-6,USA,26
-6,CHN,1
-6,CRM,2
-6,MED,4
-6,BUS,2
-6,GOV,7
-6,EDU,1
-6,JUD,3
-6,USAGOV,2
-6,USABUS,2
-6,COP,1
-6,CVL,1
-6,CAN,3
-6,EUR,1
-6,PSE,2
-6,ISR,3
-6,NMR,3
-6,MIL,1
-6,USALEG,1
-6,SLV,1
-6,GHAGOV,1
-5,MED,1
-5,BUS,2
-5,USA,17
-5,GBR,2
-5,GOV,6
-5,MIL,3
-5,CAN,4
-5,GHA,1
-5,MNCUSA,1
-5,USACOP,1
-5,USABUS,3
-5,MNCGBR,1
-5,CVL,6
-5,TUR,1
-5,CRM,1
-5,LAB,1
-5,VNM,1
-4,LEG,2
-4,USA,22
-4,GOV,2
-4,BUS,3
-4,MDV,1
-4,EDU,6
-4,USAGOV,1
-4,ELI,1
-4,MILMIL,1
-4,MIL,1
-4,JUD,3
-4,AFR,1
-4,CRM,4
-4,COP,1
-4,MED,3
-4,USALEG,1
-4,CVL,8
-4,HINLEG,1
-4,GBR,1
-4,USABUS,1
-4,MNCUSA,1
-4,NMR,1
-4,USAJUD,1
-3,MEX,1
-3,USAJUD,1
-3,CVL,5
-3,USAMED,2
-3,MED,3
-3,BUS,3
-3,USA,11
-3,MNCUSA,2
-3,GOV,4
-3,ELI,1
-3,AUS,1
-3,COPCVL,1
-3,HLH,2
-3,GHA,1
-3,COP,1
-3,EGY,1
-3,BOL,1
-2,BUS,8
-2,USAGOV,2
-2,GOV,8
-2,ELI,1
-2,USAELI,1
-2,USA,18
-2,CAN,5
-2,AFR,2
-2,LAB,1
-2,CVL,5
-2,RUS,1
-2,JUD,1
-2,MIL,4
-2,OPP,1
-2,CANMIL,1
-2,SLV,2
-2,MEX,4
-2,MDVELI,1
