day,Actor1Code_counts,count
-7,AGR,1
-7,USA,43
-7,CHN,1
-7,MNCUSAMED,1
-7,COP,3
-7,TCD,2
-7,USAEDU,3
-7,GOVEDU,1
-7,MED,4
-7,nai,8
-7,IRL,1
-7,GOV,4
-7,ELI,1
-7,USAGOV,2
-7,UAF,1
-7,USAMED,2
-7,MIL,2
-7,EDU,1
-7,BUS,1
-7,GOVHLH,3
-7,JUD,1
-7,CVL,2
-7,SET,1
-6,USA,35
-6,BUS,6
-6,CHN,3
-6,CRM,6
-6,GOV,8
-6,LEG,2
-6,USAEDU,1
-6,CHRCTH,1
-6,COP,4
-6,USAGOV,4
-6,USABUS,2
-6,EUR,2
-6,CAN,2
-6,ISR,3
-6,PSE,2
-6,HLHJUD,2
-6,MIL,1
-6,NMR,3
-6,USALEG,1
-6,SLV,1
-6,fan,1
-6,MNCUSA,1
-6,CVL,1
-5,IRQ,2
-5,USA,21
-5,BUS,9
-5,GOV,2
-5,GBR,3
-5,MIL,2
-5,CHN,1
-5,USABUS,1
-5,COP,2
-5,MNCUSA,1
-5,GHA,1
-5,LEG,1
-5,HLH,2
-5,USAHLH,2
-5,USAEDU,1
-5,CVL,3
-5,JUD,1
-5,TUR,1
-5,USAJUD,1
-5,USAGOV,1
-5,LAB,2
-5,VNM,1
-5,USACVL,1
-5,ELI,2
-4,USA,30
-4,LEG,2
-4,SEN,2
-4,COP,5
-4,JUD,5
-4,JUDJUD,2
-4,SLV,1
-4,USAGOV,3
-4,CVL,2
-4,USACOP,3
-4,GOV,3
-4,BOL,2
-4,USAEDU,2
-4,USAMED,5
-4,EDU,2
-4,USAJUD,2
-4,GBR,1
-4,MNCUSA,2
-4,MIL,1
-4,MED,2
-4,BUS,3
-4,MNCJPN,3
-4,USABUS,1
-3,USA,22
-3,USAMED,1
-3,MED,1
-3,BUS,2
-3,NGOJEW,2
-3,BOL,1
-3,GOV,6
-3,SLV,1
-3,MDVELI,1
-3,ELI,1
-3,JUD,1
-3,LEG,3
-3,GHA,1
-3,CVL,2
-3,CAN,1
-3,OPP,1
-3,USAGOV,1
-3,ZAF,1
-3,CHN,1
-3,NRMPAG101,1
-2,USA,48
-2,GOVPTY,1
-2,CAN,5
-2,AGR,1
-2,SLV,3
-2,GOV,6
-2,GRC,1
-2,SWE,1
-2,SPY,1
-2,CRM,2
-2,EDU,1
-2,CVL,5
-2,GOVCVL,1
-2,USAGOV,2
-2,MED,2
-2,PTY,1
-2,USACVL,2
-2,MIL,1
-2,ROU,1
-2,MDV,1
-2,MDVELI,1
-2,MNCUSA,3
-2,BUS,5
-2,HLH,1
-2,TWN,1
-2,GBR,1
-2,LAB,1
-2,IRQ,1
-2,MEX,4
-2,JUD,1
-2,EUR,2
-1,GOV,19
-1,USA,56
-1,MED,11
-1,OPP,2
-1,CVL,4
-1,USAJUD,6
-1,LEG,1
-1,EDU,4
-1,EUR,1
-1,USAELI,3
-1,LAB,5
-1,JUD,4
-1,ELI,1
-1,MNCUSA,7
-1,BUS,3
-1,USAGOV,7
-1,SAU,1
-1,SAUGOV,1
-1,CAN,6
-1,TCD,1
-1,SLV,2
-1,MIL,1
-1,USALEG,1
-1,MNCKOR,3
-1,CANGOV,1
-1,NZL,1
-1,JPN,1
-1,USAMED,1
-1,SMR,1
-1,EGY,1
-1,SWE,1
-1,USAEDU,1
-1,COP,3
-1,CRM,1
0,GOV,89
0,USA,261
0,AUS,2
0,USAMED,9
0,USAELI,1
0,USAGOV,54
0,BUS,15
0,AFR,5
0,GOVHLH,2
0,ELI,8
0,NMR,5
0,USAJEW,1
0,HLH,5
0,JEW,2
0,EDU,18
0,CVL,33
0,CAN,24
0,MED,20
0,GOVMIL,1
0,PTY,2
0,UKR,1
0,SLV,9
0,USABUS,3
0,NMRBUS,2
0,MIL,6
0,GBRGOV,2
0,TCD,1
0,OPP,2
0,CHRCTH,3
0,USAAGR,3
0,GBR,3
0,LEG,10
0,USAEDU,4
0,ESP,4
0,COP,5
0,JUD,7
0,MNCUSA,3
0,COL,2
0,IRLGOV,2
0,FRA,1
0,PAN,3
0,USAMIL,2
0,LAB,4
0,EGY,1
0,USACVL,11
0,tms,1
0,REL,3
0,GRC,1
0,MNCUSAMED,1
0,MEX,2
0,DNK,1
0,GOVMED,2
0,RUS,4
0,GHA,1
0,CVLEDU,2
0,CANGOV,2
0,ETH,1
0,MNC,1
0,BUSBUS,2
0,EDUGOV,1
0,GOVEDU,1
0,GOVGOV,1
0,CHN,3
0,CRM,1
0,CANGOVBUS,1
0,USALAB,1
0,TUR,1
0,NGOHLHIRC,1
0,KOR,2
0,KNAGOV,2
0,IRLCOP,1
1,COP,11
1,USA,471
1,ITA,7
1,USAGOV,99
1,GHA,23
1,GOV,164
1,NGOHLHIRCLAB,1
1,CANGOV,7
1,CAN,26
1,NGOHLHIRC,15
1,EDU,26
1,CVL,64
1,IGOUNO,3
1,COPGOV,1
1,CHRCTH,4
1,USAREL,4
1,REL,3
1,EUR,2
1,HLH,9
1,BUS,44
1,USACVL,23
1,MED,39
1,USAMED,22
1,CHE,1
1,ISR,4
1,ISRJUD,2
1,MEDOPP,2
1,LAB,7
1,USAPTY,3
1,PTY,10
1,MNCUSAMED,2
1,USAEDU,19
1,USAELI,9
1,ELI,14
1,PAN,1
1,MIL,24
1,MNC,3
1,CHN,1
1,AGR,7
1,VAT,1
1,nai,2
1,EURCVL,1
1,TUN,1
1,LEG,18
1,MEX,11
1,GHAGOV,1
1,USABUS,5
1,CVLGOV,1
1,SLV,4
1,BHS,1
1,CRM,5
1,USAMIL,7
1,TUR,1
1,UKR,6
1,USAHLH,1
1,USAJUD,5
1,MNCUSA,1
1,ENV,6
1,POL,1
1,IND,5
1,USAJEW,1
1,REB,1
1,FRA,12
1,SWE,3
1,JUD,14
1,NMR,1
1,SPY,5
1,RUS,1
1,GOVCVL,2
1,IMGMOSALQ,1
1,TWNCVL,1
1,PSEREB,2
1,GBR,6
1,USALEG,3
1,AFR,3
1,JEW,1
1,JPN,2
1,OPP,5
1,AUS,5
1,ESP,5
1,NGODEV,1
1,FIN,3
1,ISRCVL,1
1,GOVMIL,2
1,TCD,2
1,AGO,1
1,EGYHLH,2
1,DNKGRLGOV,1
1,SPYBUS,1
1,USAGOVEDU,4
1,USAOPP,1
1,TCDGOV,3
1,GBRELI,1
1,MILGOV,1
1,QAT,1
1,CHRLDS,1
1,CANBUS,1
1,DEU,2
1,FRAGOV,1
1,MILHLH,2
1,EGY,1
1,AUSGOV,1
1,KWT,2
2,LEG,29
2,JUD,20
2,BOL,1
2,USA,376
2,CAN,54
2,MNCUSA,4
2,GBR,23
2,BUS,40
2,MED,17
2,USAMIL,9
2,CVL,46
2,COP,11
2,CRM,12
2,USACOP,1
2,EDU,19
2,REL,4
2,USAGOV,57
2,nav,2
2,MNCCAN,3
2,BHR,2
2,USACVL,18
2,GOV,88
2,USAMED,10
2,USAELIGOV,2
2,BRA,1
2,ITA,4
2,JPN,3
2,FRA,8
2,USAELI,9
2,USALEG,5
2,ELI,10
2,HLH,2
2,GOVCOP,1
2,NZL,1
2,DEU,12
2,CANGOV,6
2,CHE,1
2,EUR,1
2,MNCUSAMED,6
2,PTY,4
2,GUYJUD,2
2,NGOUSAENV,1
2,ENV,2
2,TUR,1
2,PRTELI,1
2,GHA,4
2,NGOHLHIRC,15
2,REF,1
2,MIL,10
2,GOVMIL,1
2,LAB,4
2,LBR,1
2,MOS,2
2,SLV,4
2,CHRCTH,2
2,CHRCTH504,1
2,SGP,2
2,PHL,2
2,USAEDU,3
2,MEX,1
2,THA,1
2,BUSLEG,2
2,PSE,1
2,ISR,4
2,GOVAGR,1
2,CHN,1
2,MNCKOR,2
2,USAJUD,2
2,OPP,1
2,AUS,2
2,GRC,4
2,GRCEDU,1
2,scoREB,2
2,IGOEUREEC,1
2,MLT,1
2,VEN,1
2,NGO,1
2,JOR,1
2,RAD,1
2,ISRGOV,1
2,USABUS,1
2,MNCUSABUS,1
2,BUSGOV,2
2,RUSGOV,1
2,KOR,1
2,SWE,2
2,ltn,1
2,GOVHLH,1
2,RUS,1
2,DNKGRL,2
2,ELIEDU,1
2,EGY,1
2,MNC,1
2,AUSGOV,2
2,AUT,6
2,SAS,1
2,IGOUNO,1
