day,EventCode_counts,count
-7,46,2
-7,42,9
-7,192,1
-7,180,3
-7,120,2
-7,10,10
-7,190,6
-7,43,6
-7,57,5
-7,874,2
-7,112,2
-7,53,1
-7,51,5
-7,193,3
-7,100,1
-7,110,3
-7,182,3
-7,181,1
-7,20,3
-7,171,3
-7,13,1
-7,71,2
-7,172,2
-7,130,2
-7,40,4
-7,36,1
-7,12,1
-7,14,1
-7,1243,1
-7,50,2
-7,17,1
-7,81,4
-7,173,1
-7,70,1
-7,90,1
-7,115,1
-6,10,6
-6,14,1
-6,42,5
-6,43,5
-6,171,4
-6,50,1
-6,70,3
-6,46,4
-6,22,2
-6,51,6
-6,193,1
-6,20,12
-6,15,2
-6,57,6
-6,182,1
-6,71,1
-6,190,5
-6,100,1
-6,120,6
-6,192,1
-6,112,1
-6,1711,2
-6,111,3
-6,110,3
-6,1712,1
-6,33,2
-6,141,1
-6,173,1
-6,12,2
-6,134,1
-6,1821,1
-6,130,2
-6,17,1
-6,73,1
-6,60,1
-6,40,4
-6,36,1
-5,110,2
-5,31,1
-5,874,3
-5,52,1
-5,25,2
-5,190,5
-5,12,2
-5,46,3
-5,42,5
-5,193,2
-5,43,2
-5,173,9
-5,100,1
-5,172,1
-5,61,1
-5,160,1
-5,35,1
-5,120,1
-5,51,1
-5,1123,1
-5,10,4
-5,30,6
-5,40,3
-5,36,1
-5,33,1
-5,841,1
-5,90,1
-5,112,3
-5,171,1
-5,180,1
-5,15,1
-5,14,1
-5,114,2
-5,20,1
-5,50,2
-5,17,1
-4,20,7
-4,46,2
-4,180,2
-4,13,2
-4,173,8
-4,70,7
-4,111,1
-4,51,6
-4,112,3
-4,33,1
-4,141,2
-4,14,1
-4,130,1
-4,10,8
-4,72,1
-4,90,3
-4,138,1
-4,193,6
-4,190,1
-4,12,1
-4,110,2
-4,831,3
-4,43,5
-4,55,4
-4,42,2
-4,36,2
-4,84,1
-4,60,1
-4,32,1
-4,45,1
-4,120,1
-4,40,2
-4,15,2
-4,71,1
-3,12,2
-3,112,2
-3,20,4
-3,10,11
-3,30,1
-3,190,3
-3,51,8
-3,1712,3
-3,231,2
-3,71,1
-3,36,3
-3,129,1
-3,180,2
-3,111,1
-3,241,1
-3,874,1
-3,43,4
-3,42,3
-3,70,1
-3,120,1
-3,130,1
-3,40,2
-3,173,1
-3,186,1
-2,42,15
-2,131,1
-2,1712,4
-2,193,3
-2,13,3
-2,10,9
-2,73,1
-2,112,1
-2,111,5
-2,20,4
-2,130,2
-2,46,7
-2,12,3
-2,11,1
-2,101,1
-2,190,2
-2,841,1
-2,163,2
-2,173,2
-2,50,1
-2,180,1
-2,80,3
-2,43,14
-2,110,3
-2,120,1
-2,51,5
-2,114,2
-2,70,2
-2,60,1
-2,36,6
-2,84,1
-2,150,2
-2,17,1
-2,192,1
-2,72,1
-1,84,5
-1,60,5
-1,1721,3
-1,253,1
-1,81,1
-1,51,15
-1,120,2
-1,55,1
-1,20,5
-1,36,9
-1,42,12
-1,43,13
-1,111,6
-1,10,14
-1,70,3
-1,71,6
-1,192,1
-1,110,1
-1,190,9
-1,33,1
-1,130,4
-1,129,1
-1,831,8
-1,1712,3
-1,173,5
-1,90,3
-1,15,1
-1,40,7
-1,72,1
-1,46,3
-1,14,2
-1,874,2
-1,41,2
-1,50,1
-1,30,2
-1,112,3
-1,141,2
-1,13,4
-1,180,3
-1,80,1
-1,12,1
-1,131,2
-1,193,2
-1,11,1
0,190,81
0,60,22
0,70,15
