day,word,count,tfidf
2,accord,36,0.010296692831455378
2,acre,17,0.004635812833021433
2,add,13,0.005337231440281157
2,affect,13,0.007187450828670396
2,air,12,0.004820972104606774
2,album,16,0.0015327200468069802
2,american,26,0.011133495564805062
2,amid,14,0.00894849083606906
2,angeles,264,0.055637292740783266
2,angeles area,37,0.015338531882487185
2,angeles county,23,0.00880071288179519
2,angeles fire,14,0.0055327208811586735
2,angeles wildfire,28,0.014178270772781616
2,announce,27,0.013877761328511573
2,area,80,0.02135914495684421
2,ask,16,0.006069511804091167
2,authority,17,0.003756940425697225
2,bass,13,0.006494026283832214
2,battle,35,0.014616081668496466
2,biden,36,0.013105712198696487
2,billion,26,0.008581085630655332
2,blame,18,0.008676161443540525
2,blaze,32,0.012188656994731834
2,break,15,0.006136762906675619
2,building,23,0.006865213977796479
2,burn,75,0.023494498415220097
2,business,23,0.009621570494357586
2,calif,13,0.007349207946340161
2,california,291,0.0665424884398161
2,california governor,17,0.005918611431386757
2,california governor gavin,13,0.00536747563772031
2,california wildfire,24,0.014277180438284052
2,call,20,0.007954553965486924
2,canada,24,0.011986719779731958
2,canadian,17,0.009978535063620923
2,cancel,14,0.007502057600825674
2,case,22,0.005455749911713487
2,catastrophic,12,0.005627950824056034
2,cause,28,0.00983192034183827
2,celebrity,13,0.008813657556361647
2,change,25,0.006595037681787543
2,city,40,0.015178525019161502
2,claim,23,0.009958263421077017
2,climate,21,0.005460004636216503
2,climate change,14,0.0038877773201086247
2,come,23,0.009741937739277977
2,community,36,0.012629128812144931
2,company,45,0.015222061955139036
2,condition,14,0.00547919152688129
2,continue,44,0.017977563913523054
2,control,18,0.006600694425784432
2,cost,14,0.004406343608619317
2,county,50,0.016143103121285644
2,court,13,0.005087706167636553
2,cover,23,0.005613931353585156
2,crew,18,0.007844474457696244
2,crisis,16,0.007229908202482999
2,cross,18,0.009221351678131776
2,cut,14,0.004891319364297556
2,damage,30,0.008384138593381218
2,day,42,0.014614388028756559
2,dead,13,0.004210079770667653
2,deadly,22,0.009567382795966008
2,death,18,0.00785952407481187
2,department,36,0.011562235987928356
2,destroy,42,0.016310204623849654
2,destruction,20,0.007508326514421641
2,devastate,19,0.012146852887921462
2,devastating,64,0.02376635600444931
2,devastating wildfire,28,0.013884407031492539
2,devastation,14,0.008026912842181235
2,die,14,0.007589291206251454
2,disaster,41,0.016266861479035534
2,displace,17,0.008875541412133953
2,donald,51,0.019228920558921375
2,donald trump,51,0.019228920558921375
2,drone,13,0.007411193940844882
2,dry,19,0.006115995040786972
2,early,15,0.005961131289703931
2,eaton,29,0.00927395196324001
2,eaton fire,22,0.007122310537336855
2,effort,31,0.011518661402642625
2,elect,38,0.013719171653115897
2,elect donald,29,0.011466022032845403
2,elect donald trump,29,0.011466022032845403
