SOURCEURL,Actor1Code,Actor1Name,Actor1EthnicCode,Actor2Code,Actor2Name,EventCode,EventRootCode,EventBaseCode,GoldsteinScale,AvgTone
HTTP://en.ce.cn/main/latest/202205/29/t20220529_37688768.shtml,"['USA', 'USA', 'USAGOV', 'USAGOV']","['UNITED STATES', 'UNITED STATES', 'TEXAS', 'TEXAS']","[nan, nan, nan, nan]","['USAGOV', 'USAREL', 'REL', 'REL']","['UNITED STATES', 'UNITED STATES', 'ABBOT', 'ABBOT']","[110, 110, 20, 110]","[11, 11, 2, 11]","[110, 110, 20, 110]","[-2.0, -2.0, 3.0, -2.0]","[-5.14041574765828, -4.61095100864553, -4.61095100864553, -4.61095100864553]"
http://7thspace.com/headlines/1846906/rthk__gunman_kills_15_at_texas_elementary_school.html,"['USAREL', 'UAF', 'UAF', 'REL', 'REL']","['UNITED STATES', 'GUNMAN', 'GUNMAN', 'ABBOT', 'ABBOT']","[nan, nan, nan, nan, nan]","[nan, 'REL', 'EDU', nan, 'COP']","[nan, 'ABBOT', 'SCHOOL', nan, 'POLICE OFFICER']","[10, 10, 190, 10, 190]","[1, 1, 19, 1, 19]","[10, 10, 190, 10, 190]","[0.0, 0.0, -10.0, 0.0, -10.0]","[-4.27444135116028, -8.95839311334291, -5.84314163963743, -4.14089492805626, -8.39735360916363]"
http://7thspace.com/headlines/1847705/rthk__us_senate_discusses_gun_policy_after_texas_shooting.html,['LEG'],['SENATE'],[nan],['UAF'],['GUNMAN'],[1123],[11],[112],[-2.0],[-6.85358255451713]
http://923wnpc.com/man-with-felony-warrants-to-be-extradited-back-to-texas/,"['USAGOV', 'USAGOV', 'USA', 'GOV', 'GOV', 'COP', 'COP']","['UNITED STATES', 'UNITED STATES', 'UNITED STATES', 'AUTHORITIES', 'AUTHORITIES', 'POLICE', 'POLICE']","[nan, nan, nan, nan, nan, nan, nan]","['USA', 'USA', 'COP', 'USA', 'USA', nan, nan]","['UNITED STATES', 'UNITED STATES', 'POLICE', 'TEXAS', 'TEXAS', nan, nan]","[174, 174, 13, 174, 174, 874, 874]","[17, 17, 1, 17, 17, 8, 8]","[174, 174, 13, 174, 174, 87, 87]","[-5.0, -5.0, 0.4, -5.0, -5.0, 10.0, 10.0]","[-2.68456375838926, -2.68456375838926, -2.68456375838926, -2.68456375838926, -2.68456375838926, -2.68456375838926, -2.68456375838926]"
http://abc17news.com/news/ap-missouri/2022/06/22/sen-rick-scott-takes-issue-with-parts-of-texas-gop-platform/,['USA'],['UNITED STATES'],[nan],['LEG'],['DELEGATE'],[60],[6],[60],[6.0],[0.82644628099174]
http://abc17news.com/top-stories/2022/06/18/mid-missouri-set-to-hold-multiple-events-to-celebrate-juneteenth/,"['GOV', nan]","['PRESIDENT', nan]","[nan, nan]","[nan, 'GOV']","[nan, 'PRESIDENT']","[57, 57]","[5, 5]","[57, 57]","[8.0, 8.0]","[3.90390390390391, 3.90390390390391]"
http://aero-news.net/subscribe.cfm?do=main.textpost&id=853c2364-ee99-4c67-86ef-d9d219416fdf,['USA'],['UNITED STATES'],[nan],['BUSBUS'],['AEROSPACE'],[71],[7],[71],[7.4],[0.0]
http://africa.chinadaily.com.cn/a/202205/30/WS6291802ba310fd2b29e5f847.html,"['PTY', 'UAF', 'USA', 'USAGOV', 'PTY', 'CVL', 'CVL', 'CVL', 'USA', 'USA', nan, 'CVL', nan, 'CVL', 'USACOP', nan, 'USA']","['POLITICIAN', 'GUNMAN', 'UNITED STATES', 'TEXAS', 'POLITICIAN', 'CITIZEN', 'CITIZEN', 'CITIZEN', 'TEXAS', 'UNITED STATES', nan, 'CITIZEN', nan, 'CITIZEN', 'TEXAS', nan, 'UNITED STATES']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, 'COP', nan, 'USA', 'USA', 'USA', 'COP', 'CVL', 'PTY', nan, 'PTY', nan, 'USA', 'CVL', 'EDU']","[nan, nan, nan, 'POLICE', nan, 'UNITED STATES', 'UNITED STATES', 'UNITED STATES', 'POLICE', 'CITIZEN', 'POLITICIAN', nan, 'POLITICIAN', nan, 'UNITED STATES', 'CITIZEN', 'SCHOOL']","[36, 20, 141, 51, 36, 26, 36, 120, 51, 36, 36, 36, 36, 26, 193, 36, 20]","[3, 2, 14, 5, 3, 2, 3, 12, 5, 3, 3, 3, 3, 2, 19, 3, 2]","[36, 20, 141, 51, 36, 26, 36, 120, 51, 36, 36, 36, 36, 26, 193, 36, 20]","[4.0, 3.0, -6.5, 3.4, 4.0, 4.0, 4.0, -4.0, 3.4, 4.0, 4.0, 4.0, 4.0, 4.0, -10.0, 4.0, 3.0]","[-4.17536534446764, -3.97659443088594, -5.03369792139421, -4.17536534446764, -4.17536534446764, -4.17536534446764, -3.80991596814973, -4.17536534446764, -4.17536534446764, -3.80991596814973, -4.17536534446764, -4.17536534446764, -4.17536534446764, -4.17536534446764, -4.37726506456879, -4.17536534446764, -4.17536534446764]"
http://beniciaindependent.com/300-gather-in-benicia-to-protest-gun-violence-and-call-on-congress-to-do-something/,"['USAGOV', 'USAGOV', 'PTY']","['UNITED STATES', 'UNITED STATES', 'POLITICIAN']","[nan, nan, nan]","[nan, 'USA', 'CVL']","[nan, 'UNITED STATES', 'CITIZEN']","[193, 193, 51]","[19, 19, 5]","[193, 193, 51]","[-10.0, -10.0, 3.4]","[-2.50950570342205, -2.50950570342205, -2.50950570342205]"
http://beniciaindependent.com/benicia-march-for-our-lives-this-saturday-june-11-2022/,['ITA'],['MARCHE'],[nan],['EDU'],['SCHOOL'],[193],[19],[193],[-10.0],[-0.60153776571687]
