day,Actor2Name_counts,count
-7,UNITEDSTATES,33
-7,GERMANY,1
-7,RESIDENTS,1
-7,POLICE,9
-7,MEDIA,2
-7,CRIMINAL,2
-7,TEXAS,19
-7,CONGRESS,1
-7,UNIVERSITY,1
-7,GEORGETOWN,1
-7,DOCTOR,2
-7,BARACKOBAMA,1
-7,HOSPITAL,2
-7,SCHOOL,10
-7,GOVERNOR,1
-7,TAIWANESE,2
-7,FEDERALCOURT,2
-7,JOEBIDEN,1
-7,COMMUNITY,3
-7,PHYSICIAN,2
-7,BUSINESS,1
-7,AMERICAN,1
-7,BORDERPATROLAGENT,1
-7,MEXICO,1
-7,ABBOT,1
-7,COUNSEL,1
-7,TANZANIA,1
-7,IMMIGRANT,1
-7,BRAZIL,1
-7,ATTORNEY,1
-7,TYRE,1
-7,JUDGE,2
-7,HOUSTON,1
-7,ALABAMA,2
-7,DETECTIVE,1
-7,ISRAEL,4
-7,AMNESTYINTERNATIONAL,1
-7,HUMANRIGHTSGROUP,1
-7,MUSLIM,2
-7,PALESTINIAN,2
-7,MALE,1
-7,RUSSIA,2
-7,WORSHIPER,2
-7,AUSTIN,1
-7,GUNMEN,2
-7,WASHINGTON,1
-7,SUPREMECOURT,2
-7,CHINA,1
-7,COMPANIES,3
-6,DALLAS,2
-6,POLICE,3
-6,UNITEDSTATES,56
-6,IMMIGRANT,1
-6,ALABAMA,1
-6,NAVAL,1
-6,TEXAS,27
-6,HAITIAN,1
-6,STUDENT,13
-6,SCHOOL,16
-6,JEWISH,1
-6,SATMAR,1
-6,HAREDI,1
-6,BUFFALO,3
-6,DOCTOR,2
-6,ARMY,2
-6,THEUS,2
-6,UKRAINE,1
-6,MIGRANT,1
-6,MEDIA,5
-6,LAWYER,1
-6,ABBOTTLABORATORIES,1
-6,SENATOR,5
-6,GOVERNOR,1
-6,INDUSTRY,3
-6,CHEVRON,1
-6,IRAQ,2
-6,GOVERNMENT,6
-6,CORPORATION,1
-6,PRODUCER,2
-6,RETIRED,1
-6,LAWENFORCEMENTOFFICER,1
-6,CATHOLIC,1
-6,PRESIDENT,2
-6,GUNMAN,4
-6,SENATE,2
-6,ELSALVADOR,1
-6,LAWMAKER,1
-6,BORDERPATROL,1
-6,GOOGLE,1
-6,NICARAGUA,1
-6,UNIVERSITY,1
-6,NATIONALGUARD,1
-6,CARTEL,1
-6,PRISON,1
-6,GANG,1
-6,FIRSTLADY,1
-6,DETECTIVE,1
-6,MALE,1
-6,AFRICA,1
-6,COMPANY,5
-6,PREACHER,2
-6,LAWRENCE,2
-6,COUNSELLOR,1
-6,CIVILSOCIETY,1
-6,WORKER,1
-6,COMMUNITY,2
-6,MURRAY,1
-6,HAITI,2
-6,CHAMPAGNE,1
-6,NURSE,4
-6,MEXICO,2
-6,JOURNALIST,1
-6,SCHOLAR,1
-6,AMERICAN,1
-6,NIGERIA,1
-5,ATTORNEYGENERAL,1
-5,TEXAS,19
-5,UNITEDSTATES,46
-5,DEALER,1
-5,KANSAS,1
-5,ADMINISTRATION,3
-5,JAKARTA,1
-5,DEMOCRATICPARTY,1
-5,POLICE,2
-5,CRIMINAL,3
-5,AUTHORITIES,1
-5,MEDIA,2
-5,THEASSOCIATEDPRESS,4
-5,ENTREPRENEUR,1
-5,BUSINESS,3
-5,AUSTIN,1
-5,PRESIDENT,6
-5,ABBOT,2
-5,PUBLICDEFENDER,2
-5,SCOTTISH,2
-5,MEXICO,3
-5,SENATE,1
-5,VIRGINIA,1
-5,DEPUTY,2
-5,GENERALASSEMBLY,1
-5,STUDENT,2
-5,SCHOOL,9
-5,NEWYORK,1
-5,BUSINESSLEADER,3
-5,GOVERNMENT,3
-5,IMMIGRANT,1
-5,FIRSTLADY,2
-5,GUNMAN,2
-5,BUFFALO,1
-5,CONGRESS,6
-5,BORDERPATROLAGENT,1
-5,DALLAS,1
-5,LEGISLATURE,1
-5,LAWMAKER,1
-5,JOEBIDEN,1
-5,CONSERVATORY,1
-5,CITIZEN,5
-5,FIREFIGHTER,1
-5,ATTORNEY,3
-5,BRAZIL,1
-5,ARMEDFORCES,1
-5,JOHNCARTER,2
-5,AMERICAN,1
-5,ECUADORIAN,1
-5,SUPREMECOURT,1
-5,REPRESENTATIVES,1
-5,DEPUTIES,3
-5,UNIVERSITY,2
-5,CALIF,1
-5,SERVICEMEN,1
-5,RABBI,2
-5,COLLEGE,1
-5,JUDGE,1
-5,WEBSITE,2
-5,JUDICIARY,1
-5,FORDMOTOR,1
-5,SMUGGLER,4
-5,PRODUCER,1
-5,SERIALKILLER,1
-5,OUTLAW,1
-5,GEORGEP,1
-5,MEXICAN,1
-5,ILLINOIS,1
-5,SPOKESMAN,1
-4,BUFFALO,1
-4,SCHOOL,18
-4,UNITEDSTATES,38
-4,MEDIA,3
-4,ABBOT,4
-4,TEXAS,12
-4,FARMER,1
-4,SAMSUNG,1
-4,PROTESTER,2
-4,SUPREMECOURT,2
-4,BORDERSECURITY,3
-4,COSTARICA,1
-4,PANAMA,1
-4,ADMINISTRATION,1
-4,TOYOTA,1
-4,BRAZIL,3
-4,ENTREPRENEUR,1
-4,AFRICA,3
-4,BUSINESS,1
-4,MILITARY,5
-4,POLICE,4
-4,STUDENT,2
-4,POLICEOFFICER,3
-4,CRIMINAL,1
-4,THEUS,1
-4,MIGRANT,1
-4,SMUGGLER,1
-4,GOVERNMENT,4
-4,PORTO,1
-4,EXTREMIST,1
-4,LAWMAKER,1
-4,EMPLOYEE,2
-4,CHINESE,1
-4,UNIVERSITY,2
-4,NEIGHBORHOOD,1
-4,KING,1
-4,GEORGESOROS,1
-4,WORKER,1
-4,JOEBIDEN,3
-4,SECRETARYOFSTATE,1
-4,BISHOP,1
-4,AMERICAN,3
-4,GOVERNOR,1
-4,COMMUNITY,3
-4,MALE,1
-4,JUDGE,1
-4,ARMYRESERVE,2
-4,INDONESIA,1
-4,EXXON,1
-4,CORPORATION,1
-4,INDUSTRY,2
-4,PRESIDENT,1
-4,UNITEDSTATESOFAMERICA,1
-4,MUSLIM,4
-4,RESIDENTS,2
-4,NEWSPAPER,1
-4,GRANDRAPIDS,2
-4,MEXICAN,2
-4,SENATE,1
-4,SPAIN,1
-4,COMPANY,2
-3,GUNMAN,1
-3,TEXAS,12
-3,UNITEDSTATES,24
-3,RESIDENTS,4
-3,MILITARY,2
-3,HOSPITAL,2
