day,EventCode_counts,count
-7,193,15
-7,190,11
-7,20,12
-7,90,8
-7,311,2
-7,71,3
-7,36,8
-7,14,1
-7,1721,2
-7,172,3
-7,42,13
-7,134,1
-7,43,10
-7,12,3
-7,13,3
-7,10,9
-7,100,4
-7,80,5
-7,46,3
-7,84,3
-7,231,1
-7,51,11
-7,15,3
-7,17,5
-7,180,9
-7,112,3
-7,841,1
-7,111,8
-7,18,1
-7,192,2
-7,110,5
-7,120,2
-7,173,3
-7,182,2
-7,40,3
-7,130,1
-7,186,1
-7,57,1
-7,1124,1
-7,16,2
-7,61,1
-7,30,2
-7,60,1
-7,141,1
-6,40,7
-6,20,12
-6,112,10
-6,110,5
-6,190,21
-6,111,3
-6,61,3
-6,43,26
-6,51,19
-6,42,27
-6,13,5
-6,193,21
-6,10,23
-6,90,8
-6,12,12
-6,17,1
-6,18,4
-6,46,4
-6,84,3
-6,173,16
-6,180,6
-6,120,1
-6,841,3
-6,30,3
-6,70,6
-6,36,11
-6,1014,1
-6,15,1
-6,71,1
-6,202,1
-6,100,2
-6,25,1
-6,16,1
-6,172,3
-6,154,2
-6,115,1
-6,81,2
-6,130,2
-6,33,1
-6,129,1
-6,1721,2
-6,14,1
-6,60,1
-6,1123,2
-6,833,1
-6,45,1
-6,141,1
-6,160,1
-6,139,2
-6,50,1
-5,190,15
-5,10,15
-5,51,16
-5,36,7
-5,120,5
-5,43,16
-5,100,2
-5,12,3
-5,40,10
-5,180,5
-5,173,10
-5,172,7
-5,20,12
-5,193,12
-5,110,3
-5,16,3
-5,841,5
-5,84,2
-5,60,3
-5,30,10
-5,11,1
-5,42,16
-5,80,4
-5,192,2
-5,111,9
-5,15,2
-5,115,6
-5,17,4
-5,70,2
-5,46,11
-5,234,1
-5,331,1
-5,18,1
-5,112,9
-5,13,4
-5,71,1
-5,1822,3
-5,27,1
-5,62,2
-5,61,1
-5,1243,2
-5,214,3
-5,114,1
-5,64,1
-5,186,2
-5,125,1
-5,130,1
-5,160,1
-5,50,1
-5,1721,1
-5,164,1
-5,181,1
-5,57,1
-5,23,1
-5,1014,3
-5,14,2
-5,22,1
-5,90,1
-4,193,17
-4,90,5
-4,180,4
-4,42,18
-4,14,3
-4,36,11
-4,51,23
-4,173,9
-4,20,15
-4,190,15
-4,140,1
-4,75,1
-4,84,2
-4,192,7
-4,50,8
-4,130,1
-4,40,12
-4,10,19
-4,231,1
-4,13,6
-4,72,6
-4,12,8
-4,172,4
-4,1721,2
-4,63,1
-4,100,6
-4,15,1
-4,164,1
-4,112,2
-4,71,1
-4,43,8
-4,133,1
-4,30,4
-4,11,1
-4,124,1
-4,70,3
-4,110,1
-4,120,1
-4,1712,2
-4,80,1
-4,46,4
-4,57,2
-4,26,2
-4,141,1
-4,175,1
-4,125,1
-4,60,1
-3,80,1
-3,190,11
-3,1821,1
-3,42,8
-3,40,11
-3,43,6
-3,112,1
-3,13,1
-3,51,14
-3,90,8
-3,73,1
-3,36,7
-3,20,5
-3,84,4
-3,173,5
-3,23,1
-3,41,2
-3,15,3
-3,14,2
-3,10,5
-3,193,8
-3,111,2
-3,100,1
-3,32,1
-3,30,1
-3,180,2
-3,46,4
