day,word,count,tfidf
14,abbott,6,0.003005647381941087
14,accord,5,0.009467779030373415
14,action,6,0.008811457433483359
14,active,6,0.006107606928249756
14,active shooter,5,0.004215816267211833
14,actor,10,0.012526004627306887
14,actor matthew,6,0.007972299514677948
14,actor matthew mcconaughey,6,0.007972299514677948
14,announce,5,0.01403094506142305
14,arapahoe,14,0.002078882595814871
14,arapahoe high,13,0.0019303909818280949
14,arapahoe high school,13,0.0019303909818280949
14,arnulfo,6,0.010946495927713904
14,arnulfo reyes,6,0.010946495927713904
14,arredondo,6,0.004311423127865348
14,arrest,6,0.011238506869703036
14,arrive,6,0.0009304593989620271
14,ask,6,0.006918462348814682
14,assessment,5,0.004149603439474788
14,attack,8,0.005798271432319306
14,attend,6,0.011466681927107682
14,attorney,9,0.020905771646763736
14,away,5,0.007218834987601213
14,band,5,0.005847222578006259
14,biden,7,0.010771531848550992
14,bill,10,0.017824454395543754
14,black,8,0.007893129434078893
14,briefing,5,0.0041946593578911315
14,call,18,0.020335166407455755
14,campus,6,0.0010537227675492676
14,centennial,8,0.003744785345268598
14,centennial colo,7,0.0010394412979074356
14,charge,7,0.009027526924141029
14,chief,8,0.007206892269992187
14,child,22,0.027868292435092323
14,child teacher,11,0.012485663482226314
14,church,11,0.011315228493395052
14,city,11,0.01698378417716539
14,city council,4,0.006249184547355858
14,claire,6,0.0008909496839206592
14,claire davis,6,0.0008909496839206592
14,classmate,5,0.0034237093852849685
14,classroom,8,0.009620007777914713
14,colo,7,0.0010394412979074356
14,come,8,0.012294630564629297
14,company,5,0.012294053918589532
14,congress,5,0.0063525128170026784
14,control,19,0.021596236094584758
14,council,5,0.008747896369944904
14,county,13,0.016246778957119228
14,create,6,0.0038939222253272974
14,customer,4,0.007574250435632872
14,daughter,4,0.002340334857903936
14,davis,6,0.0008909496839206592
14,day,18,0.03279026393444354
14,dead,9,0.009637959396625892
14,deadly,6,0.008604329312206461
14,dec,9,0.0013364245258809888
14,dec file,4,0.0005939664559471062
14,dec file photo,4,0.0005939664559471062
14,demand,4,0.006590576232021427
14,democrat,5,0.00860256700549446
14,democrats,4,0.010657648924574653
14,department,9,0.01086722537111857
14,die,5,0.007874744169104407
14,dipiazza,6,0.0015901018237645512
14,discuss,4,0.008853216434658629
14,district,16,0.018147892838592063
14,dog,4,0.006532755065326988
14,don,4,0.004074519774599025
14,early,5,0.0038125705772419803
14,education,5,0.007905252373053714
14,elementary,35,0.034149043415165475
14,elementary school,31,0.031127235977687163
14,elementary school uvalde,9,0.011004029453535511
14,emergency,5,0.005148768752361116
14,emotional,6,0.008840737917596833
14,end,11,0.011238915482437538
14,enforcement,12,0.010783034079733961
14,event,7,0.012006102330580585
14,family,10,0.016996542142581592
14,fe,17,0.0033078986931500414
14,fe high,8,0.001639629968100324
14,fe high school,8,0.001639629968100324
14,federal,7,0.017295054347579948
14,file,6,0.006154453467158529
14,firearm,5,0.009020196971299823
14,florida,7,0.013126718027238766
14,follow,12,0.016942203439850315
14,forward,5,0.004526619925917408
14,friday,9,0.0038549753233979383
14,funeral,5,0.0013250848531371259
14,gather,6,0.009719934190305663
14,give,5,0.00881815438064194
14,go,5,0.003251466754828997
14,gov,6,0.006402486898256598
14,government,7,0.01244669058024005
14,group,5,0.009144906016312663
14,gun,65,0.05882955848611811
14,gun control,15,0.021837961732599165
14,gun law,7,0.010164523111974527
14,gun reform,5,0.009421650340985879
14,gun safety,5,0.01055863700652455
14,gun violence,17,0.023704991094736172
14,gunman,20,0.0175635325126246
14,happen,5,0.004096023289237438
14,help,17,0.012559327194631022
14,high,41,0.023229562988831505
14,high school,36,0.01804216123052394
14,high school student,5,0.005165579756713082
14,hold,9,0.009748755025985604
14,hometown,5,0.008521186439665198
14,hometown uvalde,5,0.008521186439665198
14,hour,8,0.008690272213855084
14,house,18,0.023658013196694316
14,incident,9,0.004325089702628147
14,include,13,0.013866523621119672
14,india,6,0.0021131141612012543
14,injure,10,0.013643639495207669
14,interview,6,0.004034993675117977
14,issue,8,0.01768496638499743
14,john,8,0.011573269286445852
14,journalist,9,0.0023851527356468266
14,kill,22,0.022046100389552216
14,kill child,6,0.007668427992759463
14,kill child teacher,5,0.006111214975662152
14,know,5,0.0029808356587263858
14,large,5,0.006370960839223194
14,late,7,0.013558690448513846
14,law,26,0.02188371029192472
14,law enforcement,12,0.010783034079733961
14,lawmaker,10,0.01505427884280631
14,leader,5,0.012280829915031181
14,leave,5,0.0060251599007067405
14,legislation,12,0.016376460285597406
14,life,8,0.010096856593867318
14,local,8,0.016265466577889874
14,look,7,0.004371443457276132
14,lose,8,0.010773439829945063
14,lot,5,0.0018786490213575267
14,make,7,0.0075972299766627035
14,maker,5,0.012167369832602283
14,mass,39,0.04221897062414502
14,mass shooting,34,0.03788302894898169
14,mass shooting robb,5,0.006376596108864991
14,massacre,12,0.013691058256928684
14,matthew,18,0.023585904371953383
14,matthew mcconaughey,18,0.023585904371953383
14,mayor,6,0.009463380138450148
14,mcconaughey,26,0.03036799699807414
14,measure,4,0.006155653173896879
14,medium,11,0.0157795052305404
14,meet,9,0.015053319074492687
14,meeting,4,0.006249184547355858
14,member,10,0.014435628487486293
14,memorial,4,0.004904170202232875
14,minute,7,0.003475427004207899
14,miranda,4,0.0014087427741341695
14,moment,4,0.006241663383673167
14,monday,14,0.025147371372567257
14,month,9,0.01312107390595855
14,morning,6,0.007561574941286016
14,multiple,5,0.00656347922110085
14,murder,5,0.009354916396066469
14,national,5,0.010074760001410117
14,native,4,0.0075060444324627044
14,near,5,0.005928472549590518
14,nearby,4,0.00485881322665996
14,need,8,0.012513522017968782
14,new,19,0.02194022533814157
14,new gun,6,0.007916081645394207
14,new york,5,0.011574311261251163
14,news,7,0.008013325246631701
14,offer,6,0.0067808274994388094
14,officer,29,0.011636793898932357
14,official,12,0.009524587213315928
14,old,13,0.01466657086060823
14,open,4,0.002954389720572037
14,outside,8,0.009774494026097875
14,par,4,0.005432823631475339
14,parent,7,0.006164895084046451
14,parkland,4,0.010378743400489276
14,pass,8,0.011260478197823868
14,people,23,0.019173921524681815
14,pete,4,0.0029505422197152182
14,pete arredondo,4,0.0029505422197152182
14,place,6,0.013046227866685913
14,plan,6,0.015245758993974418
14,police,35,0.02510781020654219
14,president,7,0.014158347876830398
14,press,5,0.0026172088904073024
14,prevent,5,0.004272607669010121
14,prison,5,0.013736171008454581
14,provide,5,0.004237793884866483
14,public,14,0.012148635945596236
14,push,5,0.007513178995417104
14,reach,5,0.0055362473998786885
14,recent,5,0.011375923416858369
14,reform,7,0.0122470632988405
14,remain,6,0.004809057642373214
14,report,5,0.0029196473410817727
14,reporter,5,0.0022413336282265345
14,republican,10,0.018959355532661867
14,republicans,5,0.011859441197004866
14,respond,9,0.008985983531556805
14,response,10,0.009220031759226697
14,reyes,6,0.010946495927713904
14,rice,10,0.0026597399441494526
14,right,6,0.006561394313881885
14,robb,21,0.023383446619435533
14,robb elementary,21,0.023383446619435533
14,robb elementary school,18,0.020678769253725506
14,room,7,0.007494442741170653
14,safe,8,0.004504094297084316
14,safety,17,0.02300013019070512
14,santa,17,0.0033078986931500414
14,santa fe,17,0.0033078986931500414
14,santa fe high,8,0.001639629968100324
14,say,41,0.03393314331350228
14,school,132,0.0695868494050484
14,school centennial,4,0.0005939664559471062
14,school centennial colo,4,0.0005939664559471062
14,school district,10,0.008288340112724757
14,school massacre,6,0.008111090529181544
14,school shooting,21,0.019332364793536682
14,school student,5,0.005165579756713082
14,school uvalde,10,0.013212774986441621
14,school uvalde texas,7,0.011993627854520239
14,search,5,0.00565375787844463
14,second,7,0.008191864499166049
14,senate,7,0.012419014060174555
14,senator,5,0.009872177638079644
14,shoot,21,0.017614100077566777
