SOURCEURL,Actor1Code,Actor1Name,Actor1EthnicCode,Actor2Code,Actor2Name,EventCode,EventRootCode,EventBaseCode,GoldsteinScale,AvgTone
http://africa.chinadaily.com.cn/a/202501/08/WS677dd69ca310f1265a1d9984.html,['USA'],['THE US'],[nan],[nan],[nan],[130],[13],[130],[-4.4],[-3.12109862671661]
http://africa.chinadaily.com.cn/a/202501/13/WS67846df1a310f1265a1da645.html,['USA'],['LOS ANGELES'],[nan],[nan],[nan],[84],[8],[84],[7.0],[-4.90296220633299]
http://baystreet.ca/commodities/7729/Prices-Slip-as-Oil-Inventories-Rise,"['USAGOV', 'USAGOV', 'USA']","['THE WHITE HOUSE', 'THE WHITE HOUSE', 'UNITED STATES']","[nan, nan, nan]","['MEX', 'MEX', 'MEX']","['MEXICO', 'MEXICO', 'MEXICO']","[61, 61, 61]","[6, 6, 6]","[61, 61, 61]","[6.4, 6.4, 6.4]","[-4.08163265306122, -4.08163265306122, -4.08163265306122]"
http://baystreet.ca/economiccommentary/4186/US-To-Impose-25-Tariffs-On-Canada-Feb-1-But-May-Exclude-Oil,['GOV'],['PRESIDENT'],[nan],['CAN'],['CANADA'],[61],[6],[61],[6.4],[-4.58015267175572]
http://breakingdefense.com/2024/12/defense-industry-could-see-big-shakeup-under-trump-2025-preview/,['CAN'],['CANADA'],[nan],['BUS'],['BUSINESS'],[51],[5],[51],[3.4],[-1.07212475633528]
http://dailyemerald.com/159053/features/smith-a-tiktok-ban-would-erode-first-amendment-rights/,"['GOV', 'USAEDU', 'GOV', 'GOV', 'USAEDU', 'GOV', 'CHN', 'GOV']","['GOVERNMENT', 'OREGON', 'GOVERNMENT', 'GOVERNMENT', 'OREGON', 'GOVERNMENT', 'CHINA', 'GOVERNMENT']","[nan, nan, nan, nan, nan, nan, nan, nan]","['USA', 'USA', 'USA', nan, nan, 'USA', nan, nan]","['UNITED STATES', 'OREGON', 'UNITED STATES', nan, nan, 'UNITED STATES', nan, nan]","[13, 10, 84, 13, 172, 13, 120, 84]","[1, 1, 8, 1, 17, 1, 12, 8]","[13, 10, 84, 13, 172, 13, 120, 84]","[0.4, 0.0, 7.0, 0.4, -5.0, 0.4, -4.0, 7.0]","[-1.8063876751205, -3.37552742616033, -3.28784432044603, -1.91764877055143, -3.37552742616033, -3.37552742616033, -3.37552742616033, -1.83115434544176]"
http://en.ce.cn/main/latest/202501/15/t20250115_39267327.shtml,['GOV'],['FIREFIGHTER'],[nan],['CHN'],['CHINA'],[190],[19],[190],[-10.0],[-4.31266846361186]
http://en.people.cn/n3/2024/1226/c90000-20258694.html,['GOVHLH'],['HEALTH OFFICIAL'],[nan],['USA'],['CALIFORNIA'],[10],[1],[10],[0.0],[-4.74072530982046]
http://en.people.cn/n3/2025/0102/c90000-20261399.html,['CHN'],['CHINA'],[nan],['USA'],['CALIFORNIA'],[173],[17],[173],[-5.0],[0.495049504950495]
http://en.people.cn/n3/2025/0116/c90000-20266825.html,['USA'],['UNITED STATES'],[nan],['GOV'],['FIREFIGHTER'],[190],[19],[190],[-10.0],[-5.36723163841808]
http://en.people.cn/n3/2025/0116/c90000-20266898.html,"['USA', 'USAGOV']","['CALIFORNIA', 'CALIFORNIA']","[nan, nan]","['USAGOV', nan]","['UNITED STATES', nan]","[10, 10]","[1, 1]","[10, 10]","[0.0, 0.0]","[-4.17925553634494, -3.29372732884415]"
http://en.people.cn/n3/2025/0118/c90000-20267719.html,"[nan, 'EGY']","[nan, 'CAIRO']","[nan, nan]","['BUS', nan]","['INDUSTRY', nan]","[40, 190]","[4, 19]","[40, 190]","[1.0, -10.0]","[-1.91204588910134, -1.91204588910134]"
http://en.people.cn/n3/2025/0124/c90000-20270166.html,"['USA', nan]","['AMERICAN', nan]","[nan, nan]","['CHN', 'UAF']","['CHINA', 'TERRORIST']","[33, 111]","[3, 11]","[33, 111]","[5.2, -2.0]","[5.67765567765568, 5.67765567765568]"
http://europe.chinadaily.com.cn/a/202412/30/WS6771db8da310f1265a1d5812.html,['USA'],['UNITED STATES'],[nan],[nan],[nan],[172],[17],[172],[-5.0],[-3.20978502594514]
http://europe.chinadaily.com.cn/a/202501/13/WS67845d20a310f1265a1da55c.html,['USA'],['CALIFORNIA'],[nan],['USAGOV'],['US OFFICIAL'],[112],[11],[112],[-2.0],[-8.01502671019265]
http://europe.chinadaily.com.cn/a/202501/13/WS67846df1a310f1265a1da645.html,['USA'],['LOS ANGELES'],[nan],[nan],[nan],[84],[8],[84],[7.0],[-7.40504147468353]
http://europe.chinadaily.com.cn/a/202501/19/WS678c5d8ca310a2ab06ea7dcd.html,"[nan, 'BUS', nan]","[nan, 'INDUSTRY', nan]","[nan, nan, nan]","['BUS', nan, 'BUS']","['INDUSTRY', nan, 'INDUSTRY']","[40, 40, 40]","[4, 4, 4]","[40, 40, 40]","[1.0, 1.0, 1.0]","[-1.78217821782178, -1.78217821782178, -1.78217821782178]"
http://europe.chinadaily.com.cn/a/202501/25/WS67944d5ba310a2ab06ea94a8.html,"['CAN', 'USA']","['CANADA', 'NEW YORK']","[nan, nan]","['USA', 'CAN']","['NEW YORK', 'CANADA']","[42, 43]","[4, 4]","[42, 43]","[1.9, 2.8]","[4.72727272727273, 4.72727272727273]"
http://indiablooms.com/health/death-toll-due-to-los-angeles-wildfires-rises-to-24-firefighters-continue-battle-to-bring-blaze-under-control/details,['CAN'],['CANADA'],[nan],['GOV'],['FIREFIGHTER'],[46],[4],[46],[7.0],[-7.4792243767313]
http://indiablooms.com/life/siri-spying-lawsuit-tech-giant-apple-agrees-to-pay-usd-95-million/details,"['USAJUD', 'JUD']","['UNITED STATES', 'JUDGE']","[nan, nan]","[nan, nan]","[nan, nan]","[20, 20]","[2, 2]","[20, 20]","[3.0, 3.0]","[-1.23456790123456, -2.77237722048338]"
http://indiablooms.com/world/16-dead-in-los-angeles-wildfire-authorities-warn-of-worsening-condition/details,['USA'],['LOS ANGELES'],[nan],['GOV'],['AUTHORITIES'],[12],[1],[12],[-0.4],[-7.73441199204589]
