day,Actor2Code_counts,count
-8,USA,29
-8,CVL,3
-8,USACVL,1
-8,ARE,2
-8,USACOP,1
-8,FRA,1
-8,CAN,2
-8,COP,7
-8,CRM,3
-8,USACRM,6
-8,GOV,8
-8,BUS,2
-8,LAB,6
-8,USAGOV,2
-8,ISR,1
-8,MED,3
-8,UAF,2
-7,USA,4
-7,COP,1
-7,BUS,1
-7,CRM,1
-7,CVL,1
-7,HLH,1
-7,GOV,1
-6,JUD,1
-6,USA,10
-6,CVL,3
-6,COP,2
-6,EDU,1
-6,GOV,2
-6,USAGOV,1
-6,CRM,1
-5,YEM,4
-5,USA,21
-5,SPY,2
-5,COP,8
-5,HLH,1
-5,MNCUSA,1
-5,GOV,1
-5,USAGOV,3
-5,DNKGRL,1
-5,CAN,2
-5,AUSCOP,2
-5,CRM,1
-5,JUD,1
-5,CVL,1
-5,USACRM,1
-5,MOSCVL,2
-5,EDUCVL,2
-5,MED,1
-5,EDU,1
-4,USAGOV,1
-4,COP,4
-4,MEX,2
-4,JUD,1
-4,HLHELI,1
-4,USA,13
-4,CRM,3
-4,LAB,1
-4,GOV,3
-4,USAELI,3
-4,USAHLH,3
-4,HLH,1
-4,VEN,2
-4,USACOP,3
-4,BUS,1
-4,MIL,1
-4,BRA,4
-3,USA,8
-3,CAN,1
-3,EDUHLH,1
-3,CRM,1
-3,UAF,2
-3,GOV,2
-3,PSEREB,1
-3,COP,1
-2,AUS,2
-2,GOV,3
-2,JUD,1
-2,USA,6
-2,MED,1
-2,COP,1
-2,USAJUD,1
-2,LAB,1
-2,OPP,1
-2,BUS,2
-1,COP,3
-1,PSEREBUAF,3
-1,CRM,2
-1,JUD,2
-1,USA,23
-1,UAF,2
-1,LAB,2
-1,CHN,2
-1,PSE,1
-1,GOV,3
-1,USACOP,1
-1,USAGOV,3
-1,GTM,1
-1,AUS,4
-1,MEX,1
-1,USAMED,1
-1,USAMIL,1
0,MED,1
0,USA,14
0,COP,7
0,USAEDU,1
0,PAK,1
0,MNCGBR,1
0,DNK,2
0,MIL,3
0,USAGOV,1
0,BUS,1
0,DNKGRL,1
0,DEU,2
0,CVL,1
0,CHREDU,2
0,EDU,1
0,USAMED,1
0,UAF,1
0,CRM,1
0,USACOP,1
0,ran,4
1,USA,13
1,COP,3
1,HLH,1
1,ELI,1
1,JUD,5
1,GOV,3
1,BUS,3
1,CVL,1
1,CHNBUS,1
1,MNCUSA,1
1,ISR,3
1,PSE,2
1,EDU,1
2,USA,26
2,LEG,3
2,GOV,1
2,CVL,4
2,JUD,2
2,COP,4
2,USAHLH,1
2,USACOP,1
2,TUR,1
2,BUS,2
2,COL,2
2,MEX,2
2,PAK,1
2,CANGOV,1
2,MIL,5
2,OPP,1
3,USA,17
3,EDU,5
3,CVL,3
3,MIL,3
3,ELI,1
3,COP,6
3,LAB,2
3,JUD,4
3,BUS,1
3,CRM,5
3,LAO,1
3,TUR,3
3,MILMIL,1
3,SPY,2
3,TURCOP,1
3,USAEDU,1
4,CRM,2
4,USA,17
4,COP,3
4,SPY,2
4,ELI,1
4,USAGOV,3
4,CAN,3
4,USAUAF,1
4,MED,2
4,USAMED,2
4,LEG,1
4,USAJUD,1
4,GOV,2
4,LAB,2
4,BUS,2
5,USA,15
5,USACVL,1
5,COP,5
5,ELI,1
5,USAELI,1
5,USALEG,3
5,CAN,2
5,USAGOV,1
5,RUS,1
5,MED,1
5,BUS,2
5,HLH,2
5,CVL,3
5,EGY,1
5,AFR,2
6,GOV,5
6,USAELI,1
6,EUR,1
6,USA,24
6,COP,6
6,CAN,5
6,CVL,3
6,TUR,1
6,MED,2
6,REL,2
6,CHR,1
6,VAT,1
6,CRM,1
6,USACOP,1
6,MNCUSA,2
6,MIL,1
6,MOS,1
6,LEG,2
6,POL,1
6,IRN,1
6,JUD,2
6,LAB,2
6,MNCJPN,2
7,USA,35
7,CAN,1
7,USAGOV,5
7,ISR,1
7,MED,7
7,UAF,1
7,COP,5
7,COL,1
7,EDU,2
7,GOV,6
7,AUS,1
7,AUSCOP,1
7,LAB,3
7,CANGOV,1
7,FRA,1
7,CVL,5
7,USAMED,1
7,MOS,1
7,RUS,1
7,CRM,3
7,MEX,2
7,BUS,2
7,CHR,1
7,TURCOP,1
7,EUR,1
7,USACVL,4
7,LBN,2
7,USACOP,1
8,ELI,1
8,CVL,8
8,USA,47
8,USAELI,2
8,GOV,23
8,BUS,3
8,EDU,5
8,USAGOV,16
8,CAN,6
8,SPY,1
8,USACVL,5
8,MOS,1
8,MIL,5
8,HLH,1
8,REB,1
8,NGOHLHIRC,1
8,LEG,2
8,EGYHLH,2
8,COP,8
8,ISR,1
8,USACOP,5
8,USACRM,2
8,CRM,1
8,USAMED,4
8,TCDGOV,1
8,FIN,2
8,NMR,2
8,ITA,1
8,GHA,1
9,USA,24
9,USAMIL,4
9,BUS,10
9,CAN,4
9,USAELI,1
9,GOV,9
9,COP,8
9,CHNCVL,1
9,MNCUSA,1
9,USACOP,3
9,ISRGOV,1
9,HLH,1
9,JUD,1
9,USAGOV,11
9,CVL,5
9,MNCUSABUS,1
9,GRC,1
9,FRA,1
9,USAJUD,4
9,OPP,2
9,CRM,2
9,UAF,1
9,AGR,1
9,USAMED,2
9,USAGOVEDU,1
9,JEWEDU,1
