day,word,count,tfidf
11,accidental,2,0.02710032139378963
11,accidental shooting,2,0.02710032139378963
11,account,1,0.013550160696894815
11,account unclear,1,0.013550160696894815
11,account unclear charge,1,0.013550160696894815
11,activist,1,0.038611388809595776
11,activist climate,1,0.038611388809595776
11,activist climate protest,1,0.038611388809595776
11,afternoon,2,0.02531030469830784
11,afternoon charge,1,0.016941027419378793
11,afternoon charge arson,1,0.016941027419378793
11,afternoon officer,1,0.013550160696894815
11,afternoon officer call,1,0.013550160696894815
11,amid,1,0.016941027419378793
11,amid ongoing,1,0.016941027419378793
11,amid ongoing investigation,1,0.016941027419378793
11,angeles,4,0.0634696040034758
11,angeles include,1,0.02128971808928271
11,angeles include people,1,0.02128971808928271
11,angeles neighborhood,1,0.016941027419378793
11,angeles neighborhood thursday,1,0.016941027419378793
11,angeles police,2,0.0317348020017379
11,angeles police captain,1,0.02128971808928271
11,angeles police department,1,0.016941027419378793
11,angelica,1,0.023562892007189935
11,angelica parker,1,0.023562892007189935
11,angelica parker head,1,0.023562892007189935
11,appear,1,0.013550160696894815
11,appear result,1,0.013550160696894815
11,appear result accidental,1,0.013550160696894815
11,arrest,1,0.02128971808928271
11,arrest loot,1,0.02128971808928271
11,arrest loot evacuate,1,0.02128971808928271
11,avenue,2,0.030807020987266856
11,bus,2,0.05236383690748962
11,california,2,0.04405241003361848
11,call block,1,0.013550160696894815
11,call block osage,1,0.013550160696894815
11,captain,2,0.04257943617856542
11,captain captain,1,0.02128971808928271
11,captain captain mike,1,0.02128971808928271
11,captain mike,1,0.02128971808928271
11,captain mike lorenz,1,0.02128971808928271
11,cause,1,0.016941027419378793
11,cause man,1,0.016941027419378793
11,cause man detain,1,0.016941027419378793
11,central,1,0.023562892007189935
11,central terminal,1,0.023562892007189935
11,central terminal month,1,0.023562892007189935
11,charge,2,0.02531030469830784
11,charge arson,1,0.016941027419378793
11,charge arson police,1,0.016941027419378793
11,charge file,1,0.013550160696894815
11,charge file lmpd,1,0.013550160696894815
11,chief,1,0.016941027419378793
11,chief dominic,1,0.016941027419378793
11,chief dominic choi,1,0.016941027419378793
11,child,1,0.013550160696894815
11,child hospital,1,0.013550160696894815
11,child hospital treat,1,0.013550160696894815
11,choi,1,0.016941027419378793
11,choi say,1,0.016941027419378793
11,choi say press,1,0.016941027419378793
11,climate,1,0.038611388809595776
11,climate protest,1,0.038611388809595776
11,com,1,0.017419063823251316
11,com tip,1,0.017419063823251316
11,conference,1,0.016941027419378793
11,conference friday,1,0.016941027419378793
11,cover,1,0.017419063823251316
11,cover let,1,0.017419063823251316
11,cover let editor,1,0.017419063823251316
11,crime,1,0.017419063823251316
11,crime wreck,1,0.017419063823251316
11,crime wreck fire,1,0.017419063823251316
11,cross,1,0.023562892007189935
11,cross busy,1,0.023562892007189935
11,cross busy avenue,1,0.023562892007189935
11,department,3,0.03399375588904882
11,department assistant,1,0.016941027419378793
11,department assistant chief,1,0.016941027419378793
11,department investigate,1,0.013550160696894815
11,department investigate young,1,0.013550160696894815
11,department scanner,1,0.017419063823251316
11,department scanner traffic,1,0.017419063823251316
11,detain,2,0.04611327627250243
11,detain felony,1,0.016941027419378793
11,detain felony probation,1,0.016941027419378793
11,detain hundred,1,0.038611388809595776
11,detain hundred activist,1,0.038611388809595776
11,disc,1,0.023562892007189935
11,disc neck,1,0.023562892007189935
11,division,1,0.013550160696894815
11,division handle,1,0.013550160696894815
11,division handle investigation,1,0.013550160696894815
11,dominic,1,0.016941027419378793
11,dominic choi,1,0.016941027419378793
11,dominic choi say,1,0.016941027419378793
11,dutch,1,0.038611388809595776
11,dutch police,1,0.038611388809595776
11,dutch police detain,1,0.038611388809595776
11,editor,1,0.017419063823251316
